date,universe,eval_year,persist_score,opportunity_score,train_p33,train_p67,train_o67,persist_action,combined_action,target_factor_mom_20,target_fwd_range_20,top2_gross,top2_w_MOM1M,top2_w_MOM12_1,top2_w_OP12_REV,top2_w_OPFY1_REV,top2_w_PBR12MF,top2_w_PER12MF,top2_w_PRIVATE_FLOW,top2_w_FOREIGN_FLOW,bottom2_gross,bottom2_w_MOM1M,bottom2_w_MOM12_1,bottom2_w_OP12_REV,bottom2_w_OPFY1_REV,bottom2_w_PBR12MF,bottom2_w_PER12MF,bottom2_w_PRIVATE_FLOW,bottom2_w_FOREIGN_FLOW,ew8_gross,ew8_w_MOM1M,ew8_w_MOM12_1,ew8_w_OP12_REV,ew8_w_OPFY1_REV,ew8_w_PBR12MF,ew8_w_PER12MF,ew8_w_PRIVATE_FLOW,ew8_w_FOREIGN_FLOW,persist_only_gross,persist_only_w_MOM1M,persist_only_w_MOM12_1,persist_only_w_OP12_REV,persist_only_w_OPFY1_REV,persist_only_w_PBR12MF,persist_only_w_PER12MF,persist_only_w_PRIVATE_FLOW,persist_only_w_FOREIGN_FLOW,combined_gross,combined_w_MOM1M,combined_w_MOM12_1,combined_w_OP12_REV,combined_w_OPFY1_REV,combined_w_PBR12MF,combined_w_PER12MF,combined_w_PRIVATE_FLOW,combined_w_FOREIGN_FLOW,cost_bps,combined_turnover,combined_ret,persist_only_turnover,persist_only_ret,top2_turnover,top2_ret,ew8_turnover,ew8_ret
2021-08-12,K200,2021,0.05604486933728251,-0.39241938054487413,-0.20094263494407621,0.18429675049308436,0.11936220898172269,EW8,EW8,0.0035634764314277,0.07107722327668489,0.0286160721310002,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0250525956995725,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.020209795020453863,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.020209795020453863,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.020209795020453863,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,0.020209795020453863,0.75,0.020209795020453863,1.0,0.0286160721310002,0.0,0.020209795020453863
2021-09-10,K200,2021,0.4991432033700128,-0.42421103777527813,-0.20094263494407621,0.18429675049308436,0.11936220898172269,TOP2,EW8,-0.003508640004746,0.056580421531111404,0.0159531381683659,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.019461778173112,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.017698228383683574,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0159531381683659,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.017698228383683574,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,0.017698228383683574,0.75,0.0159531381683659,0.5,0.0159531381683659,0.0,0.017698228383683574
2021-10-15,K200,2021,0.6077406186892569,-0.5173695248115563,-0.20094263494407621,0.18429675049308436,0.11936220898172269,TOP2,EW8,0.0561667671299739,0.1073224509013174,0.0524173278463052,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,-0.003749439283668699,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.016210859802032015,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0524173278463052,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.016210859802032015,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,0.016210859802032015,0.5,0.0524173278463052,0.5,0.0524173278463052,0.0,0.016210859802032015
2021-11-12,K200,2021,-0.44961062010121333,0.5518115632183526,-0.20094263494407621,0.18429675049308436,0.11936220898172269,BOTTOM2,BOTTOM2,0.0290871471571539,0.07271193962020789,0.02186548473957305,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.007221662417580899,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.007041963375958238,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.007221662417580899,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.007221662417580899,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0,0.75,-0.007221662417580899,1.0,-0.007221662417580899,0.5,0.02186548473957305,0.0,0.007041963375958238
2021-12-10,K200,2021,0.25671333638742777,-0.42696893867420405,-0.20094263494407621,0.18429675049308436,0.11936220898172269,TOP2,EW8,-0.0802310823240471,0.1875335020039394,-0.03575623643601235,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0444748458880348,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.013339044996971812,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.03575623643601235,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.013339044996971812,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.013339044996971812,1.0,-0.03575623643601235,0.5,-0.03575623643601235,0.0,0.013339044996971812
2022-01-10,K200,2022,-0.978384217218993,1.6590262356751395,-0.19784056310251502,0.19437942627707952,0.1422254063069502,BOTTOM2,BOTTOM2,0.0581717087920753,0.1239817852235227,0.0533721326882903,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.004799576103785001,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.020908325931113275,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.004799576103785001,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.004799576103785001,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0,0.75,-0.004799576103785001,0.5,-0.004799576103785001,1.0,0.0533721326882903,0.0,0.020908325931113275
2022-02-10,K200,2022,0.01570917879291447,0.3756376750045215,-0.19784056310251502,0.19437942627707952,0.1422254063069502,EW8,EW8,0.0025459327741568,0.0682853626037232,0.008759659769480099,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.006213726995323249,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0044790966604926,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0044790966604926,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0044790966604926,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.0044790966604926,0.75,0.0044790966604926,0.5,0.008759659769480099,0.0,0.0044790966604926
2022-03-14,K200,2022,0.46525226931557656,-0.5223095223736735,-0.19784056310251502,0.19437942627707952,0.1422254063069502,TOP2,EW8,-0.0239929634656007,0.1726212289703583,-0.046366808486798194,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.02237384502119735,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,-0.009461464874911223,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.046366808486798194,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.009461464874911223,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,-0.009461464874911223,0.75,-0.046366808486798194,1.0,-0.046366808486798194,0.0,-0.009461464874911223
2022-04-11,K200,2022,-0.6242228390816342,0.6060686305642218,-0.19784056310251502,0.19437942627707952,0.1422254063069502,BOTTOM2,BOTTOM2,-0.003145936209201,0.0878151088460596,0.012725670223835101,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.015871606433036152,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.016008551354133437,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015871606433036152,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.015871606433036152,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0.75,0.015871606433036152,0.5,0.015871606433036152,1.0,0.012725670223835101,0.0,0.016008551354133437
2022-05-10,K200,2022,0.5783241751624496,-0.13411258342016294,-0.19784056310251502,0.19437942627707952,0.1422254063069502,TOP2,EW8,0.0338733175847056,0.0613433203388659,0.00019251703632199978,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.0336808005483836,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.009271114295005874,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.00019251703632199978,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.009271114295005874,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,-0.009271114295005874,1.0,0.00019251703632199978,1.0,0.00019251703632199978,0.0,-0.009271114295005874
