Code,Name,결산월,WICS업종명(중)
A006120,SK디스커버리,12,에너지
A006140,피제이전자,12,건강관리장비와서비스
A006200,한국전자홀딩스,12,반도체와반도체장비
A006220,제주은행,12,은행
A006260,LS,12,자본재
A006280,녹십자,12,제약과생물공학
A006340,대원전선,12,자본재
A006360,GS건설,12,자본재
A006370,대구백화점,12,소매(유통)
A006380,카프로,12,소재
A006400,삼성SDI,12,전자와 전기제품
A006490,프리티,12,전기통신서비스
A006570,대림통상,12,자본재
A006620,동구바이오제약,12,제약과생물공학
A006650,대한유화,12,소재
A006660,삼성공조,12,자동차와부품
A006730,서부T&D,12,"호텔,레스토랑,레저등"
A006740,블루산업개발,12,소재
A006800,미래에셋증권,12,증권
A006840,AK홀딩스,12,소재
A006880,신송홀딩스,12,식품과기본식료품소매
A006890,태경케미컬,12,소재
A006910,보성파워텍,12,자본재
A006920,모헨즈,12,자본재
A006980,우성,12,"식품,음료,담배"
A007070,GS리테일,12,소매(유통)
A007110,일신석재,12,자본재
A007120,미래아이앤지,12,소프트웨어와서비스
A007160,사조산업,12,"식품,음료,담배"
A007210,벽산,12,자본재
A007280,한국특강,12,소재
A007310,오뚜기,12,"식품,음료,담배"
A007330,푸른저축은행,12,다각화된금융
A007340,DN오토모티브,12,자동차와부품
A007370,진양제약,12,제약과생물공학
A007390,네이처셀,12,제약과생물공학
A007460,에이프로젠,12,제약과생물공학
A007530,와이엠,12,자동차와부품
A007540,샘표,12,"식품,음료,담배"
A007570,일양약품,12,제약과생물공학
A007590,동방아그로,12,소재
A007610,선도전기,12,자본재
A007660,이수페타시스,12,반도체와반도체장비
A007680,대원,12,자본재
A007690,국도화학,12,소재
A007700,F&F홀딩스,12,내구소비재와의류
A007720,소노스퀘어,12,소매(유통)
A007770,한일화학,12,소재
A007810,코리아써키트,12,기술하드웨어와장비
A007820,엠엑스로보틱스,12,자본재
A007860,서연,12,자동차와부품
A007980,TP,12,내구소비재와의류
A008040,사조동아원,12,"식품,음료,담배"
