date,universe,factor,current_payoff20,future_payoff20,LOCAL_RANK20,future_rank20,local_top2,local_positive,GLOBAL_MEAN_RANK20,GLOBAL_TOP2_SHARE,GLOBAL_POSITIVE_SHARE,GLOBAL_MEAN_PAYOFF20,GLOBAL_RANK_DISPERSION20,universe_count,NEG_GLOBAL_RANK_DISPERSION20,GLOBALLY_CONFIRMED,era
2016-04-08,KOSDAQ,PBR12MF,-0.0020661528476472,-0.0358431977882554,0.5,0.375,False,False,0.5416666666666666,0.16666666666666666,0.6666666666666666,0.012890409934981849,0.2327373340628157,6,-0.2327373340628157,False,2016_2019
2016-04-08,KOSDAQ,PER12MF,0.0080140230627268,0.0212628281224767,0.75,0.625,False,True,0.8333333333333334,0.6666666666666666,1.0,0.041249753363038516,0.12909944487358058,6,-0.12909944487358058,True,2016_2019
2016-04-08,KOSDAQ,PRIVATE_FLOW,-0.0401040958605453,0.032343419274355,0.25,0.75,False,False,0.3541666666666667,0.0,0.5,-0.007053817452886884,0.14613064930625153,6,-0.14613064930625153,False,2016_2019
2016-04-08,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,0.002861635407817,-0.0386924898263355,0.375,0.25,False,True,0.22916666666666666,0.0,0.16666666666666666,-0.01108536213797965,0.12289901003127188,6,-0.12289901003127188,False,2016_2019
2016-04-08,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,0.0099424572382336,0.0096674141179302,0.5,0.5,False,True,0.6458333333333334,0.0,1.0,0.01582096517451015,0.09409658158863513,6,-0.09409658158863513,False,2016_2019
2016-04-08,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,-0.0415889042098966,-0.0431460587369154,0.125,0.125,False,False,0.2916666666666667,0.0,0.5,-0.017710228592788833,0.18819316317727025,6,-0.18819316317727025,False,2016_2019
2016-04-08,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,0.036945906683008,0.0185728916830891,1.0,0.625,True,True,0.8125,0.5,1.0,0.03476957536881975,0.18957188610128875,6,-0.18957188610128875,True,2016_2019
2016-04-08,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,0.0196278730223578,0.0326366864393607,0.625,1.0,False,True,0.7916666666666666,0.6666666666666666,1.0,0.03316024583294157,0.3027650354097492,6,-0.3027650354097492,True,2016_2019
2016-04-08,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,0.0266901345438899,-0.0276069451435252,0.75,0.375,False,True,0.5416666666666666,0.16666666666666666,0.6666666666666666,0.012890409934981849,0.2327373340628157,6,-0.2327373340628157,False,2016_2019
2016-04-08,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,0.0332115056186297,0.0187599478878381,0.875,0.75,True,True,0.8333333333333334,0.6666666666666666,1.0,0.041249753363038516,0.12909944487358058,6,-0.12909944487358058,True,2016_2019
2016-04-08,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,-0.0173762931546166,0.0200712248596841,0.25,0.875,False,False,0.3541666666666667,0.0,0.5,-0.007053817452886884,0.14613064930625153,6,-0.14613064930625153,False,2016_2019
