sample,factor,overlay,top_n,cost_bps,n_periods,annualized_return,annualized_excess,sharpe,excess_sharpe,mdd,avg_turnover,hit_rate,avg_eligible
IS_PRE_2023,PBR12MF,TURNOVER_W10,20,60,173,0.04938904509275144,0.04483738928413539,0.32618745241178715,0.43249472258004346,-0.5757594507745043,0.11965317919075143,0.5549132947976878,169.90751445086704
IS_PRE_2023,PBR12MF,TURNOVER_W20,10,0,173,0.12435080785118346,0.12089821859401595,0.5846533766054399,0.8655111137221797,-0.5063291915068886,0.33815028901734095,0.6069364161849711,169.90751445086704
IS_PRE_2023,PBR12MF,TURNOVER_W20,10,30,173,0.09601619631392522,0.09271323918886143,0.485352669538068,0.6880314489378937,-0.5313350267533161,0.33815028901734095,0.6069364161849711,169.90751445086704
IS_PRE_2023,PBR12MF,TURNOVER_W20,10,60,173,0.06836454673507397,0.06520626994622081,0.38610334051179956,0.5103742581001804,-0.5562687289334493,0.33815028901734095,0.5953757225433526,169.90751445086704
IS_PRE_2023,PBR12MF,TURNOVER_W20,20,0,173,0.08701842521586123,0.08376481106344347,0.46986223926157245,0.7517373523575239,-0.5339656137521194,0.20086705202312138,0.5895953757225434,169.90751445086704
IS_PRE_2023,PBR12MF,TURNOVER_W20,20,30,173,0.07066255342206218,0.06746370971642301,0.40695320727721873,0.6204128716297865,-0.546158591964788,0.20086705202312138,0.5838150289017341,169.90751445086704
IS_PRE_2023,PBR12MF,TURNOVER_W20,20,60,173,0.054541044932822524,0.0513961258511586,0.3440365041757359,0.4891930055166937,-0.5580402497586308,0.20086705202312138,0.5780346820809249,169.90751445086704
IS_PRE_2023,PER12MF,ACT1_W10,10,0,171,0.07547053948590099,0.072012492985432,0.42172848531785384,0.5732387198913025,-0.515819155006022,0.3169590643274854,0.5555555555555556,165.7251461988304
IS_PRE_2023,PER12MF,ACT1_W10,10,30,171,0.04999949806841553,0.04668206891240745,0.323818109607586,0.39906989821239364,-0.5413450027669984,0.3169590643274854,0.5497076023391813,165.7251461988304
IS_PRE_2023,PER12MF,ACT1_W10,10,60,171,0.025104954437496607,0.021923767866232735,0.22598623167034762,0.22481389445011438,-0.5668761607254859,0.3169590643274854,0.5497076023391813,165.7251461988304
IS_PRE_2023,PER12MF,ACT1_W10,20,0,171,0.04928729113473307,0.04548493747023086,0.3284708684534723,0.4790083215102135,-0.5416973744777434,0.17573099415204677,0.5847953216374269,165.7251461988304
IS_PRE_2023,PER12MF,ACT1_W10,20,30,171,0.03547135521197231,0.03172818777928477,0.2699361232435776,0.3521322192107399,-0.555382056714703,0.17573099415204677,0.5789473684210527,165.7251461988304
IS_PRE_2023,PER12MF,ACT1_W10,20,60,171,0.02182864686021624,0.018143831410927014,0.21133876545288138,0.22467190377373591,-0.5686661754917436,0.17573099415204677,0.5672514619883041,165.7251461988304
IS_PRE_2023,PER12MF,ACT1_W20,10,0,171,0.09089184993054844,0.08808678656754076,0.4809602723418138,0.6987560751534838,-0.51650023767259,0.5421052631578946,0.5555555555555556,165.7251461988304
IS_PRE_2023,PER12MF,ACT1_W20,10,30,171,0.047095460544236634,0.04447670183704311,0.31345756039601713,0.391539587191515,-0.5663932804679016,0.5421052631578946,0.5497076023391813,165.7251461988304
IS_PRE_2023,PER12MF,ACT1_W20,10,60,171,0.0049855790035806535,0.0025434013023981628,0.14617584994864785,0.08474369058680259,-0.6125888165585918,0.5421052631578946,0.543859649122807,165.7251461988304
IS_PRE_2023,PER12MF,ACT1_W20,20,0,171,0.04418273610629053,0.03955918096129474,0.3083642392457705,0.42465322115949183,-0.5184339132021334,0.3345029239766082,0.6081871345029239,165.7251461988304
IS_PRE_2023,PER12MF,ACT1_W20,20,30,171,0.01812995264460815,0.01363523127291777,0.1949031641568452,0.18172581545891214,-0.5434109479623377,0.3345029239766082,0.5964912280701754,165.7251461988304
IS_PRE_2023,PER12MF,ACT1_W20,20,60,171,-0.007299669229016259,-0.011668932114054176,0.0813661528049595,-0.061844624298447975,-0.5719771990452115,0.3345029239766082,0.5906432748538012,165.7251461988304
IS_PRE_2023,PER12MF,ACT5_GT1,10,0,171,0.025946658240909803,0.0210857247572529,0.22991311281387872,0.22409995660626256,-0.5417065201837685,0.7239766081871346,0.5380116959064327,68.61988304093568
IS_PRE_2023,PER12MF,ACT5_GT1,10,30,171,-0.02870548016049146,-0.03330687428853618,-0.003673735977407308,-0.19421107271032975,-0.5946903778083032,0.7239766081871346,0.5263157894736842,68.61988304093568
IS_PRE_2023,PER12MF,ACT5_GT1,10,60,171,-0.080562900300294,-0.08491800412691941,-0.23769640331939876,-0.6135895422155151,-0.648443164552178,0.7239766081871346,0.49707602339181284,68.61988304093568
IS_PRE_2023,PER12MF,ACT5_GT1,20,0,171,0.02204749363236358,0.014368561992405215,0.21194190328869592,0.19256481586012647,-0.5125845980816579,0.7017543859649125,0.5614035087719298,68.61988304093568
IS_PRE_2023,PER12MF,ACT5_GT1,20,30,171,-0.030777068750737935,-0.038067018557907284,-0.04540811055415714,-0.34082941133294625,-0.5666495410084879,0.7017543859649125,0.543859649122807,68.61988304093568
IS_PRE_2023,PER12MF,ACT5_GT1,20,60,171,-0.08097907069094645,-0.08789895606262932,-0.3031768063871968,-0.8751956931737006,-0.6228992870262942,0.7017543859649125,0.5263157894736842,68.61988304093568
IS_PRE_2023,PER12MF,ACT5_KEEP_TOP50,10,0,171,0.03771266386868444,0.033893886945135954,0.2784180452463039,0.3192218944089382,-0.5137894276088366,0.5672514619883041,0.5672514619883041,84.54970760233918
IS_PRE_2023,PER12MF,ACT5_KEEP_TOP50,10,30,171,-0.005866855759481204,-0.009481631378127853,0.09839051417741321,-0.008397772797283555,-0.5555651389348378,0.5672514619883041,0.5321637426900585,84.54970760233918
IS_PRE_2023,PER12MF,ACT5_KEEP_TOP50,10,60,171,-0.04769173532949467,-0.051112354348732514,-0.08168993953466541,-0.33669278847284523,-0.5944246048533691,0.5672514619883041,0.5263157894736842,84.54970760233918
IS_PRE_2023,PER12MF,ACT5_KEEP_TOP50,20,0,171,0.05697001410437008,0.05148006792322968,0.36641723265495163,0.5416944825829474,-0.4932591704320791,0.5453216374269005,0.5555555555555556,84.54970760233918
IS_PRE_2023,PER12MF,ACT5_KEEP_TOP50,20,30,171,0.01429605180426563,0.009056066710336541,0.17743307263593086,0.13865401688293896,-0.5350597747551531,0.5453216374269005,0.5497076023391813,84.54970760233918
IS_PRE_2023,PER12MF,ACT5_KEEP_TOP50,20,60,171,-0.026723599158486322,-0.03172429696675483,-0.01155346772865263,-0.26457185680393475,-0.5734756338891357,0.5453216374269005,0.5380116959064327,84.54970760233918
IS_PRE_2023,PER12MF,ACT5_KEEP_TOP70,10,0,171,0.043892293008978456,0.038779111295595525,0.3044589438970402,0.3599638070221102,-0.5585951348678035,0.3730994152046783,0.5789473684210527,118.21052631578948
IS_PRE_2023,PER12MF,ACT5_KEEP_TOP70,10,30,171,0.014842652694426972,0.009894887176980838,0.1828280361605736,0.13963346648781685,-0.5852056725391555,0.3730994152046783,0.5555555555555556,118.21052631578948
IS_PRE_2023,PER12MF,ACT5_KEEP_TOP70,10,60,171,-0.013434600985632317,-0.018221882945221646,0.061258904902064294,-0.08033574319142434,-0.6149027870920063,0.3730994152046783,0.5380116959064327,118.21052631578948
IS_PRE_2023,PER12MF,ACT5_KEEP_TOP70,20,0,171,0.045766179074597124,0.04114186914865581,0.3166360119507491,0.44902738952343946,-0.5090807105238158,0.32894736842105265,0.6023391812865497,118.21052631578948
IS_PRE_2023,PER12MF,ACT5_KEEP_TOP70,20,30,171,0.020100819795079827,0.015610992701845738,0.20408221349428549,0.20338308843371503,-0.536044901516308,0.32894736842105265,0.5730994152046783,118.21052631578948
IS_PRE_2023,PER12MF,ACT5_KEEP_TOP70,20,60,171,-0.00496154722743114,-0.009320488882675781,0.091449773051281,-0.0431629579187029,-0.5652361043911733,0.32894736842105265,0.5614035087719298,118.21052631578948
IS_PRE_2023,PER12MF,ACT5_MULTIPLY,10,0,171,0.0335628025153194,0.02812053905983314,0.2611525700179332,0.2650171909006849,-0.49133940661637443,0.6719298245614035,0.6081871345029239,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_MULTIPLY,10,30,171,-0.017699346643383906,-0.022811810499835494,0.04793828291031425,-0.09215530917689789,-0.5429554528520343,0.6719298245614035,0.5789473684210527,165.7017543859649
IS_PRE_2023,PER12MF,ACT5_MULTIPLY,10,60,171,-0.06652006121367715,-0.07132102851373534,-0.16510481287946385,-0.4494840712697798,-0.5948260251976349,0.6719298245614035,0.5263157894736842,165.7017543859649
