sample,factor,direction,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,FOREIGN_FLOW,HIGH,ACT5_W10,10,60,-0.036134668407494575,-0.14822997682413497,0.02904665399080697,0.11687273710620016
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,60,-0.008772730462889733,-0.03468800265179267,0.0214910120452374,-0.002702702702702675
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,60,0.011669808197661169,0.04420507741680063,0.01411400408464647,0.0050193050193050315
FULL,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,-0.005928541577970847,-0.02245124818955191,-0.01913631833495022,0.02713143938824869
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,0,-0.018060188626741525,-0.0643291968293952,-0.11746790061807,0.23510809308474662
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,0.0016335120566060013,0.017469124330840635,-0.023429232874896955,0.13043883238435766
FULL,FOREIGN_FLOW,HIGH,ACT5_W10,20,0,-0.014152809885676687,-0.05762076622247558,-0.020397484355752504,0.036275408259844044
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,0,0.015571823704439103,0.06235372391532712,-0.027974660966566423,-0.006177606177606154
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,0,-0.0063614927680915034,-0.034660860122841364,-0.019724210927630215,0.001351351351351282
FULL,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,-0.007869473827381457,-0.03450352979156293,-0.021988675138745806,0.02713143938824869
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,30,-0.03545945618096957,-0.1648719921442618,-0.1731598332507851,0.23510809308474662
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,30,-0.008651109403305712,-0.03744947241634908,-0.07027813941085403,0.13043883238435766
FULL,FOREIGN_FLOW,HIGH,ACT5_W10,20,30,-0.016525400110604327,-0.07305895816179456,-0.031060430461128496,0.036275408259844044
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,30,0.015541733307516958,0.06581318374372253,0.00571206403081681,-0.006177606177606154
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,30,-0.006265888513402373,-0.028824838084078735,-0.02096457250914019,0.001351351351351282
FULL,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,-0.009671610361008942,-0.04640569420904127,-0.030753432569182393,0.02713143938824869
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,60,-0.05139575678252184,-0.2653331633439404,-0.21150296720277006,0.23510809308474662
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,60,-0.01816658628858725,-0.09206105718412147,-0.09701910799608571,0.13043883238435766
FULL,FOREIGN_FLOW,HIGH,ACT5_W10,20,60,-0.018718340850479076,-0.08826810058741902,-0.04929854626796171,0.036275408259844044
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,60,0.015496202068742582,0.06931667921587574,0.020875115226269392,-0.006177606177606154
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,60,-0.0061694313760378705,-0.022950749881900143,-0.03669554242188533,0.001351351351351282
FULL,FOREIGN_FLOW,LOW,ACT1_W10,10,0,0.07556413379564186,0.2484759118148817,0.07927902112533403,0.08816008893829907
