sample,signal,top_n,cost_bps,n_periods,annualized_return,annualized_excess,sharpe,excess_sharpe,mdd,avg_turnover
IS_PRE_2023,RAW_HIGH,20,30,173,-0.017735637581663077,-0.029970050583606467,0.01502491218931346,-0.19167497087213708,-0.41379840129501755,0.33121387283236997
IS_PRE_2023,RAW_HIGH,20,60,173,-0.04208111419907934,-0.053998031493508014,-0.10773178326546709,-0.3989376300430738,-0.44262449361414347,0.33121387283236997
IS_PRE_2023,RAW_LOW,10,0,173,-0.0595095431487801,-0.0734051607942161,-0.23435708007950193,-0.6196319469166364,-0.5979799505001211,0.39421965317919067
IS_PRE_2023,RAW_LOW,10,30,173,-0.08729408922789006,-0.1007278599067315,-0.39386520482039705,-0.8832452859505523,-0.6426291514950913,0.39421965317919067
IS_PRE_2023,RAW_LOW,10,60,173,-0.114293309852036,-0.12727956586746125,-0.5526846454624235,-1.145966145338904,-0.6823698925968373,0.39421965317919067
IS_PRE_2023,RAW_LOW,20,0,173,-0.05116100655894007,-0.06249485048599068,-0.17943504330972643,-0.6606099032690362,-0.5694434020026251,0.2884393063583815
IS_PRE_2023,RAW_LOW,20,30,173,-0.07171553010400278,-0.08279148555302274,-0.29414367590474183,-0.8982131558102712,-0.6029797435649344,0.2884393063583815
IS_PRE_2023,RAW_LOW,20,60,173,-0.09184381161354005,-0.1026674376820157,-0.408685400496804,-1.134889822271993,-0.6339305475125401,0.2884393063583815
IS_PRE_2023,TURNOVER_HIGH,10,0,173,0.010395842754516327,0.004144483586455916,0.1788262784844965,0.12115884126834593,-0.48276776864249193,0.6421965317919076
IS_PRE_2023,TURNOVER_HIGH,10,30,173,-0.037557751978671505,-0.04351008564362824,0.008769808063552506,-0.11593965641622739,-0.5144381794078678,0.6421965317919076
IS_PRE_2023,TURNOVER_HIGH,10,60,173,-0.08332591088715069,-0.08899291117508734,-0.16138198934983003,-0.35307063302670777,-0.5442295635774026,0.6421965317919076
IS_PRE_2023,TURNOVER_HIGH,20,0,173,0.011929770293437558,0.006232357998724236,0.17394176092720304,0.11565565069194805,-0.42397672285016885,0.5710982658959537
IS_PRE_2023,TURNOVER_HIGH,20,30,173,-0.030875564619996965,-0.03631741679462763,0.0015907002435802365,-0.17255545210827328,-0.481279546867844,0.5710982658959537
IS_PRE_2023,TURNOVER_HIGH,20,60,173,-0.07194157778898347,-0.07713877651593226,-0.17088506957716645,-0.461045263056815,-0.5582925288350562,0.5710982658959537
IS_PRE_2023,TURNOVER_LOW,10,0,173,-0.10169069822104759,-0.11717896608465606,-0.5484252712987762,-1.1263841912440506,-0.5773953004549641,0.4774566473988439
IS_PRE_2023,TURNOVER_LOW,10,30,173,-0.1337225248034456,-0.14865042275394869,-0.762060340843815,-1.4698662891699594,-0.6437108940170864,0.4774566473988439
IS_PRE_2023,TURNOVER_LOW,10,60,173,-0.16465993638091403,-0.17904682848889042,-0.9753666066892862,-1.8131321563767837,-0.7177279840260423,0.4774566473988439
IS_PRE_2023,TURNOVER_LOW,20,0,173,-0.08925299175070656,-0.10350134606411543,-0.4768266185862092,-1.2447415925839391,-0.598655323906229,0.42890173410404625
IS_PRE_2023,TURNOVER_LOW,20,30,173,-0.11846964286967965,-0.13223750099453524,-0.6716165732965238,-1.6303844188703165,-0.6482089321932336,0.42890173410404625
IS_PRE_2023,TURNOVER_LOW,20,60,173,-0.14678724122438858,-0.1600899921717066,-0.8660619975010794,-2.0166830713499184,-0.6960457015242996,0.42890173410404625
OOS_2023_PLUS,ACT1_HIGH,10,0,86,0.06981585668319368,-0.0733354834352411,0.3798084303699963,-0.31981162142555475,-0.24427049516368127,0.9500000000000004
OOS_2023_PLUS,ACT1_HIGH,10,30,86,-0.004348062396712926,-0.13786672997943017,0.12044572271297288,-0.7083809684286404,-0.2801950021011018,0.9500000000000004
OOS_2023_PLUS,ACT1_HIGH,10,60,86,-0.0735626553357076,-0.1980715690254301,-0.13888207330806662,-1.0971025512068435,-0.3227750562451389,0.9500000000000004
OOS_2023_PLUS,ACT1_HIGH,20,0,86,0.07581142131457397,-0.06988450930451628,0.43306713808405467,-0.551473790049349,-0.2602000294337532,0.9093023255813953
OOS_2023_PLUS,ACT1_HIGH,20,30,86,0.004371392444895816,-0.1319525115959279,0.13210858481993987,-1.1305880325547482,-0.2705384866178375,0.9093023255813953
OOS_2023_PLUS,ACT1_HIGH,20,60,86,-0.06250194427644296,-0.19003317236703243,-0.16878884267674968,-1.708948629877965,-0.28076145806407016,0.9093023255813953
OOS_2023_PLUS,ACT1_LOW,10,0,86,-0.017597256070139622,-0.15007448189371153,0.06358358117922093,-0.8600952480279593,-0.3980718179520194,0.8511627906976746
OOS_2023_PLUS,ACT1_LOW,10,30,86,-0.07904043258421678,-0.2034358571418664,-0.17961598706319085,-1.237220703794307,-0.4078516419834485,0.8511627906976746
OOS_2023_PLUS,ACT1_LOW,10,60,86,-0.13678716546675995,-0.2535741625679878,-0.4226904104955639,-1.6153345608198997,-0.4457929489787288,0.8511627906976746
OOS_2023_PLUS,ACT1_LOW,20,0,86,0.018862591406786366,-0.11834809369812738,0.19493368866670663,-0.9849415978614895,-0.34019905764372727,0.8191860465116276
OOS_2023_PLUS,ACT1_LOW,20,30,86,-0.04248118932140077,-0.1716440294427558,-0.06844608057805793,-1.4976969890709486,-0.35044371203470026,0.8191860465116276
OOS_2023_PLUS,ACT1_LOW,20,60,86,-0.10027190508651718,-0.221840201447553,-0.33114051776756415,-2.008813119093591,-0.360556089881091,0.8191860465116276
OOS_2023_PLUS,ACT5_HIGH,10,0,86,-0.05764049663028814,-0.1891987900212645,-0.09179943623574546,-0.9402529770544366,-0.3204330593617033,0.9488372093023257
OOS_2023_PLUS,ACT5_HIGH,10,30,86,-0.12323124415615505,-0.24592549862540658,-0.3593988099117799,-1.2960387053596998,-0.4147202626984594,0.9488372093023257
OOS_2023_PLUS,ACT5_HIGH,10,60,86,-0.18442711505392806,-0.298831329509918,-0.6266496136720213,-1.6510914013626499,-0.5124553910093242,0.9488372093023257
OOS_2023_PLUS,ACT5_HIGH,20,0,86,0.10863005169992879,-0.045179744174918324,0.55297699857139,-0.21808784503714593,-0.2816477929212923,0.8982558139534885
OOS_2023_PLUS,ACT5_HIGH,20,30,86,0.0359298963528627,-0.10809290976320263,0.26436963951053666,-0.6520388840243901,-0.289472091652634,0.8982558139534885
OOS_2023_PLUS,ACT5_HIGH,20,60,86,-0.03218183099590499,-0.16701604457043673,-0.02383657906772372,-1.085744070351729,-0.31123473512157596,0.8982558139534885
OOS_2023_PLUS,ACT5_LOW,10,0,86,-0.05041950724283517,-0.17686514460731428,-0.07116519043713232,-1.219149503827767,-0.41478040757101076,0.8174418604651165
OOS_2023_PLUS,ACT5_LOW,10,30,86,-0.10758325153502357,-0.226643413691903,-0.31044789589233357,-1.6316372250921372,-0.4239388609207727,0.8174418604651165
OOS_2023_PLUS,ACT5_LOW,10,60,86,-0.1614377871873327,-0.27352656442470646,-0.54969233969269,-2.0438494501163516,-0.47933531129925533,0.8174418604651165
OOS_2023_PLUS,ACT5_LOW,20,0,86,-0.032382868120260255,-0.1610123687270245,-0.014075043995846623,-1.3985581396084925,-0.3908297652803221,0.7773255813953489
OOS_2023_PLUS,ACT5_LOW,20,30,86,-0.0878316867979515,-0.20930147123560816,-0.2561815921237164,-1.8865491050158838,-0.3994257923119604,0.7773255813953489
OOS_2023_PLUS,ACT5_LOW,20,60,86,-0.14022435756654528,-0.25491706843504947,-0.4980064586782904,-2.3731597495385746,-0.43831601814384946,0.7773255813953489
OOS_2023_PLUS,RAW_HIGH,10,0,86,0.20667810153613164,0.05922785555439769,0.6553191019332276,0.33418814271080477,-0.4465691033117637,0.40116279069767435
