date,factor,direction,overlay,top_n,cost_bps,net,turnover
2016-01-04,OPFY1_REV,HIGH,RESID_TA_W10,10,30,-0.06394869905452742,1.0
2016-01-04,OPFY1_REV,HIGH,RESID_TA_W10,10,60,-0.06694869905452742,1.0
2016-01-04,OPFY1_REV,HIGH,RESID_TA_W10,20,0,-0.06151004078606596,1.0
2016-01-04,OPFY1_REV,HIGH,RESID_TA_W10,20,30,-0.06451004078606595,1.0
2016-01-04,OPFY1_REV,HIGH,RESID_TA_W10,20,60,-0.06751004078606596,1.0
2016-01-04,OPFY1_REV,LOW,BASE,10,0,-0.04734990775650254,1.0
2016-01-04,OPFY1_REV,LOW,BASE,10,30,-0.05034990775650254,1.0
2016-01-04,OPFY1_REV,LOW,BASE,10,60,-0.053349907756502536,1.0
2016-01-04,OPFY1_REV,LOW,BASE,20,0,-0.047726156715720655,1.0
2016-01-04,OPFY1_REV,LOW,BASE,20,30,-0.05072615671572066,1.0
2016-01-04,OPFY1_REV,LOW,BASE,20,60,-0.053726156715720653,1.0
2016-01-04,OPFY1_REV,LOW,RAW_TA_W10,10,0,-0.05125238236383506,1.0
2016-01-04,OPFY1_REV,LOW,RAW_TA_W10,10,30,-0.05425238236383506,1.0
2016-01-04,OPFY1_REV,LOW,RAW_TA_W10,10,60,-0.05725238236383506,1.0
2016-01-04,OPFY1_REV,LOW,RAW_TA_W10,20,0,-0.039662381436263744,1.0
2016-01-04,OPFY1_REV,LOW,RAW_TA_W10,20,30,-0.04266238143626375,1.0
2016-01-04,OPFY1_REV,LOW,RAW_TA_W10,20,60,-0.04566238143626374,1.0
2016-01-04,OPFY1_REV,LOW,MCAP_W10,10,0,-0.05125238236383506,1.0
2016-01-04,OPFY1_REV,LOW,MCAP_W10,10,30,-0.05425238236383506,1.0
2016-01-04,OPFY1_REV,LOW,MCAP_W10,10,60,-0.05725238236383506,1.0
2016-01-04,OPFY1_REV,LOW,MCAP_W10,20,0,-0.047246921186820084,1.0
2016-01-04,OPFY1_REV,LOW,MCAP_W10,20,30,-0.05024692118682009,1.0
2016-01-04,OPFY1_REV,LOW,MCAP_W10,20,60,-0.05324692118682008,1.0
2016-01-04,OPFY1_REV,LOW,TURNOVER_W10,10,0,-0.06717067354955408,1.0
2016-01-04,OPFY1_REV,LOW,TURNOVER_W10,10,30,-0.07017067354955409,1.0
2016-01-04,OPFY1_REV,LOW,TURNOVER_W10,10,60,-0.07317067354955409,1.0
2016-01-04,OPFY1_REV,LOW,TURNOVER_W10,20,0,-0.030449942618511316,1.0
2016-01-04,OPFY1_REV,LOW,TURNOVER_W10,20,30,-0.033449942618511315,1.0
2016-01-04,OPFY1_REV,LOW,TURNOVER_W10,20,60,-0.03644994261851132,1.0
2016-01-04,OPFY1_REV,LOW,RESID_TA_W10,10,0,-0.06717067354955408,1.0
2016-01-04,OPFY1_REV,LOW,RESID_TA_W10,10,30,-0.07017067354955409,1.0
2016-01-04,OPFY1_REV,LOW,RESID_TA_W10,10,60,-0.07317067354955409,1.0
2016-01-04,OPFY1_REV,LOW,RESID_TA_W10,20,0,-0.030449942618511316,1.0
2016-01-04,OPFY1_REV,LOW,RESID_TA_W10,20,30,-0.033449942618511315,1.0
2016-01-04,OPFY1_REV,LOW,RESID_TA_W10,20,60,-0.03644994261851132,1.0
2016-01-04,PBR12MF,HIGH,BASE,10,0,0.0130526486086243,1.0
2016-01-04,PBR12MF,HIGH,BASE,10,30,0.010052648608624301,1.0
2016-01-04,PBR12MF,HIGH,BASE,10,60,0.0070526486086243,1.0
2016-01-04,PBR12MF,HIGH,BASE,20,0,0.012814305420635472,1.0
2016-01-04,PBR12MF,HIGH,BASE,20,30,0.009814305420635473,1.0
2016-01-04,PBR12MF,HIGH,BASE,20,60,0.006814305420635472,1.0
2016-01-04,PBR12MF,HIGH,RAW_TA_W10,10,0,-0.003500750257028058,1.0
2016-01-04,PBR12MF,HIGH,RAW_TA_W10,10,30,-0.006500750257028058,1.0
2016-01-04,PBR12MF,HIGH,RAW_TA_W10,10,60,-0.009500750257028057,1.0
