sample,factor,direction,overlay,top_n,cost_bps,return,sharpe,mdd,turnover
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RESID_TA_W10,20,0,0.19858347942667764,0.7847836710336356,-0.3790663506367824,0.47383720930232565
FULL,FOREIGN_FLOW,HIGH,RESID_TA_W10,20,30,0.03445099311715505,0.26233686394262146,-0.4186926943012266,0.46177606177606173
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RESID_TA_W10,20,30,0.1566006296836453,0.6564750817827377,-0.3833856242621998,0.47383720930232565
FULL,FOREIGN_FLOW,HIGH,RESID_TA_W10,20,60,-0.0010475682368227268,0.11066824292340698,-0.48814418068082244,0.46177606177606173
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RESID_TA_W10,20,60,0.1160293492699922,0.5282185043079711,-0.3876810178172231,0.47383720930232565
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,0,0.13359633212628563,0.6174182366255041,-0.4221747151072536,0.5231660231660231
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,0,0.1672035046414242,0.6652569075319694,-0.4221747151072536,0.547674418604651
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,30,0.08978882635362884,0.4639676544924834,-0.4267981747024948,0.5231660231660231
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,30,0.12004044423651394,0.5267165369975594,-0.4267981747024947,0.547674418604651
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,60,0.04760407647915943,0.3103778545349277,-0.4549533192180848,0.5231660231660231
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,60,0.07470585770882776,0.38814141783575723,-0.43139257657471497,0.547674418604651
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,0,0.06739364096148637,0.3988673317960802,-0.3786997168594163,0.46254826254826253
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,0,0.1979711944264353,0.7837761464212367,-0.3786997168594164,0.47383720930232565
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,30,0.03075645060847254,0.2467521398803933,-0.41940447305382045,0.46254826254826253
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,30,0.15601043746612064,0.6552525340866465,-0.38310886145681133,0.47383720930232565
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,60,-0.004674036853348218,0.09457187230633667,-0.48899811733203735,0.46254826254826253
