sample,factor,direction,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,FOREIGN_FLOW,LOW,RESID_TA_W10,20,30,-0.0006000836051300862,-0.0030221994192138335,-0.021266080321959868,0.00019305019305021487
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,20,30,-0.0003189776437801939,-0.0018561799025242354,-0.023894387317784038,-0.0034749034749034236
FULL,FOREIGN_FLOW,LOW,MCAP_W10,20,60,-0.018069847484371016,-0.0745451392682076,-0.014175509998669344,-0.0036679536679536384
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,20,60,-0.011751250468107988,-0.04512947220913336,0.0029817794624937832,-0.00617760617760621
FULL,FOREIGN_FLOW,LOW,RESID_TA_W10,20,60,-0.0005969601629534083,0.001966879415568515,-0.02215864842127857,0.00019305019305021487
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,20,60,-4.1416452269404935e-05,0.004622834507941695,-0.024181837714885912,-0.0034749034749034236
FULL,MOM12_1,HIGH,MCAP_W10,10,0,-0.026958633116341835,-0.07560990400466833,-0.06136023523230638,-0.0050193050193050315
FULL,MOM12_1,HIGH,RAW_TA_W10,10,0,0.02102591277084631,0.05515311435298753,0.005516896676715399,-0.0011583011583011504
FULL,MOM12_1,HIGH,RESID_TA_W10,10,0,0.02174327895606587,0.05173150840932933,-0.04109711350831158,0.030888030888030854
FULL,MOM12_1,HIGH,TURNOVER_W10,10,0,0.03402662058628336,0.08339334625235406,-0.06720130745208974,0.03127413127413123
FULL,MOM12_1,HIGH,MCAP_W10,10,30,-0.026097524983341724,-0.07562316392397622,-0.05580136485432696,-0.0050193050193050315
FULL,MOM12_1,HIGH,RAW_TA_W10,10,30,0.020774695132397714,0.055528167742847856,0.006559545518189935,-0.0011583011583011504
FULL,MOM12_1,HIGH,RESID_TA_W10,10,30,0.018824870657796033,0.047186731416803074,-0.04172205770137105,0.030888030888030854
FULL,MOM12_1,HIGH,TURNOVER_W10,10,30,0.030871728251282482,0.0787924715268184,-0.06575361370210053,0.03127413127413123
FULL,MOM12_1,HIGH,MCAP_W10,10,60,-0.02525727898338248,-0.07565595807447284,-0.050672810895754705,-0.0050193050193050315
FULL,MOM12_1,HIGH,RAW_TA_W10,10,60,0.020525239017894492,0.055915115911102986,0.0074626606205421275,-0.0011583011583011504
FULL,MOM12_1,HIGH,RESID_TA_W10,10,60,0.015998292978652406,0.04265164192253784,-0.042111534207035284,0.030888030888030854
FULL,MOM12_1,HIGH,TURNOVER_W10,10,60,0.02781288904382473,0.07418718700185545,-0.06422859214036758,0.03127413127413123
FULL,MOM12_1,HIGH,MCAP_W10,20,0,-0.027684489659566047,-0.08913714432391961,-0.016778090477000407,-0.005791505791505808
FULL,MOM12_1,HIGH,RAW_TA_W10,20,0,-0.009370430456643097,-0.03063681058242318,0.012560774165796262,-0.0015444015444015247
FULL,MOM12_1,HIGH,RESID_TA_W10,20,0,0.00112427255504155,-0.0007676642109665788,-0.0006178629488746701,0.005598455598455593
FULL,MOM12_1,HIGH,TURNOVER_W10,20,0,0.004189630263250033,0.009795987193849942,0.00840450560238648,0.003281853281853292
FULL,MOM12_1,HIGH,MCAP_W10,20,30,-0.026832139827250634,-0.08788391644719712,-0.02590969417598976,-0.005791505791505808
