source,destination,period,n,source_coef_discovery,baseline_mse,augmented_mse,incremental_oos_r2
MOM1M,PRIVATE_FLOW,DISC_2016_2019,194,-0.03997544254493774,0.37798021739145965,0.3770330471536772,0.002505872514490637
MOM1M,PRIVATE_FLOW,VAL_2020_2022,149,-0.03997544254493774,0.6215881625882391,0.6284661348643064,-0.01106515968294497
MOM1M,PRIVATE_FLOW,CONF_2023_2024,97,-0.03997544254493774,0.7640311168173771,0.7543361899470595,0.012689178041206617
MOM1M,PRIVATE_FLOW,STRESS_2025,49,-0.03997544254493774,0.4892224496760967,0.5065939822035751,-0.03550845334056052
MOM1M,PRIVATE_FLOW,STRESS_2026,29,-0.03997544254493774,1.4253417454208794,1.459950721708321,-0.024281177758686878
MOM1M,FOREIGN_FLOW,DISC_2016_2019,194,-0.0212572747379146,0.35736003957318896,0.35707918798555477,0.0007859065271249577
MOM1M,FOREIGN_FLOW,VAL_2020_2022,149,-0.0212572747379146,0.6696488022358275,0.673124907791607,-0.005190938211452778
MOM1M,FOREIGN_FLOW,CONF_2023_2024,97,-0.0212572747379146,0.5269716092993904,0.5312035895343545,-0.00803075566175293
MOM1M,FOREIGN_FLOW,STRESS_2025,49,-0.0212572747379146,1.0470035969451579,1.048209560258405,-0.0011518234672409644
MOM1M,FOREIGN_FLOW,STRESS_2026,29,-0.0212572747379146,1.0126794770164897,1.020218470573657,-0.007444599923539741
MOM12_1,MOM1M,DISC_2016_2019,194,0.1485039450912313,0.6346826370798231,0.6205933131476737,0.022199006415197342
MOM12_1,MOM1M,VAL_2020_2022,149,0.1485039450912313,1.2529071959306843,1.2390469318298607,0.011062482637054338
MOM12_1,MOM1M,CONF_2023_2024,97,0.1485039450912313,1.1500080912472355,1.149901904495201,9.233565645550001e-05
MOM12_1,MOM1M,STRESS_2025,49,0.1485039450912313,0.9395928310982586,0.9846711265604352,-0.04797641485779125
MOM12_1,MOM1M,STRESS_2026,29,0.1485039450912313,2.3097325143798573,2.1679536577766503,0.06138323624944653
MOM12_1,OP12_REV,DISC_2016_2019,194,0.07984486257384635,0.4579219039364728,0.4546192199040239,0.007212330321082705
MOM12_1,OP12_REV,VAL_2020_2022,149,0.07984486257384635,0.6870936591299827,0.6849073282203951,0.0031819983790214446
MOM12_1,OP12_REV,CONF_2023_2024,97,0.07984486257384635,0.6972431817853288,0.6996122778768673,-0.003397804601648735
MOM12_1,OP12_REV,STRESS_2025,49,0.07984486257384635,0.5723921346592167,0.569279452271547,0.005438024387813933
MOM12_1,OP12_REV,STRESS_2026,29,0.07984486257384635,1.5895147391934494,1.5953669632690934,-0.0036817677315867936
MOM12_1,OPFY1_REV,DISC_2016_2019,194,0.05421521492520348,0.442826437608445,0.4411347118554413,0.003820290771572088
MOM12_1,OPFY1_REV,VAL_2020_2022,149,0.05421521492520348,0.7945692050443424,0.8023583637956603,-0.009802996015788379
MOM12_1,OPFY1_REV,CONF_2023_2024,97,0.05421521492520348,0.9437913771557375,0.9519642171077745,-0.008659583198002085
MOM12_1,OPFY1_REV,STRESS_2025,49,0.05421521492520348,0.8434291915231442,0.8562298265199573,-0.015176893478984876
MOM12_1,OPFY1_REV,STRESS_2026,29,0.05421521492520348,0.6890438172974821,0.6767650649745661,0.017819987662141434
MOM12_1,PBR12MF,DISC_2016_2019,194,-0.17449844456796326,0.6896198122387451,0.6730055226244759,0.02409195518953189
MOM12_1,PBR12MF,VAL_2020_2022,149,-0.17449844456796326,0.96343124195579,0.9935992900039691,-0.03131313033500671
MOM12_1,PBR12MF,CONF_2023_2024,97,-0.17449844456796326,1.1914834089963655,1.1763488909935875,0.012702248213029121
MOM12_1,PBR12MF,STRESS_2025,49,-0.17449844456796326,1.1439415535144748,1.224074334525069,-0.07004971605796317
MOM12_1,PBR12MF,STRESS_2026,29,-0.17449844456796326,2.2231315282547497,2.289498721352664,-0.02985302140445789
MOM12_1,PER12MF,DISC_2016_2019,194,-0.09941748175003354,0.6300668686566641,0.6241179418499359,0.009441738810059386
MOM12_1,PER12MF,VAL_2020_2022,149,-0.09941748175003354,1.0133098189299463,1.02386485983295,-0.01041640049846726
MOM12_1,PER12MF,CONF_2023_2024,97,-0.09941748175003354,1.07030291869224,1.0586963584348248,0.010844182571786987
MOM12_1,PER12MF,STRESS_2025,49,-0.09941748175003354,0.7910968429491804,0.8079349780638642,-0.021284543434545666
MOM12_1,PER12MF,STRESS_2026,29,-0.09941748175003354,2.2889258431454262,2.298215008692173,-0.004058307775485437
MOM12_1,PRIVATE_FLOW,DISC_2016_2019,194,0.004635264781391611,0.37798021739145965,0.37796628066672044,3.687157183884793e-05
MOM12_1,PRIVATE_FLOW,VAL_2020_2022,149,0.004635264781391611,0.6215881625882391,0.6219091495611755,-0.0005163981431046683
MOM12_1,PRIVATE_FLOW,CONF_2023_2024,97,0.004635264781391611,0.7640311168173771,0.7647498353299291,-0.0009406927240684926
MOM12_1,PRIVATE_FLOW,STRESS_2025,49,0.004635264781391611,0.4892224496760967,0.4895745493167652,-0.0007197127623672639
MOM12_1,PRIVATE_FLOW,STRESS_2026,29,0.004635264781391611,1.4253417454208794,1.4191883958892053,0.0043171046883616615
MOM12_1,FOREIGN_FLOW,DISC_2016_2019,194,0.004835595512315511,0.35736003957318896,0.35734501060559104,4.205553484903923e-05
MOM12_1,FOREIGN_FLOW,VAL_2020_2022,149,0.004835595512315511,0.6696488022358275,0.6688121017890754,0.001249461574423072
MOM12_1,FOREIGN_FLOW,CONF_2023_2024,97,0.004835595512315511,0.5269716092993904,0.5266867257720916,0.0005406050767658988
MOM12_1,FOREIGN_FLOW,STRESS_2025,49,0.004835595512315511,1.0470035969451579,1.0467524572739042,0.00023986514658247415
MOM12_1,FOREIGN_FLOW,STRESS_2026,29,0.004835595512315511,1.0126794770164897,1.0087554111490102,0.0038749337342556256
OP12_REV,MOM1M,DISC_2016_2019,194,0.14500922620773155,0.6346826370798231,0.6257466866324839,0.014079399569607798
OP12_REV,MOM1M,VAL_2020_2022,149,0.14500922620773155,1.2529071959306843,1.2889840540884754,-0.02879451748299089
OP12_REV,MOM1M,CONF_2023_2024,97,0.14500922620773155,1.1500080912472355,1.129879815252688,0.01750272554405885
OP12_REV,MOM1M,STRESS_2025,49,0.14500922620773155,0.9395928310982586,0.9482950077285512,-0.00926164647310146
OP12_REV,MOM1M,STRESS_2026,29,0.14500922620773155,2.3097325143798573,2.2589507970073472,0.021985973291866023
OP12_REV,MOM12_1,DISC_2016_2019,194,-0.07849290257601045,0.6336047420347043,0.6312335963616774,0.0037423104906260107
OP12_REV,MOM12_1,VAL_2020_2022,149,-0.07849290257601045,1.0206922752801748,1.0114333793861356,0.009071192286135066
OP12_REV,MOM12_1,CONF_2023_2024,97,-0.07849290257601045,0.8728576443674089,0.8590194653957556,0.01585387841986796
OP12_REV,MOM12_1,STRESS_2025,49,-0.07849290257601045,1.651587753391029,1.6449398496719065,0.004025159247804444
OP12_REV,MOM12_1,STRESS_2026,29,-0.07849290257601045,4.158817854049353,4.2405736665048135,-0.019658425861535767
OP12_REV,OPFY1_REV,DISC_2016_2019,194,0.047256398070352715,0.442826437608445,0.44227366849699595,0.0012482748646046593
OP12_REV,OPFY1_REV,VAL_2020_2022,149,0.047256398070352715,0.7945692050443424,0.7997993033891387,-0.006582306879744371
OP12_REV,OPFY1_REV,CONF_2023_2024,97,0.047256398070352715,0.9437913771557375,0.9383567185244968,0.005758326217833121
OP12_REV,OPFY1_REV,STRESS_2025,49,0.047256398070352715,0.8434291915231442,0.8455739416657019,-0.002542892947165365
OP12_REV,OPFY1_REV,STRESS_2026,29,0.047256398070352715,0.6890438172974821,0.6871328620016423,0.0027733436508216025
OP12_REV,PBR12MF,DISC_2016_2019,194,-0.09582458044844627,0.6896198122387451,0.6853216968166361,0.006232586920836614
OP12_REV,PBR12MF,VAL_2020_2022,149,-0.09582458044844627,0.96343124195579,0.9780763181547885,-0.015200956291669065
OP12_REV,PBR12MF,CONF_2023_2024,97,-0.09582458044844627,1.1914834089963655,1.2086903680279752,-0.014441627052200312
OP12_REV,PBR12MF,STRESS_2025,49,-0.09582458044844627,1.1439415535144748,1.140599164741522,0.002921817782284619
OP12_REV,PBR12MF,STRESS_2026,29,-0.09582458044844627,2.2231315282547497,2.1784083696593117,0.020117189661084778
OP12_REV,PER12MF,DISC_2016_2019,194,-0.032966542635587744,0.6300668686566641,0.6295498805404263,0.00082052896598106
OP12_REV,PER12MF,VAL_2020_2022,149,-0.032966542635587744,1.0133098189299463,1.0187834004153369,-0.005401686022514562
OP12_REV,PER12MF,CONF_2023_2024,97,-0.032966542635587744,1.07030291869224,1.0758677724096584,-0.005199325929352794
OP12_REV,PER12MF,STRESS_2025,49,-0.032966542635587744,0.7910968429491804,0.7833190752244787,0.009831625285858014
