universe,strategy,period,cost_bp,n_phases,median_cagr,median_mdd,median_sharpe,median_benchmark_cagr,median_excess_cagr,median_information_ratio,median_relative_mdd,median_turnover,positive_cagr_phases,positive_excess_phases
K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,0,10,-0.06809527612733651,-0.5548647698766628,-0.1851748117509659,0.020023146913723422,-0.08571258943251636,-0.4319783424873604,-0.5619393480068002,11.83029653684629,0,0
K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,30,10,-0.10050142095635123,-0.6146983655201239,-0.33681411573528475,0.020023146913723422,-0.1175062976053553,-0.6260253710337351,-0.6557134220756557,11.83029653684629,0,0
K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,60,10,-0.13182639022652504,-0.6888515864264549,-0.48809859288565527,0.020023146913723422,-0.14823925682925804,-0.8188370631111974,-0.7302046081685352,11.83029653684629,0,0
K200,WEIGHTED_MOM,YTD_2026,0,10,0.6589761655968114,-0.44058406817439466,1.1332450235867824,1.0477770274712994,-0.1898648420500157,-0.697814661906083,-0.29581132468173976,10.420030110077256,10,0
K200,WEIGHTED_MOM,YTD_2026,30,10,0.6083339049609373,-0.443167965794867,1.0823719855566774,1.0477770274712994,-0.21459520085202127,-0.7775629584573157,-0.30067040644367127,10.420030110077256,10,0
K200,WEIGHTED_MOM,YTD_2026,60,10,0.5591795709466225,-0.4457433866024116,1.0313665053396175,1.0477770274712994,-0.238598953875375,-0.8570732223547013,-0.30550184136862063,10.420030110077256,10,0
K200,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,0,10,0.5339195701197801,-0.19728212855456434,1.5698563854004512,0.8474539436294959,-0.16971160476874808,-0.7954360003221026,-0.3417814595384828,11.965007937828716,10,0
K200,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,30,10,0.47849739992950846,-0.2023692096512334,1.4514934161985957,0.8474539436294959,-0.19971082092316617,-0.9710171002981003,-0.3539045675523822,11.965007937828716,10,0
K200,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,60,10,0.42499811469172954,-0.20811372600577827,1.3281936149688343,0.8474539436294959,-0.22866920736752494,-1.1450509974061291,-0.3658222867849986,11.965007937828716,10,0
K200,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,0,10,-0.05496223880160994,-0.3756397559560123,-0.21392238238764605,0.027164865641854608,-0.08062719233235488,-0.47854013613654983,-0.2723438668415236,12.862476795711009,0,0
K200,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,30,10,-0.09068875753555439,-0.40805964647790655,-0.42797891674547933,0.027164865641854608,-0.11538353850969946,-0.7231594285716982,-0.34020847537328125,12.862476795711009,0,0
K200,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,60,10,-0.12512021771271392,-0.442150245959115,-0.6424698352407592,0.027164865641854608,-0.148879991368972,-0.9653690596177665,-0.4043664715891016,12.862476795711009,0,0
K200,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,0,10,-0.0671069301454455,-0.47066569106959544,-0.11803408938928173,0.0031120961055546292,-0.07000117586420923,-0.31253421413792476,-0.35929430688446434,12.614443243205251,0,0
K200,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,30,10,-0.10180773982675334,-0.4998990468978477,-0.2553051260872493,0.0031120961055546292,-0.10459432833044818,-0.5081091905065641,-0.4113035958596829,12.614443243205251,0,0
K200,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,60,10,-0.13527223138117778,-0.5275465144486389,-0.39235841874665944,0.0031120961055546292,-0.13795499827386315,-0.7024304618437807,-0.45916702021426786,12.614443243205251,0,0
K200,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,0,10,-0.06420952858607937,-0.2562636044162866,-0.15631656635488456,0.03542592171588388,-0.09622653655111313,-0.4521911747201014,-0.1977022784572402,12.79481404101018,2,1
K200,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,30,10,-0.09994009160140999,-0.27872821741319637,-0.3140573541482494,0.03542592171588388,-0.1307346189411301,-0.6442859782972046,-0.22189717468854608,12.79481404101018,1,0
K200,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,60,10,-0.1339332825546078,-0.31180216888829854,-0.47058054675044736,0.03542592171588388,-0.16356477148054605,-0.8340486381737082,-0.276102530568765,12.79481404101018,0,0
