universe,strategy,period,cost_bp,n_phases,median_delta_cagr,median_delta_excess_cagr,median_delta_sharpe,median_delta_mdd,cagr_better_phases,excess_better_phases,sharpe_better_phases,mdd_better_phases
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,30,10,-0.029204838941886746,-0.021723031839113283,-0.0630062028120818,-0.009643262960446042,2,2,2,4
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,60,10,-0.03295949411835397,-0.02451580512252688,-0.07696995626337666,-0.010375589172600508,2,2,2,4
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,0,10,0.009692419611162462,0.00984701181824127,0.05014735572643919,0.008476334994060475,5,5,6,7
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,30,10,0.006976813019407058,0.007090304638827094,0.03765360142198626,0.0060205182500002175,5,5,5,7
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,60,10,0.004432484824235583,0.004507460089582638,0.025410272880722673,0.0037396334804991604,5,5,5,7
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,0,10,0.010899343502160042,0.010531833188082707,0.04047421504082217,0.01627705680092667,5,5,5,7
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,30,10,0.0067453088430220465,0.00651786665157561,0.030028740091751854,0.012930779369982937,5,5,5,7
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,60,10,0.0028550180036358563,0.002758750869473303,0.01751304762785684,0.009430466960437922,5,5,5,7
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,0,10,0.020826785031383632,0.019506331088004536,0.06301788127632027,0.02031438052390311,8,8,8,8
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,30,10,0.01660445056506965,0.015551699879198688,0.047106792197785005,0.016881388650548224,7,7,7,8
