date,UNIVERSE_POS20_BREADTH,SELECTED_POS20_BREADTH,SELECTED_RET20_DISPERSION,SELECTED_TOP5_POS_CONC,SELECTED_ACT5_GT1_SHARE,SELECTED_ACT5_RANK_MEDIAN,HOLDING_RETENTION_4STATE,MOMENTUM_OVERLAP,OP12_OVERLAP,ALL_FACTOR_MULTIPLICITY,value,is_high,GROSS_FWD5,GROSS_FWD5_NPHASE,GROSS_FWD10,GROSS_FWD10_NPHASE,GROSS_FWD20,GROSS_FWD20_NPHASE,NET60_FWD5,NET60_FWD5_NPHASE,NET60_FWD10,NET60_FWD10_NPHASE,NET60_FWD20,NET60_FWD20_NPHASE,sample,OPFY1_POS_BREADTH,OPFY1_MEDIAN_RAW,OPFY1_P75_RAW,OP12_POS_BREADTH,DUAL_UPGRADE_BREADTH,SELECTED_OPFY1_POS_SHARE,SELECTED_OPFY1_MEDIAN_RAW,SELECTED_DUAL_UPGRADE_SHARE,OPFY1_POS_BREADTH_ACCEL_4STATE,SELECTED_OPFY1_MEDIAN_ACCEL_4STATE
2018-07-16,0.2980946527350953,0.85,0.1532952348142887,0.5801047508206865,0.2,0.7428393524283935,0.2,0.45,0.65,0.3,0.625,True,-0.0673819062623156,10,-0.0348119787466139,10,-0.0649785433085984,10,-0.06825637564257,10,-0.037239814010077,10,-0.0702576971081264,10,EARLY_2016_2019,0.2590909090909091,0.0,0.08836546478899045,0.7162790697674418,0.03184323331292101,1.0,7.548670115957419,0.95,-0.030270793036750454,-0.2631149264951702
2018-07-23,0.1609336609336609,0.4,0.1433806263045322,0.8396047172758836,0.4,0.5952084629744866,0.35,0.35,0.75,0.2999999999999999,0.5,False,0.0349442154508005,10,0.0412237926793489,10,0.0547738691513015,10,0.0332998656795966,10,0.0377731416341103,10,0.0476625120739238,10,EARLY_2016_2019,0.28708133971291866,0.0,0.574712643678161,0.6813725490196079,0.03300733496332518,1.0,7.73736592076697,1.0,0.004570128950586838,1.5441569298535347
2018-07-30,0.5027624309392266,0.6,0.096164687451139,0.6527192081994744,0.35,0.7321095208462975,0.4,0.25,0.7,0.2428571428571428,0.5,False,0.0060862334110079,10,-0.0312294109358593,10,0.0375319409669624,10,0.004338126997478,10,-0.0342748299264577,10,0.0300285185253944,10,EARLY_2016_2019,0.25,0.0,0.00636132315521955,0.6553398058252428,0.028083028083028084,1.0,6.006378159275149,0.95,-0.04629629629629628,-1.4400124318678014
2018-08-06,0.5652173913043478,0.75,0.1169187906741806,0.6223056472815387,0.4,0.7022401991288114,0.15,0.4,0.65,0.2714285714285714,0.625,True,-0.0370961494630284,10,0.0130133032935636,10,0.0351760762068922,10,-0.0384483851271935,10,0.0095248800358381,10,0.0282423410114597,10,EARLY_2016_2019,0.28444444444444444,0.0,0.346500346500351,0.6759259259259259,0.03532277710109622,1.0,7.17569100352218,0.95,-0.011851851851851836,0.23676393614622526
2018-08-13,0.2420537897310513,0.45,0.0870376664679119,0.8823017821922902,0.35,0.5291563275434243,0.15,0.35,0.6,0.2571428571428572,0.625,True,0.0520757521674877,10,0.0709843108206051,10,0.0782822787290241,10,0.0499365215731425,10,0.0665958562877214,10,0.0712959263523692,10,EARLY_2016_2019,0.2857142857142857,0.0,0.505755144750609,0.6359223300970874,0.035909920876445525,1.0,7.196421770178565,0.95,0.026623376623376604,-0.3522483457788539
2018-08-21,0.6709401709401709,0.9,0.1343754549381675,0.4714601997486103,0.6842105263157895,0.7524813895781638,0.2,0.6,0.75,0.3428571428571428,0.75,True,0.0179932378325922,10,0.0218738653811571,10,0.0330819584041667,10,0.0159085727715094,10,0.0185426813532047,10,0.0268058860771206,10,EARLY_2016_2019,0.37850467289719625,0.0,2.0747363045647274,0.6213592233009708,0.04744525547445255,1.0,11.535968335083751,1.0,0.09142333318427759,3.7986024143167816
2018-08-28,0.5295191722458916,0.8,0.1720133884733496,0.4974703691456092,0.631578947368421,0.7237330037082819,0.1,0.55,0.75,0.3571428571428571,0.5,False,0.0038012712031897,10,0.006821066429556,10,0.0219011903601451,10,0.0025915101851164,10,0.0044155327767842,10,0.0157139156921157,10,EARLY_2016_2019,0.3926940639269406,0.0,1.943222505643575,0.6540284360189573,0.04978749241044323,1.0,15.5511305241521,0.95,0.14269406392694062,9.54475236487695
2018-09-04,0.5736009732360098,0.75,0.137637643687195,0.6155085529860665,0.4,0.5413325107958051,0.05,0.2,0.65,0.2571428571428572,0.375,False,0.002991366111879,10,0.0109154703303862,10,-0.0256273849362639,10,0.0018043274103306,10,0.0080651429604803,10,-0.0321374297721664,10,EARLY_2016_2019,0.3584070796460177,0.0,1.24519230769231,0.6267281105990783,0.04550970873786408,1.0,11.249077710844,0.95,0.07396263520157326,4.07338670732182
2018-09-11,0.7223572296476306,0.85,0.1284898634710233,0.622319538150539,0.25,0.4072704867529266,0.15,0.25,0.5,0.2642857142857143,0.375,False,0.0078896683730685,10,0.014996475300893,10,-0.0681458074433899,10,0.0062455076014969,10,0.0112718623893025,10,-0.0751214548048664,10,EARLY_2016_2019,0.36086956521739133,0.0,1.477106479134385,0.6666666666666666,0.046694966646452396,1.0,12.682618388818401,0.9,0.07515527950310563,5.486196618639836
2018-09-18,0.5976941747572816,0.75,0.131509572537038,0.6657308345257883,0.45,0.5474137931034482,0.2,0.2,0.45,0.1642857142857142,0.625,True,0.0070677350833486,10,-0.0361358103591554,10,-0.098062148243103,10,0.0050131849610626,10,-0.0398683283414192,10,-0.105044916614131,10,EARLY_2016_2019,0.31601731601731603,0.0,0.6019322836307694,0.6844444444444444,0.04116222760290557,1.0,8.198572550692877,0.85,-0.06248735687988022,-3.337395784390875
