universe,horizon,topn,sample,family,n_dates,gross_delta,positive_date_rate
K200,20,10,EARLY_2016_2019,MOMENTUM,49,0.001917821914201588,0.5714285714285714
K200,20,10,EARLY_2016_2019,REVISION,49,-0.0035124187433357473,0.42857142857142855
K200,20,10,EARLY_2016_2019,VALUE,49,-0.004368970036064338,0.3877551020408163
K200,20,10,LATE_2020_2022,FLOW,38,0.0013468178563773047,0.5
K200,20,10,LATE_2020_2022,MOMENTUM,38,0.0023374835481713516,0.5789473684210527
K200,20,10,LATE_2020_2022,REVISION,38,0.0021306593100748976,0.5526315789473685
K200,20,10,LATE_2020_2022,VALUE,38,0.004634344358210717,0.6052631578947368
K200,20,10,NORMAL_2023_2024,FLOW,24,-0.004039872223664137,0.4583333333333333
K200,20,10,NORMAL_2023_2024,MOMENTUM,24,0.004655286441885821,0.625
K200,20,10,NORMAL_2023_2024,REVISION,24,0.0033204626109688065,0.625
K200,20,10,NORMAL_2023_2024,VALUE,24,0.004794697256479489,0.75
K200,20,10,YTD_2026,FLOW,6,0.011236953829430602,0.5
K200,20,10,YTD_2026,MOMENTUM,6,0.01760130929826138,0.6666666666666666
K200,20,10,YTD_2026,REVISION,6,0.02034588551326821,0.6666666666666666
K200,20,10,YTD_2026,VALUE,6,0.014515705497941568,0.8333333333333334
K200,20,20,BULL_2025,FLOW,12,0.006528962685880018,0.8333333333333334
K200,20,20,BULL_2025,MOMENTUM,12,-0.00041216914258469534,0.5
K200,20,20,BULL_2025,REVISION,12,0.005997495379961371,0.5
K200,20,20,BULL_2025,VALUE,12,0.003433442734886435,0.75
K200,20,20,EARLY_2016_2019,FLOW,49,0.0008532504118057753,0.5510204081632653
K200,20,20,EARLY_2016_2019,MOMENTUM,49,-0.00042664817769580367,0.5102040816326531
K200,20,20,EARLY_2016_2019,REVISION,49,-0.00027848294674569457,0.46938775510204084
K200,20,20,EARLY_2016_2019,VALUE,49,0.0007899002067388412,0.5306122448979592
K200,20,20,LATE_2020_2022,FLOW,38,0.0035645575647145268,0.6842105263157895
K200,20,20,LATE_2020_2022,MOMENTUM,38,0.0009402934931768975,0.5526315789473685
K200,20,20,LATE_2020_2022,REVISION,38,0.0007317303306173871,0.47368421052631576
K200,20,20,LATE_2020_2022,VALUE,38,-6.793041109944418e-05,0.42105263157894735
K200,20,20,NORMAL_2023_2024,FLOW,24,-7.593002704490764e-05,0.5416666666666666
K200,20,20,NORMAL_2023_2024,MOMENTUM,24,-0.004330512638044181,0.375
K200,20,20,NORMAL_2023_2024,REVISION,24,0.0030846522640380993,0.5833333333333334
K200,20,20,NORMAL_2023_2024,VALUE,24,-0.0013479432590238413,0.375
K200,20,20,YTD_2026,FLOW,6,0.0023387259337997886,0.6666666666666666
K200,20,20,YTD_2026,MOMENTUM,6,0.006301873585921735,0.8333333333333334
K200,20,20,YTD_2026,REVISION,6,0.003335806453654165,0.5
K200,20,20,YTD_2026,VALUE,6,0.0008085535510465314,0.5
KOSDAQ,5,10,BULL_2025,FLOW,49,0.002614748132198513,0.42857142857142855
KOSDAQ,5,10,BULL_2025,MOMENTUM,49,0.0026955488424343105,0.5306122448979592
KOSDAQ,5,10,BULL_2025,REVISION,49,0.0010855631108799854,0.5102040816326531
KOSDAQ,5,10,BULL_2025,VALUE,49,0.0008861349047694529,0.4897959183673469
KOSDAQ,5,10,EARLY_2016_2019,FLOW,196,0.0015048936814199398,0.5102040816326531
KOSDAQ,5,10,EARLY_2016_2019,MOMENTUM,196,0.0002488915122028379,0.5153061224489796
KOSDAQ,5,10,EARLY_2016_2019,REVISION,196,0.0004730397893867785,0.5306122448979592
KOSDAQ,5,10,EARLY_2016_2019,VALUE,196,0.00025612829146266704,0.4897959183673469
KOSDAQ,5,10,LATE_2020_2022,FLOW,149,0.0006720395210853482,0.5100671140939598
KOSDAQ,5,10,LATE_2020_2022,MOMENTUM,149,-0.0014905512944928415,0.46308724832214765
KOSDAQ,5,10,LATE_2020_2022,REVISION,149,0.001298488177948069,0.5838926174496645
KOSDAQ,5,10,LATE_2020_2022,VALUE,149,-0.00038835295017692755,0.5167785234899329
KOSDAQ,5,10,NORMAL_2023_2024,FLOW,97,-0.0009072944806716895,0.4329896907216495
KOSDAQ,5,10,NORMAL_2023_2024,MOMENTUM,97,0.002315578909929379,0.5567010309278351
KOSDAQ,5,10,NORMAL_2023_2024,REVISION,97,-0.0006804220729653945,0.4845360824742268
KOSDAQ,5,10,NORMAL_2023_2024,VALUE,97,0.00043276785162837305,0.5670103092783505
KOSDAQ,5,10,YTD_2026,FLOW,28,0.0030053815735765774,0.6428571428571429
KOSDAQ,5,10,YTD_2026,MOMENTUM,28,0.014100468228739296,0.7142857142857143
KOSDAQ,5,10,YTD_2026,REVISION,28,0.0008376457813135728,0.6071428571428571
KOSDAQ,5,10,YTD_2026,VALUE,28,-0.0018133651876732694,0.5714285714285714
KOSDAQ,5,20,BULL_2025,FLOW,49,-0.0012186689737052967,0.3469387755102041
KOSDAQ,5,20,BULL_2025,MOMENTUM,49,0.0015299092674205493,0.5510204081632653
KOSDAQ,5,20,BULL_2025,REVISION,49,-0.0003094704927309643,0.42857142857142855
KOSDAQ,5,20,BULL_2025,VALUE,49,-0.00041186777588994637,0.4897959183673469
KOSDAQ,5,20,EARLY_2016_2019,FLOW,196,0.0010890404309743557,0.5561224489795918
KOSDAQ,5,20,EARLY_2016_2019,MOMENTUM,196,0.0011262642359631755,0.5969387755102041
KOSDAQ,5,20,EARLY_2016_2019,REVISION,196,-0.0002868859093580453,0.4642857142857143
KOSDAQ,5,20,EARLY_2016_2019,VALUE,196,0.0005429670601439418,0.5408163265306123
KOSDAQ,5,20,LATE_2020_2022,FLOW,149,0.0016411386863192277,0.5771812080536913
KOSDAQ,5,20,LATE_2020_2022,MOMENTUM,149,0.0006225738230314336,0.4966442953020134
KOSDAQ,5,20,LATE_2020_2022,REVISION,149,-2.8216854854004382e-05,0.5033557046979866
KOSDAQ,5,20,LATE_2020_2022,VALUE,149,0.0006914240824836639,0.5436241610738255
KOSDAQ,5,20,NORMAL_2023_2024,FLOW,97,0.0003282167139982593,0.5257731958762887
KOSDAQ,5,20,NORMAL_2023_2024,MOMENTUM,97,0.001108956553091101,0.5876288659793815
KOSDAQ,5,20,NORMAL_2023_2024,REVISION,97,-0.00026151606871315793,0.44329896907216493
KOSDAQ,5,20,NORMAL_2023_2024,VALUE,97,-0.0002554883405539307,0.4639175257731959
KOSDAQ,5,20,YTD_2026,FLOW,28,0.0002817592946514488,0.5357142857142857
KOSDAQ,5,20,YTD_2026,MOMENTUM,28,0.003026916047348702,0.6071428571428571
KOSDAQ,5,20,YTD_2026,REVISION,28,0.003679674227158834,0.6071428571428571
KOSDAQ,5,20,YTD_2026,VALUE,28,0.0007709956217544708,0.4642857142857143
KOSDAQ,10,10,BULL_2025,FLOW,25,0.0011641096843943751,0.56
KOSDAQ,10,10,BULL_2025,MOMENTUM,25,0.008603446250513314,0.56
KOSDAQ,10,10,BULL_2025,REVISION,25,0.0005244803507797422,0.44
KOSDAQ,10,10,BULL_2025,VALUE,25,-0.0012993613571894752,0.48
KOSDAQ,10,10,EARLY_2016_2019,FLOW,98,0.0014140593049953418,0.5102040816326531
KOSDAQ,10,10,EARLY_2016_2019,MOMENTUM,98,0.0007304180713812934,0.5
KOSDAQ,10,10,EARLY_2016_2019,REVISION,98,0.0018248968529073991,0.6020408163265306
KOSDAQ,10,10,EARLY_2016_2019,VALUE,98,-0.00027367004962426406,0.47959183673469385
KOSDAQ,10,10,LATE_2020_2022,FLOW,75,0.0022407732169946715,0.5333333333333333
