universe,horizon,topn,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
KOSDAQ_PLUS_KOSPI_EX_K200,10,10,LATE_2020_2022,75,0.000752234304392526,0.10516666666666667,0.000752234304392526,0.00043673430439252555,0.00012123430439252572
KOSDAQ_PLUS_KOSPI_EX_K200,10,10,NORMAL_2023_2024,48,-0.0017148740636760186,0.10312500000000002,-0.0017148740636760186,-0.002024249063676018,-0.0023336240636760183
KOSDAQ_PLUS_KOSPI_EX_K200,10,10,YTD_2026,13,0.013938067061622051,0.12596153846153843,0.013938067061622051,0.013560182446237438,0.01318229783085282
KOSDAQ_PLUS_KOSPI_EX_K200,10,20,BULL_2025,25,0.004439843875482437,0.048249999999999994,0.004439843875482437,0.004295093875482437,0.004150343875482437
KOSDAQ_PLUS_KOSPI_EX_K200,10,20,EARLY_2016_2019,98,0.0009399104005909317,0.037563775510204074,0.0009399104005909317,0.0008272190740603193,0.0007145277475297071
KOSDAQ_PLUS_KOSPI_EX_K200,10,20,LATE_2020_2022,75,0.0018960792376692954,0.060833333333333336,0.0018960792376692954,0.0017135792376692957,0.0015310792376692958
KOSDAQ_PLUS_KOSPI_EX_K200,10,20,NORMAL_2023_2024,48,0.001076232439738742,0.05611979166666666,0.001076232439738742,0.0009078730647387425,0.0007395136897387424
KOSDAQ_PLUS_KOSPI_EX_K200,10,20,YTD_2026,13,0.004853376192824443,0.06538461538461537,0.004853376192824443,0.004657222346670597,0.00446106850051675
KOSDAQ_PLUS_KOSPI_EX_K200,20,10,BULL_2025,12,0.011027703361775637,0.12187500000000001,0.011027703361775637,0.010662078361775641,0.01029645336177564
KOSDAQ_PLUS_KOSPI_EX_K200,20,10,EARLY_2016_2019,49,0.0010679412346138136,0.07066326530612245,0.0010679412346138136,0.0008559514386954458,0.0006439616427770786
KOSDAQ_PLUS_KOSPI_EX_K200,20,10,LATE_2020_2022,38,0.006492380934103145,0.10723684210526316,0.006492380934103145,0.006170670407787358,0.005848959881471566
KOSDAQ_PLUS_KOSPI_EX_K200,20,10,NORMAL_2023_2024,24,-0.003348294193468058,0.1125,-0.003348294193468058,-0.003685794193468058,-0.004023294193468058
KOSDAQ_PLUS_KOSPI_EX_K200,20,10,YTD_2026,6,0.015322965144552387,0.12708333333333333,0.015322965144552387,0.01494171514455239,0.014560465144552386
KOSDAQ_PLUS_KOSPI_EX_K200,20,20,BULL_2025,12,0.012376514787178697,0.05416666666666667,0.012376514787178697,0.012214014787178698,0.012051514787178697
KOSDAQ_PLUS_KOSPI_EX_K200,20,20,EARLY_2016_2019,49,-1.3354074939137672e-05,0.04081632653061224,-1.3354074939137672e-05,-0.00013580305453097434,-0.0002582520341228111
KOSDAQ_PLUS_KOSPI_EX_K200,20,20,LATE_2020_2022,38,0.004112453886830808,0.05740131578947368,0.004112453886830808,0.003940249939462387,0.0037680459920939654
KOSDAQ_PLUS_KOSPI_EX_K200,20,20,NORMAL_2023_2024,24,0.003726842624933281,0.06588541666666667,0.003726842624933281,0.0035291863749332807,0.0033315301249332804
KOSDAQ_PLUS_KOSPI_EX_K200,20,20,YTD_2026,6,0.0149722303082303,0.08229166666666667,0.0149722303082303,0.014725355308230298,0.014478480308230303
KOSPI_ALL,5,10,BULL_2025,49,0.005292998282170306,0.06428571428571428,0.005292998282170306,0.005100141139313163,0.00490728399645602
KOSPI_ALL,5,10,EARLY_2016_2019,196,0.001487715519893712,0.051658163265306124,0.001487715519893712,0.0013327410300977933,0.001177766540301875
KOSPI_ALL,5,10,LATE_2020_2022,149,0.0008325429976094895,0.08137583892617449,0.0008325429976094895,0.0005884154808309655,0.0003442879640524429
KOSPI_ALL,5,10,NORMAL_2023_2024,97,0.0013760180261929633,0.08067010309278351,0.0013760180261929633,0.0011340077169146126,0.0008919974076362624
KOSPI_ALL,5,10,YTD_2026,28,1.3747335900153577e-05,0.07589285714285716,1.3747335900153577e-05,-0.00021393123552841873,-0.0004416098069569898
KOSPI_ALL,5,20,BULL_2025,49,0.0019092043607858561,0.03979591836734693,0.0019092043607858561,0.0017898166056838154,0.0016704288505817743
KOSPI_ALL,5,20,EARLY_2016_2019,196,0.0004788910024897483,0.022448979591836737,0.0004788910024897483,0.00041154406371423817,0.00034419712493872795
KOSPI_ALL,5,20,LATE_2020_2022,149,0.0005730001186369858,0.04416946308724831,0.0005730001186369858,0.00044049172937524065,0.00030798334011349586
KOSPI_ALL,5,20,NORMAL_2023_2024,97,0.0005613023597864844,0.041301546391752576,0.0005613023597864844,0.0004373977206112266,0.00031349308143596873
KOSPI_ALL,5,20,YTD_2026,28,0.000890904113689915,0.03660714285714285,0.000890904113689915,0.0007810826851184864,0.0006712612565470578
KOSPI_ALL,10,10,BULL_2025,25,0.007666701416947408,0.0775,0.007666701416947408,0.007434201416947407,0.0072017014169474085
KOSPI_ALL,10,10,EARLY_2016_2019,98,0.0015418711511470985,0.06505102040816327,0.0015418711511470985,0.001346718089922608,0.0011515650286981185
KOSPI_ALL,10,10,LATE_2020_2022,75,0.0017435585874187216,0.09233333333333334,0.0017435585874187216,0.0014665585874187224,0.0011895585874187212
KOSPI_ALL,10,10,NORMAL_2023_2024,48,0.0038384051302450873,0.09036458333333335,0.0038384051302450873,0.0035673113802450877,0.003296217630245088
KOSPI_ALL,10,10,YTD_2026,13,-0.002219312762008961,0.08557692307692306,-0.002219312762008961,-0.002476043531239732,-0.0027327743004704986
KOSPI_ALL,10,20,BULL_2025,25,0.0027359705886824907,0.04499999999999999,0.0027359705886824907,0.002600970588682491,0.002465970588682491
KOSPI_ALL,10,20,EARLY_2016_2019,98,0.0003487730425639145,0.029591836734693882,0.0003487730425639145,0.0002599975323598327,0.00017122202215575112
KOSPI_ALL,10,20,LATE_2020_2022,75,0.0007175085720929224,0.04875000000000001,0.0007175085720929224,0.0005712585720929223,0.00042500857209292235
KOSPI_ALL,10,20,NORMAL_2023_2024,48,0.0005750031463474691,0.056640625,0.0005750031463474691,0.00040508127134746924,0.00023515939634746914
KOSPI_ALL,10,20,YTD_2026,13,0.0019144230575867361,0.05096153846153847,0.0019144230575867361,0.0017615384422021208,0.0016086538268175051
KOSPI_ALL,20,10,BULL_2025,12,0.01630751737105402,0.09791666666666667,0.01630751737105402,0.01601376737105402,0.01572001737105402
KOSPI_ALL,20,10,EARLY_2016_2019,49,0.001835927130924227,0.07908163265306123,0.001835927130924227,0.0015986822329650432,0.0013614373350058597
KOSPI_ALL,20,10,LATE_2020_2022,38,0.005651056262854668,0.09407894736842104,0.005651056262854668,0.005368819420749406,0.005086582578644144
KOSPI_ALL,20,10,NORMAL_2023_2024,24,0.0006395551972145953,0.10885416666666665,0.0006395551972145953,0.00031299269721459547,-1.3569802785403859e-05
KOSPI_ALL,20,10,YTD_2026,6,0.007281685327118132,0.06250000000000001,0.007281685327118132,0.007094185327118131,0.0069066853271181295
KOSPI_ALL,20,20,BULL_2025,12,0.003871275229617568,0.042187499999999996,0.003871275229617568,0.003744712729617567,0.0036181502296175685
KOSPI_ALL,20,20,EARLY_2016_2019,49,4.660223237133735e-05,0.032397959183673476,4.660223237133735e-05,-5.0591645179683235e-05,-0.00014778552273070347
KOSPI_ALL,20,20,LATE_2020_2022,38,0.0025926971400704823,0.054276315789473686,0.0025926971400704823,0.0024298681927020626,0.00226703924533364
KOSPI_ALL,20,20,NORMAL_2023_2024,24,0.0002098972415770234,0.06484374999999999,0.0002098972415770234,1.5365991577023726e-05,-0.00017916525842297566
KOSPI_ALL,20,20,YTD_2026,6,0.007233915314880601,0.029166666666666674,0.007233915314880601,0.007146415314880601,0.007058915314880602
KOSPI_EX_K200,5,10,BULL_2025,49,0.0021821055782104784,0.04362244897959184,0.0021821055782104784,0.0020512382312717027,0.0019203708843329272
KOSPI_EX_K200,5,10,EARLY_2016_2019,196,0.0009400784982269099,0.020854591836734694,0.0009400784982269099,0.0008775147227167058,0.0008149509472065017
KOSPI_EX_K200,5,10,LATE_2020_2022,149,-0.00047533180546997073,0.04144295302013423,-0.00047533180546997073,-0.0005996606645303736,-0.0007239895235907763
KOSPI_EX_K200,5,10,NORMAL_2023_2024,97,0.0010391771592144453,0.04162371134020619,0.0010391771592144453,0.0009143060251938268,0.0007894348911732082
KOSPI_EX_K200,5,10,YTD_2026,28,-0.0010705093052556295,0.04285714285714286,-0.0010705093052556295,-0.0011990807338270583,-0.0013276521623984867
KOSPI_EX_K200,5,20,BULL_2025,49,0.0009940378336982549,0.017474489795918362,0.0009940378336982549,0.0009416143643104999,0.0008891908949227447
KOSPI_EX_K200,5,20,EARLY_2016_2019,196,0.0002504318543003245,0.0071109693877551014,0.0002504318543003245,0.00022909894613705914,0.00020776603797379378
KOSPI_EX_K200,5,20,LATE_2020_2022,149,0.00011833180982746716,0.016946308724832212,0.00011833180982746716,6.749288365297052e-05,1.665395747847391e-05
KOSPI_EX_K200,5,20,NORMAL_2023_2024,97,0.00025727635311446266,0.019587628865979378,0.00025727635311446266,0.00019851346651652443,0.00013975057991858628
KOSPI_EX_K200,5,20,YTD_2026,28,0.0011171985933504033,0.021651785714285714,0.0011171985933504033,0.0010522432362075464,0.0009872878790646892
KOSPI_EX_K200,10,10,BULL_2025,25,0.0032364331062779356,0.04450000000000001,0.0032364331062779356,0.0031029331062779352,0.002969433106277935
KOSPI_EX_K200,10,10,EARLY_2016_2019,98,0.0004998115784508331,0.0264030612244898,0.0004998115784508331,0.00042060239477736353,0.0003413932111038942
KOSPI_EX_K200,10,10,LATE_2020_2022,75,-0.0009092919061235509,0.047,-0.0009092919061235509,-0.0010502919061235513,-0.0011912919061235511
KOSPI_EX_K200,10,10,NORMAL_2023_2024,48,0.001774618333180731,0.056510416666666674,0.001774618333180731,0.001605087083180731,0.0014355558331807308
KOSPI_EX_K200,10,10,YTD_2026,13,-0.003492221841867341,0.06153846153846155,-0.003492221841867341,-0.0036768372264827263,-0.0038614526110981114
KOSPI_EX_K200,10,20,BULL_2025,25,0.001103935193157967,0.011999999999999997,0.001103935193157967,0.0010679351931579672,0.001031935193157967
KOSPI_EX_K200,10,20,EARLY_2016_2019,98,0.0003773837439609105,0.006760204081632653,0.0003773837439609105,0.0003571031317160125,0.00033682251947111453
KOSPI_EX_K200,10,20,LATE_2020_2022,75,2.8281939059669945e-05,0.02,2.8281939059669945e-05,-3.1718060940330185e-05,-9.171806094033003e-05
KOSPI_EX_K200,10,20,NORMAL_2023_2024,48,0.0009633302265644974,0.022526041666666663,0.0009633302265644974,0.0008957521015644974,0.0008281739765644974
KOSPI_EX_K200,10,20,YTD_2026,13,0.0019844605993703276,0.03317307692307693,0.0019844605993703276,0.0018849413686010967,0.0017854221378318662
KOSPI_EX_K200,20,10,BULL_2025,12,0.0038271674781358354,0.04270833333333333,0.0038271674781358354,0.0036990424781358374,0.0035709174781358346
KOSPI_EX_K200,20,10,EARLY_2016_2019,49,-3.098731946411874e-05,0.02219387755102041,-3.098731946411874e-05,-9.756895211718013e-05,-0.0001641505847702413
KOSPI_EX_K200,20,10,LATE_2020_2022,38,-0.0005487790816358183,0.029605263157894742,-0.0005487790816358183,-0.0006375948711095025,-0.0007264106605831862
KOSPI_EX_K200,20,10,NORMAL_2023_2024,24,0.003106334031735911,0.05416666666666667,0.003106334031735911,0.0029438340317359105,0.0027813340317359102
KOSPI_EX_K200,20,10,YTD_2026,6,0.0005038633601412446,0.04375000000000001,0.0005038633601412446,0.000372613360141244,0.00024136336014124343
KOSPI_EX_K200,20,20,BULL_2025,12,0.001030986814086671,0.020833333333333332,0.001030986814086671,0.0009684868140866711,0.0009059868140866711
KOSPI_EX_K200,20,20,EARLY_2016_2019,49,0.0009979146973337913,0.004336734693877553,0.0009979146973337913,0.0009849044932521587,0.0009718942891705258
KOSPI_EX_K200,20,20,LATE_2020_2022,38,0.00016632428207829684,0.01529605263157894,0.00016632428207829684,0.00012043612418355981,7.454796628882336e-05
KOSPI_EX_K200,20,20,NORMAL_2023_2024,24,0.001916244013411635,0.02682291666666667,0.001916244013411635,0.001835775263411635,0.001755306513411635
KOSPI_EX_K200,20,20,YTD_2026,6,-0.00011817418476513444,0.034374999999999996,-0.00011817418476513444,-0.00022129918476513393,-0.00032442418476513426
KOSPI_KOSDAQ_ALL,5,10,BULL_2025,49,0.0038700444650536735,0.09489795918367348,0.0038700444650536735,0.003585350587502652,0.0033006567099516312
KOSPI_KOSDAQ_ALL,5,10,EARLY_2016_2019,196,0.0018493800464557488,0.07710459183673471,0.0018493800464557488,0.0016180662709455445,0.0013867524954353405
KOSPI_KOSDAQ_ALL,5,10,LATE_2020_2022,149,0.0006860884097423986,0.10855704697986575,0.0006860884097423986,0.00036041726880280106,3.474612786320387e-05
KOSPI_KOSDAQ_ALL,5,10,NORMAL_2023_2024,97,-7.616797113551881e-05,0.10940721649484537,-7.616797113551881e-05,-0.0004043896206200552,-0.0007326112701045909
KOSPI_KOSDAQ_ALL,5,10,YTD_2026,28,0.007126170250752913,0.08839285714285713,0.007126170250752913,0.006860991679324341,0.00659581310789577
KOSPI_KOSDAQ_ALL,5,20,BULL_2025,49,0.0018055253551830075,0.06428571428571428,0.0018055253551830075,0.0016126682123258644,0.001419811069468722
KOSPI_KOSDAQ_ALL,5,20,EARLY_2016_2019,196,0.0012725998971640415,0.047512755102040796,0.0012725998971640415,0.0011300616318579192,0.0009875233665517966
KOSPI_KOSDAQ_ALL,5,20,LATE_2020_2022,149,0.0011820617371396623,0.07151845637583892,0.0011820617371396623,0.0009675063680121455,0.0007529509988846288
KOSPI_KOSDAQ_ALL,5,20,NORMAL_2023_2024,97,0.0010122537453431315,0.06713917525773196,0.0010122537453431315,0.0008108362195699356,0.0006094186937967396
KOSPI_KOSDAQ_ALL,5,20,YTD_2026,28,0.004767160633338761,0.07678571428571428,0.004767160633338761,0.004536803490481619,0.0043064463476244754
KOSPI_KOSDAQ_ALL,10,10,BULL_2025,25,0.006211903103536718,0.1145,0.006211903103536718,0.005868403103536721,0.005524903103536719
KOSPI_KOSDAQ_ALL,10,10,EARLY_2016_2019,98,0.0008829160021110103,0.09783163265306123,0.0008829160021110103,0.0005894211041518268,0.00029592620619264294
KOSPI_KOSDAQ_ALL,10,10,LATE_2020_2022,75,0.0012608956232168327,0.12266666666666669,0.0012608956232168327,0.0008928956232168311,0.0005248956232168316
KOSPI_KOSDAQ_ALL,10,10,NORMAL_2023_2024,48,-0.0013056680522407398,0.12708333333333335,-0.0013056680522407398,-0.0016869180522407403,-0.0020681680522407395
KOSPI_KOSDAQ_ALL,10,10,YTD_2026,13,0.01786190774533724,0.1307692307692308,0.01786190774533724,0.017469600053029548,0.01707729236072185
KOSPI_KOSDAQ_ALL,10,20,BULL_2025,25,0.004620957740483625,0.06899999999999999,0.004620957740483625,0.004413957740483626,0.004206957740483625
KOSPI_KOSDAQ_ALL,10,20,EARLY_2016_2019,98,0.0014663648727892102,0.05720663265306124,0.0014663648727892102,0.0012947449748300266,0.0011231250768708428
KOSPI_KOSDAQ_ALL,10,20,LATE_2020_2022,75,0.0019391236453947898,0.08241666666666667,0.0019391236453947898,0.00169187364539479,0.0014446236453947898
KOSPI_KOSDAQ_ALL,10,20,NORMAL_2023_2024,48,0.0008432560410292208,0.08736979166666665,0.0008432560410292208,0.0005811466660292208,0.00031903729102922084
KOSPI_KOSDAQ_ALL,10,20,YTD_2026,13,0.011318455529616495,0.09134615384615384,0.011318455529616495,0.011044417068078032,0.010770378606539574
KOSPI_KOSDAQ_ALL,20,10,BULL_2025,12,0.012728326774416989,0.14479166666666668,0.012728326774416989,0.012293951774416991,0.01185957677441699
KOSPI_KOSDAQ_ALL,20,10,EARLY_2016_2019,49,2.3807993575924766e-05,0.11275510204081633,2.3807993575924766e-05,-0.00031445731254652347,-0.0006527226186689726
KOSPI_KOSDAQ_ALL,20,10,LATE_2020_2022,38,0.007455803779740719,0.14276315789473687,0.007455803779740719,0.007027514306056509,0.006599224832372299
KOSPI_KOSDAQ_ALL,20,10,NORMAL_2023_2024,24,5.831891690834141e-05,0.1473958333333333,5.831891690834141e-05,-0.00038386858309165844,-0.0008260560830916589
KOSPI_KOSDAQ_ALL,20,10,YTD_2026,6,0.025034075211299148,0.13333333333333333,0.025034075211299148,0.02463407521129915,0.02423407521129915
KOSPI_KOSDAQ_ALL,20,20,BULL_2025,12,0.01382073161093564,0.08958333333333335,0.01382073161093564,0.01355198161093564,0.013283231610935642
KOSPI_KOSDAQ_ALL,20,20,EARLY_2016_2019,49,0.00014412252246550784,0.06262755102040816,0.00014412252246550784,-4.376013059571688e-05,-0.00023164278365694077
KOSPI_KOSDAQ_ALL,20,20,LATE_2020_2022,38,0.00556931012212866,0.08815789473684212,0.00556931012212866,0.0053048364379181335,0.005040362753707608
KOSPI_KOSDAQ_ALL,20,20,NORMAL_2023_2024,24,0.001864644611364873,0.10546875,0.001864644611364873,0.0015482383613648727,0.0012318321113648724
KOSPI_KOSDAQ_ALL,20,20,YTD_2026,6,0.020296440017409618,0.08854166666666667,0.020296440017409618,0.02003081501740962,0.019765190017409617
