date,universe,factor,family,horizon,topn,strategy,gross,turnover,sample
2016-01-04,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,5,20,BASE,-0.015629498485406998,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,5,20,CROSS_FAMILY_W20,-0.007618933038293835,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,OP12_REV,REVISION,5,10,BASE,0.00274164906649714,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,OP12_REV,REVISION,5,10,CROSS_FAMILY_W20,0.011559354096735952,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,OP12_REV,REVISION,5,20,BASE,0.02596464272016636,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,OP12_REV,REVISION,5,20,CROSS_FAMILY_W20,0.00815315818736049,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,OPFY1_REV,REVISION,5,10,BASE,-0.013943261368454562,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,OPFY1_REV,REVISION,5,10,CROSS_FAMILY_W20,0.0019748171662769326,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,OPFY1_REV,REVISION,5,20,BASE,-0.02155547956680632,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,OPFY1_REV,REVISION,5,20,CROSS_FAMILY_W20,-0.0028476517463891966,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,PBR12MF,VALUE,5,10,BASE,-0.05520636367118696,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,PBR12MF,VALUE,5,10,CROSS_FAMILY_W20,-0.04205255412903612,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,PBR12MF,VALUE,5,20,BASE,-0.026210858055065112,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,PBR12MF,VALUE,5,20,CROSS_FAMILY_W20,-0.030443748321767723,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,PER12MF,VALUE,5,10,BASE,-0.021304267663530805,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,PER12MF,VALUE,5,10,CROSS_FAMILY_W20,-0.02095823425515808,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,PER12MF,VALUE,5,20,BASE,-0.01874661347331267,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,PER12MF,VALUE,5,20,CROSS_FAMILY_W20,-0.011594330290183719,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,MOM1M,MOMENTUM,5,10,BASE,0.03546447736142781,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,MOM1M,MOMENTUM,5,10,CROSS_FAMILY_W20,0.03443422913624486,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,MOM1M,MOMENTUM,5,20,BASE,0.016949195689078586,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,MOM1M,MOMENTUM,5,20,CROSS_FAMILY_W20,0.02038457801483338,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,MOM12_1,MOMENTUM,5,10,BASE,0.03466873877867406,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,MOM12_1,MOMENTUM,5,10,CROSS_FAMILY_W20,0.0351215950384464,1.0,EARLY_2016_2019
2016-01-04,KOSPI_ALL,MOM12_1,MOMENTUM,5,20,BASE,0.03250047509342921,1.0,EARLY_2016_2019
