universe,horizon,topn,sample,metric,mean,ci025,ci975,p_gt0,n_dates
K200,10,10,LATE_2020_2022,net_0,0.0018230783377158326,-0.0007085220274853638,0.004577453614240031,0.91875,75
K200,10,10,LATE_2020_2022,net_30,0.0016960783377158318,-0.0008985085037828224,0.004460353257309181,0.89675,75
K200,10,10,LATE_2020_2022,net_60,0.0015690783377158323,-0.0010589927750670476,0.004206203040663849,0.87325,75
K200,10,10,NORMAL_2023_2024,gross_delta,0.0009026606577637991,-0.0015467365423080534,0.003593941296093027,0.756,48
K200,10,10,NORMAL_2023_2024,net_0,0.0009026606577637991,-0.001632998026043852,0.0033735446354496946,0.746,48
K200,10,10,NORMAL_2023_2024,net_30,0.0007432856577637989,-0.0017478771473256821,0.0032653285388147516,0.70175,48
K200,10,10,NORMAL_2023_2024,net_60,0.0005839106577637993,-0.0018616358166777432,0.003315862768000225,0.66025,48
K200,10,10,YTD_2026,gross_delta,0.007830679228339951,-0.001148037761987956,0.01777370838669249,0.949,13
K200,10,10,YTD_2026,net_0,0.007830679228339951,-0.0008444838062941008,0.0174827264009039,0.95025,13
K200,10,10,YTD_2026,net_30,0.007735486920647642,-0.0011619948481965884,0.01737427626458262,0.9525,13
K200,10,10,YTD_2026,net_60,0.007640294612955335,-0.001322980251037494,0.017292779127831497,0.945,13
K200,10,20,BULL_2025,gross_delta,0.002455605062629791,-0.00010614266171878827,0.00580663612584285,0.968,25
K200,10,20,BULL_2025,net_0,0.002455605062629791,-8.40598008808682e-05,0.005902513760276014,0.96675,25
K200,10,20,BULL_2025,net_30,0.0023836050626297907,-0.0001397598493208095,0.0058415046073657636,0.9645,25
K200,10,20,BULL_2025,net_60,0.002311605062629791,-0.0002714225697196099,0.005798287037122892,0.9515,25
K200,10,20,EARLY_2016_2019,gross_delta,0.0002699296944752257,-0.0002816293237544805,0.0008348732393565624,0.8345,98
K200,10,20,EARLY_2016_2019,net_0,0.0002699296944752257,-0.0003047871238605098,0.0008344514817046011,0.827,98
K200,10,20,EARLY_2016_2019,net_30,0.00024218734753645018,-0.00032299228551538437,0.0007668600490115536,0.8045,98
K200,10,20,EARLY_2016_2019,net_60,0.0002144450005976748,-0.0003649951268679538,0.0007820808242598807,0.76725,98
K200,10,20,LATE_2020_2022,gross_delta,-8.292539804349478e-05,-0.0010556150393030161,0.0009756064256348104,0.43425,75
K200,10,20,LATE_2020_2022,net_0,-8.292539804349478e-05,-0.0010840721855878976,0.000964726852231096,0.42925,75
K200,10,20,LATE_2020_2022,net_30,-0.0001326753980434948,-0.001177007054614483,0.0009342724688404875,0.39025,75
K200,10,20,LATE_2020_2022,net_60,-0.00018242539804349481,-0.0011873060863627591,0.0008773793104589744,0.34875,75
K200,10,20,NORMAL_2023_2024,gross_delta,0.0007412773950016406,-0.0003237319837188064,0.0017710087647818083,0.919,48
K200,10,20,NORMAL_2023_2024,net_0,0.0007412773950016406,-0.0002973038847600173,0.0017971599239787134,0.916,48
K200,10,20,NORMAL_2023_2024,net_30,0.0007029961450016406,-0.00034343985731491444,0.001722353713545851,0.89725,48
K200,10,20,NORMAL_2023_2024,net_60,0.0006647148950016405,-0.0003513528598883703,0.0017197400086589722,0.88975,48
K200,10,20,YTD_2026,gross_delta,0.002800941058417827,0.0008974329956995927,0.004824810796582976,0.99975,13
K200,10,20,YTD_2026,net_0,0.002800941058417827,0.0009045151160616973,0.0048965403452827785,0.99975,13
K200,10,20,YTD_2026,net_30,0.0027216141353409032,0.000804886498588041,0.004723929488581657,0.9995,13
K200,10,20,YTD_2026,net_60,0.00264228721226398,0.0007727055407340331,0.004661860281331953,0.99975,13
K200,20,10,BULL_2025,gross_delta,0.0002232465487987511,-0.005616294007128147,0.006867701191304069,0.50825,12
K200,20,10,BULL_2025,net_0,0.0002232465487987511,-0.005468550227236856,0.006867701191304069,0.50775,12
K200,20,10,BULL_2025,net_30,3.2621548798750406e-05,-0.005655483093612869,0.006689576191304069,0.5115,12
K200,20,10,BULL_2025,net_60,-0.00015800345120124942,-0.005846108093612869,0.006511451191304068,0.45025,12
K200,20,10,EARLY_2016_2019,gross_delta,-0.0015968364345571122,-0.003968844222945046,0.0007122717652289468,0.09,49
K200,20,10,EARLY_2016_2019,net_0,-0.0015968364345571122,-0.003878280563544788,0.0006876336812515145,0.08525,49
K200,20,10,EARLY_2016_2019,net_30,-0.0017016833733326225,-0.004036304938837744,0.0006118165435746366,0.074,49
K200,20,10,EARLY_2016_2019,net_60,-0.0018065303121081325,-0.0041774007382774725,0.0004539674214216867,0.059,49
K200,20,10,LATE_2020_2022,gross_delta,0.002612326268208568,-0.0029447462449027823,0.008189464395200467,0.8155,38
K200,20,10,LATE_2020_2022,net_0,0.002612326268208568,-0.002928152302339521,0.008104761115947245,0.8105,38
K200,20,10,LATE_2020_2022,net_30,0.0024129841629454097,-0.003096397266350413,0.008373249255963715,0.78525,38
K200,20,10,LATE_2020_2022,net_60,0.002213642057682252,-0.0032818234152681806,0.007905275809598574,0.7745,38
K200,20,10,NORMAL_2023_2024,gross_delta,0.0021826435214174953,-0.001172517622516231,0.006041278119317135,0.8805,24
K200,20,10,NORMAL_2023_2024,net_0,0.0021826435214174953,-0.0012666402186265167,0.006061197883357002,0.877,24
K200,20,10,NORMAL_2023_2024,net_30,0.0019904560214174948,-0.0013896867423307288,0.005965895558382578,0.852,24
K200,20,10,NORMAL_2023_2024,net_60,0.001798268521417495,-0.0015385248108749923,0.005651646530203417,0.821,24
K200,20,20,BULL_2025,gross_delta,0.003886932914535782,-0.00012439210890716188,0.00890756395838861,0.967,12
K200,20,20,BULL_2025,net_0,0.003886932914535782,-0.00010979674486879214,0.008907563958388608,0.973,12
K200,20,20,BULL_2025,net_30,0.003797870414535782,-0.0002082342448687921,0.008841938958388607,0.965,12
K200,20,20,BULL_2025,net_60,0.003708807914535782,-0.0003971239226849513,0.008436184712100465,0.94225,12
K200,20,20,EARLY_2016_2019,gross_delta,0.00023450487352577967,-0.0010097886916667325,0.0014360287525781504,0.65425,49
K200,20,20,EARLY_2016_2019,net_0,0.00023450487352577967,-0.0009879360956676628,0.00143320035967039,0.639,49
K200,20,20,EARLY_2016_2019,net_30,0.0002050405878114939,-0.0009501983616785804,0.0013569084916535104,0.6355,49
K200,20,20,EARLY_2016_2019,net_60,0.0001755763020972082,-0.0010139168735334497,0.0013326947062142975,0.61075,49
K200,20,20,LATE_2020_2022,gross_delta,0.0012921627443523418,-0.0006913947964150983,0.00348023780793645,0.8915,38
K200,20,20,LATE_2020_2022,net_0,0.0012921627443523418,-0.0007618304515199192,0.003500018009485987,0.88175,38
K200,20,20,LATE_2020_2022,net_30,0.0012423272180365525,-0.0007895501607460712,0.0034254865482826573,0.87375,38
K200,20,20,LATE_2020_2022,net_60,0.001192491691720763,-0.0009182180614875624,0.0035053771302488842,0.85525,38
K200,20,20,NORMAL_2023_2024,gross_delta,-0.0006674334150187076,-0.0023625402061815117,0.0008573619488731153,0.23075,24
K200,20,20,NORMAL_2023_2024,net_0,-0.0006674334150187076,-0.002433655533172496,0.0008829168469947734,0.21375,24
