universe,eval_year,period,feature,target,train_n,test_n,train_spearman,direction,oos_spearman,directed_oos_spearman,raw_high_minus_low,directed_high_minus_low
K200,2020,DEV_2020_2022,SIGN_ALIGNMENT_20_60,TARGET_FWD_RANGE_20,184,50,0.06891417456494928,1,-0.25323285790772504,-0.25323285790772504,-0.026465848084685856,-0.026465848084685856
K200,2021,DEV_2020_2022,BREADTH_20,TARGET_FWD_DISPERSION_20,234,49,-0.06452886265289187,-1,0.18443840818127352,-0.18443840818127352,0.01067733896482486,-0.01067733896482486
K200,2021,DEV_2020_2022,BREADTH_60,TARGET_FWD_DISPERSION_20,234,49,0.05038168957156566,1,0.31857083022805227,0.31857083022805227,0.014733947559676042,0.014733947559676042
K200,2021,DEV_2020_2022,DISPERSION_20,TARGET_FWD_DISPERSION_20,234,49,0.2508109550936691,1,0.29244897959183674,0.29244897959183674,0.014515031450935436,0.014515031450935436
K200,2021,DEV_2020_2022,DISPERSION_60,TARGET_FWD_DISPERSION_20,234,49,0.2946041691544386,1,0.28765306122448975,0.28765306122448975,0.01531723252733451,0.01531723252733451
K200,2021,DEV_2020_2022,ABS_OPPORTUNITY_20,TARGET_FWD_DISPERSION_20,234,49,0.23638585868519213,1,0.2187755102040816,0.2187755102040816,0.009860523860718687,0.009860523860718687
K200,2021,DEV_2020_2022,RANGE_20,TARGET_FWD_DISPERSION_20,234,49,0.2459604438419159,1,0.2760204081632653,0.2760204081632653,0.014561305035364309,0.014561305035364309
K200,2021,DEV_2020_2022,LEADER_STRENGTH_20,TARGET_FWD_DISPERSION_20,234,49,0.24149580064108425,1,0.38020408163265307,0.38020408163265307,0.01623543635241686,0.01623543635241686
K200,2021,DEV_2020_2022,LOSER_WEAKNESS_20,TARGET_FWD_DISPERSION_20,234,49,0.15382789067384087,1,0.007346938775510204,0.007346938775510204,0.007857210273359179,0.007857210273359179
K200,2021,DEV_2020_2022,WINNER_GAP_20,TARGET_FWD_DISPERSION_20,234,49,0.12774620746495463,1,0.21051020408163262,0.21051020408163262,0.007798105172325889,0.007798105172325889
K200,2021,DEV_2020_2022,CROSS_HORIZON_RANK_CORR,TARGET_FWD_DISPERSION_20,234,49,0.027210696499020557,1,0.13547384252837563,0.13547384252837563,0.002530687330260649,0.002530687330260649
K200,2021,DEV_2020_2022,PREV_RANK_CORR_20,TARGET_FWD_DISPERSION_20,234,49,-0.008896941108592061,-1,-0.16757331894984928,0.16757331894984928,-0.0025989128259810493,0.0025989128259810493
K200,2021,DEV_2020_2022,RANK_TURNOVER_20,TARGET_FWD_DISPERSION_20,234,49,0.008896941108592061,1,0.16757331894984928,0.16757331894984928,0.0025989128259810493,0.0025989128259810493
K200,2021,DEV_2020_2022,BREADTH_CHANGE_20,TARGET_FWD_DISPERSION_20,234,49,-0.07522117097280295,-1,-0.14343041817550117,0.14343041817550117,-0.005278141726648158,0.005278141726648158
K200,2021,DEV_2020_2022,DISPERSION_CHANGE_20,TARGET_FWD_DISPERSION_20,234,49,0.03250142242015131,1,-0.07265306122448979,-0.07265306122448979,0.0010590388406670065,0.0010590388406670065
K200,2021,DEV_2020_2022,AVG_PAIR_CORR_60,TARGET_FWD_DISPERSION_20,234,49,-0.15405735104392765,-1,-0.41489795918367345,0.41489795918367345,-0.012503518759073191,0.012503518759073191
K200,2021,DEV_2020_2022,PC1_SHARE_60,TARGET_FWD_DISPERSION_20,234,49,0.26971287015118633,1,-0.13418367346938775,-0.13418367346938775,-0.008005601710713607,-0.008005601710713607
K200,2021,DEV_2020_2022,FACTOR_VOL_MEDIAN_60,TARGET_FWD_DISPERSION_20,234,49,0.2940562739850477,1,0.22418367346938772,0.22418367346938772,0.014764194321622813,0.014764194321622813
K200,2021,DEV_2020_2022,SIGN_ALIGNMENT_20_60,TARGET_FWD_DISPERSION_20,234,49,0.008262475628272665,1,0.08243293591336653,0.08243293591336653,0.008175586049818141,0.008175586049818141
K200,2021,DEV_2020_2022,BREADTH_20,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,-0.020905738610819145,-1,0.12399920053698704,-0.12399920053698704,0.006191820527514009,-0.006191820527514009
K200,2021,DEV_2020_2022,BREADTH_60,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,0.08767315871656389,1,0.2158077298481317,0.2158077298481317,0.009409424654958691,0.009409424654958691
K200,2021,DEV_2020_2022,DISPERSION_20,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,0.217030642325136,1,0.23826530612244895,0.23826530612244895,0.008368091484479642,0.008368091484479642
K200,2021,DEV_2020_2022,DISPERSION_60,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,0.21681710369501445,1,0.3468367346938775,0.3468367346938775,0.012957935393306995,0.012957935393306995
K200,2021,DEV_2020_2022,ABS_OPPORTUNITY_20,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,0.19993443989426096,1,0.1279591836734694,0.1279591836734694,0.002673559318583797,0.002673559318583797
K200,2021,DEV_2020_2022,RANGE_20,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,0.2109888102948098,1,0.22357142857142856,0.22357142857142856,0.007635872999944154,0.007635872999944154
K200,2021,DEV_2020_2022,LEADER_STRENGTH_20,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,0.20909974267658504,1,0.31295918367346937,0.31295918367346937,0.010988440840194135,0.010988440840194135
K200,2021,DEV_2020_2022,LOSER_WEAKNESS_20,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,0.12718707342029417,1,-0.008061224489795918,-0.008061224489795918,0.004709729619802892,0.004709729619802892
K200,2021,DEV_2020_2022,WINNER_GAP_20,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,0.06942019110770824,1,0.15857142857142856,0.15857142857142856,0.004596623726204105,0.004596623726204105
K200,2021,DEV_2020_2022,CROSS_HORIZON_RANK_CORR,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,0.020053587099264403,1,0.2014241833522872,0.2014241833522872,0.005744254904436644,0.005744254904436644
K200,2021,DEV_2020_2022,PREV_RANK_CORR_20,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,0.02980229370136855,1,-0.032278676493844784,-0.032278676493844784,0.0008413367797140553,0.0008413367797140553
K200,2021,DEV_2020_2022,RANK_TURNOVER_20,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,-0.02980229370136855,-1,0.032278676493844784,-0.032278676493844784,-0.0008413367797140553,0.0008413367797140553
K200,2021,DEV_2020_2022,BREADTH_CHANGE_20,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,-0.04011761194697416,-1,-0.09777944636910511,0.09777944636910511,-0.005326842354120183,0.005326842354120183
K200,2021,DEV_2020_2022,DISPERSION_CHANGE_20,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,0.11006558352006258,1,0.0070408163265306125,0.0070408163265306125,0.0038404442585409856,0.0038404442585409856
K200,2021,DEV_2020_2022,AVG_PAIR_CORR_60,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,-0.16486259304266795,-1,-0.5348979591836734,0.5348979591836734,-0.018547799871177915,0.018547799871177915
K200,2021,DEV_2020_2022,PC1_SHARE_60,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,0.17068339385935957,1,-0.06306122448979591,-0.06306122448979591,-0.006354473476310046,-0.006354473476310046
K200,2021,DEV_2020_2022,FACTOR_VOL_MEDIAN_60,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,0.25999686248065396,1,0.11816326530612245,0.11816326530612245,0.0018937495629770262,0.0018937495629770262
K200,2021,DEV_2020_2022,SIGN_ALIGNMENT_20_60,TARGET_FWD_ABS_OPPORTUNITY_20,234,49,-0.008228593465305857,-1,0.1673133437079259,-0.1673133437079259,0.008486229186793457,-0.008486229186793457
K200,2021,DEV_2020_2022,BREADTH_20,TARGET_FWD_RANGE_20,234,49,-0.04189754233305525,-1,0.1377306556300091,-0.1377306556300091,0.03168002607240458,-0.03168002607240458
K200,2021,DEV_2020_2022,BREADTH_60,TARGET_FWD_RANGE_20,234,49,0.062214894184256735,1,0.2502534618190548,0.2502534618190548,0.04179909892705305,0.04179909892705305
K200,2021,DEV_2020_2022,DISPERSION_20,TARGET_FWD_RANGE_20,234,49,0.2585723350402376,1,0.3016326530612245,0.3016326530612245,0.044483479241937074,0.044483479241937074
K200,2021,DEV_2020_2022,DISPERSION_60,TARGET_FWD_RANGE_20,234,49,0.3053991088508485,1,0.23551020408163262,0.23551020408163262,0.04537479662632164,0.04537479662632164
K200,2021,DEV_2020_2022,ABS_OPPORTUNITY_20,TARGET_FWD_RANGE_20,234,49,0.2448403026067167,1,0.20081632653061224,0.20081632653061224,0.030186524819699398,0.030186524819699398
K200,2021,DEV_2020_2022,RANGE_20,TARGET_FWD_RANGE_20,234,49,0.25527091542980507,1,0.2828571428571428,0.2828571428571428,0.045837476059920224,0.045837476059920224
K200,2021,DEV_2020_2022,LEADER_STRENGTH_20,TARGET_FWD_RANGE_20,234,49,0.24220197663718804,1,0.4172448979591837,0.4172448979591837,0.052244628942967816,0.052244628942967816
K200,2021,DEV_2020_2022,LOSER_WEAKNESS_20,TARGET_FWD_RANGE_20,234,49,0.17047734781275103,1,0.005306122448979591,0.005306122448979591,0.01976548771633027,0.01976548771633027
K200,2021,DEV_2020_2022,WINNER_GAP_20,TARGET_FWD_RANGE_20,234,49,0.12401021801076592,1,0.2114285714285714,0.2114285714285714,0.02212563036094843,0.02212563036094843
K200,2021,DEV_2020_2022,CROSS_HORIZON_RANK_CORR,TARGET_FWD_RANGE_20,234,49,0.03370297621572788,1,0.1649268972152154,0.1649268972152154,0.007489060318517482,0.007489060318517482
K200,2021,DEV_2020_2022,PREV_RANK_CORR_20,TARGET_FWD_RANGE_20,234,49,0.0014983582314496446,1,-0.14254712989607723,-0.14254712989607723,-0.007437004838772188,-0.007437004838772188
K200,2021,DEV_2020_2022,RANK_TURNOVER_20,TARGET_FWD_RANGE_20,234,49,-0.0014983582314496446,-1,0.14254712989607723,-0.14254712989607723,0.007437004838772188,-0.007437004838772188
K200,2021,DEV_2020_2022,BREADTH_CHANGE_20,TARGET_FWD_RANGE_20,234,49,-0.06054598616728321,-1,-0.1645080065095354,0.1645080065095354,-0.017201653836990433,0.017201653836990433
K200,2021,DEV_2020_2022,DISPERSION_CHANGE_20,TARGET_FWD_RANGE_20,234,49,0.023784738075670414,1,-0.07826530612244896,-0.07826530612244896,0.0005422331633120892,0.0005422331633120892
K200,2021,DEV_2020_2022,AVG_PAIR_CORR_60,TARGET_FWD_RANGE_20,234,49,-0.16381644106965998,-1,-0.448469387755102,0.448469387755102,-0.034880387031620566,0.034880387031620566
K200,2021,DEV_2020_2022,PC1_SHARE_60,TARGET_FWD_RANGE_20,234,49,0.268527168810248,1,-0.16030612244897957,-0.16030612244897957,-0.028268496455793213,-0.028268496455793213
K200,2021,DEV_2020_2022,FACTOR_VOL_MEDIAN_60,TARGET_FWD_RANGE_20,234,49,0.3090798405016285,1,0.1911224489795918,0.1911224489795918,0.043427876563192816,0.043427876563192816
K200,2021,DEV_2020_2022,SIGN_ALIGNMENT_20_60,TARGET_FWD_RANGE_20,234,49,0.032737804842945674,1,0.08753617515500262,0.08753617515500262,0.023351758577525167,0.023351758577525167
K200,2022,DEV_2020_2022,BREADTH_20,TARGET_FWD_DISPERSION_20,283,50,-0.01654003675410625,-1,-0.09889457979896145,0.09889457979896145,-0.0001285471219905701,0.0001285471219905701
K200,2022,DEV_2020_2022,BREADTH_60,TARGET_FWD_DISPERSION_20,283,50,0.1283388636997058,1,0.13851963397385506,0.13851963397385506,0.003406220503503539,0.003406220503503539
K200,2022,DEV_2020_2022,DISPERSION_20,TARGET_FWD_DISPERSION_20,283,50,0.2692114645621265,1,-0.15975990396158463,-0.15975990396158463,-0.00858591618062602,-0.00858591618062602
K200,2022,DEV_2020_2022,DISPERSION_60,TARGET_FWD_DISPERSION_20,283,50,0.3100333449460011,1,0.2779831932773109,0.2779831932773109,,
K200,2022,DEV_2020_2022,ABS_OPPORTUNITY_20,TARGET_FWD_DISPERSION_20,283,50,0.24648099105118645,1,-0.19702280912364944,-0.19702280912364944,-0.014554652925673393,-0.014554652925673393
K200,2022,DEV_2020_2022,RANGE_20,TARGET_FWD_DISPERSION_20,283,50,0.26359820451919846,1,-0.13536614645858341,-0.13536614645858341,-0.009333123393261651,-0.009333123393261651
K200,2022,DEV_2020_2022,LEADER_STRENGTH_20,TARGET_FWD_DISPERSION_20,283,50,0.27212292626520723,1,-0.004369747899159664,-0.004369747899159664,-0.007058401833407418,-0.007058401833407418
K200,2022,DEV_2020_2022,LOSER_WEAKNESS_20,TARGET_FWD_DISPERSION_20,283,50,0.15153419577687158,1,-0.24801920768307323,-0.24801920768307323,-0.009732058497729078,-0.009732058497729078
