feature,target,n_universe_years,DEV_2020_2022_median_dic,DEV_2020_2022_positive_dic_share,DEV_2020_2022_median_dhl,CONFIRM_2023_2024_median_dic,CONFIRM_2023_2024_positive_dic_share,CONFIRM_2023_2024_median_dhl,BULL_2025_median_dic,BULL_2025_positive_dic_share,BULL_2025_median_dhl,YTD_2026_median_dic,YTD_2026_positive_dic_share,YTD_2026_median_dhl,CONFIRM_positive_universes,CONFIRM_universe_count,PASS
PREV_RANK_CORR_20,TARGET_FWD_RANGE_20,42,-0.08947663600643296,0.3888888888888889,-0.011063046648078764,-0.006615237632399592,0.5,-0.002658494822999298,-0.11855239284979216,0.16666666666666666,-0.020754180955458605,0.12691602630743748,0.6666666666666666,0.016209007291197924,3,6,False
RANK_TURNOVER_20,TARGET_FWD_RANGE_20,42,-0.08947663600643296,0.3888888888888889,-0.011063046648078764,-0.006615237632399592,0.5,-0.002658494822999298,-0.11855239284979216,0.16666666666666666,-0.020754180955458605,0.12691602630743748,0.6666666666666666,0.016209007291197924,3,6,False
SIGN_ALIGNMENT_20_60,TARGET_FWD_RANGE_20,42,0.021957725511992782,0.5555555555555556,-0.0011983598033177487,-0.008031496304337974,0.4166666666666667,0.0027939393407599364,0.04561647811344773,0.6666666666666666,0.0070219980700305246,-0.03621956682217013,0.5,-0.013403508402087969,3,6,False
BREADTH_CHANGE_20,TARGET_FWD_ABS_OPPORTUNITY_20,42,0.06396318829994718,0.6666666666666666,0.001107497439816335,-0.008083578416672744,0.4166666666666667,-0.0010798797355686361,0.04757602289911747,0.6666666666666666,-0.00019910286777404668,-0.13185666519485983,0.3333333333333333,-0.011852365950597556,3,6,False
LOSER_WEAKNESS_20,TARGET_FWD_ABS_OPPORTUNITY_20,42,-0.021197478991596637,0.4444444444444444,0.002912206269091916,-0.022120060790273555,0.4166666666666667,0.00010896036648002164,-0.16749999999999998,0.3333333333333333,-0.0044849169472703735,0.2169117647058824,0.8333333333333334,0.0026696586832346617,2,6,False
CROSS_HORIZON_RANK_CORR,TARGET_FWD_RANGE_20,42,0.046635203580103174,0.5,-0.004251608489016262,-0.02388131122016565,0.4166666666666667,-0.0070577335602264035,-0.12675187559018675,0.16666666666666666,-0.007262880650531302,-0.1755961680987026,0.16666666666666666,-0.030090539843906125,3,6,False
PC1_SHARE_60,TARGET_FWD_ABS_OPPORTUNITY_20,42,-0.00427671068427371,0.5,0.0007683578059283977,-0.029852366478506295,0.4166666666666667,-0.0039446498728928775,-0.002704081632653073,0.5,0.006047707625618452,-0.10171568627450982,0.3333333333333333,0.010446974310444945,1,6,False
BREADTH_20,TARGET_FWD_RANGE_20,42,-0.03181456412107773,0.4444444444444444,-0.004729573871299603,-0.043492935974484906,0.4166666666666667,-0.003712787642123405,-0.012395563126027291,0.5,-0.008353388494279239,0.26342847985356205,0.8333333333333334,0.012469538443903111,1,6,False
BREADTH_20,TARGET_FWD_DISPERSION_20,42,0.012870096643042004,0.5,-0.0005693049294633289,-0.05304027240578558,0.4166666666666667,-0.002438384515889548,0.023707477118839422,0.5,-0.003500716306752076,0.24648332351461316,0.8333333333333334,0.004554438833195978,2,6,False
BREADTH_60,TARGET_FWD_ABS_OPPORTUNITY_20,42,0.16789122439400547,0.7222222222222222,0.00357194592345844,-0.0541080307085479,0.5,-0.0008387013780847795,0.09322463647215154,1.0,0.003477869276858815,0.1070688929277366,0.6666666666666666,0.01563607538627679,4,6,False
