universe,strategy,period,cost_bp,n_phases,median_delta_cagr,mean_delta_cagr,min_delta_cagr,cagr_better_phases,median_delta_sharpe,sharpe_better_phases,median_mdd_improvement,mdd_better_phases,median_delta_annual_turnover,median_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_annual_turnover
KOSDAQ,AMIHUD20_TOP05,PRE_STRESS_2016_2024,60,10,0.006324383884464102,0.006505657728061454,0.0050311453985008026,10,0.026059108424087304,10,0.00653878849445777,10,0.0026292862046926047,-0.008026810971560217,-0.0307210864538896,-0.5066335095933253,-0.5369992255871805,0.09365601407103039,0.0005632043842052671,9.609785689183731
KOSDAQ,TURNOVER20_LOW30,PRE_STRESS_2016_2024,60,10,0.009359488216279355,0.008637012718508762,0.00053432172499146,10,0.04303571338511906,10,0.009987685146189418,9,0.13406116393130496,-0.004597943805988269,-0.02764811266562095,-0.5018423362362272,-0.5415235579839968,0.11423994810482122,0.024562760303617495,9.739173761829143
KOSDAQ,TURNOVER20_TOP01_LOW30,PRE_STRESS_2016_2024,60,10,0.013998043229927204,0.012529721520655313,0.0054408001968022646,10,0.06137561749887188,10,0.015327873632915712,9,0.12934643096804344,-0.001996318644971462,-0.022942211417988467,-0.5005573966888723,-0.5408527647778976,0.12388909786541885,0.0426560931297214,9.730380588027174
KOSDAQ,ACT1_LOW05,YTD_2026,0,10,0.0008215385603590475,0.002363258537463253,-0.022075647489144368,6,0.0013121626884422533,6,0.0015179210864283421,9,0.09780635100487878,0.11709384879289964,-0.0517508945388796,-0.443114876874017,-0.4590110015467186,0.4833670040640236,0.21810931294184904,11.18063560316689
KOSDAQ,ACT5_LOW30,YTD_2026,0,10,-0.0007728748301075172,-0.016564595930698554,-0.16205451227058676,5,-0.0015927063128293867,5,0.010866702548018192,10,1.649389730781004,0.08363321941657342,-0.08088989284542514,-0.4306365095303536,-0.45311217139736026,0.4335614675664921,0.16465233003709537,12.832285743266908
KOSDAQ,AMIHUD20_TOP05,YTD_2026,0,10,-0.004041302992365048,-0.004372010801886572,-0.009506813798822789,1,-0.005933324830554615,1,3.885780586188048e-16,7,0.007439095176035693,0.10544182881964959,-0.08390357659249847,-0.44479782948882196,-0.46306000124805546,0.4659381522821504,0.1597681536111229,11.116751546158769
KOSDAQ,TURNOVER20_LOW30,YTD_2026,0,10,-0.0037235209371542233,0.006687614762430594,-0.03255947374779278,4,0.0019340818830595463,6,-0.013723019094328937,0,0.35592020156583715,0.10926517729378249,-0.044518227560499835,-0.4582476728430684,-0.4738101100168587,0.4769583149337622,0.24488084070378174,11.55151414013375
KOSDAQ,TURNOVER20_TOP01_LOW30,YTD_2026,0,10,-0.009742986663023201,0.0004906269381576567,-0.04514205556676498,4,-0.009396660940512197,4,-0.010865151397803752,0,0.3599801858618896,0.11157477885603329,-0.05970877473741576,-0.4558922514251529,-0.4755795507950764,0.4803311759986698,0.218713967062162,11.580306779531771
KOSDAQ,ACT1_LOW05,YTD_2026,30,10,0.0005794302925474781,0.001994026073150801,-0.0216578975490076,5,0.0010435807902754446,5,0.0014973163718272064,9,0.09780635100487878,0.08081115883071,-0.08375181430477174,-0.4464592436032467,-0.46235248747786606,0.42890188117350564,0.16274624248195466,11.18063560316689
KOSDAQ,ACT5_LOW30,YTD_2026,30,10,-0.005738034759326216,-0.021024459518937177,-0.16163257771476092,4,-0.010384024343618091,4,0.009884140816913467,10,1.649389730781004,0.04514279051403658,-0.11630788607902631,-0.43489879686200106,-0.4568052163596632,0.37368007335953163,0.1009124727826419,12.832285743266908
