universe,strategy,period,cost_bp,n_phases,median_cagr,mean_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_turnover,median_n_names,median_top_weight,median_missing_return_weight
KOSDAQ,ACT5_LOW30,EARLY_2016_2019,60,10,-0.01660998961348903,-0.017074264949235772,-0.046776745025487676,-0.37505768563335246,-0.3907326293507969,0.026064710345872464,-0.12354063334036851,10.834008303363024,76.83333333333333,0.03815104166666666,0.0
KOSDAQ,ACT5_LOW30,FULL_2016_2026,0,10,0.11543444170100114,0.11479500535325324,0.09036952087201877,-0.4688556167135885,-0.4945320369582782,0.5298854218412381,0.44907107069487856,11.541845736863552,85.91279069767441,0.03504118217054263,0.0
KOSDAQ,ACT5_LOW30,FULL_2016_2026,30,10,0.07763456616748654,0.07688054582472117,0.053066808158739986,-0.49922362925982194,-0.5221827644510864,0.40715163341046684,0.3251272069244487,11.541845736863552,85.91279069767441,0.03504118217054263,0.0
KOSDAQ,ACT5_LOW30,FULL_2016_2026,60,10,0.04106549557552597,0.04020510272750442,0.01699024833634022,-0.5296149447210498,-0.5534565158127767,0.284183863952333,0.2009792881239136,11.541845736863552,85.91279069767441,0.03504118217054263,0.0
KOSDAQ,ACT5_LOW30,LATE_2020_2022,0,10,0.06908929485018267,0.060463418772443725,0.021225373056046992,-0.39918188989349557,-0.4235861198266132,0.3745825820196552,0.21927747501293463,11.955916796386209,89.40954954954955,0.03422747747747748,0.0
KOSDAQ,ACT5_LOW30,LATE_2020_2022,30,10,0.031201700189861126,0.023100018405451693,-0.014618239458110027,-0.40191455927051545,-0.4261381951192509,0.2519793388876204,0.09815132875775323,11.955916796386209,89.40954954954955,0.03422747747747748,0.0
KOSDAQ,ACT5_LOW30,LATE_2020_2022,60,10,-0.005395446751233379,-0.012998015536329243,-0.049252805166336344,-0.4075193338133085,-0.42930933900641555,0.12920362331192334,-0.02343146382951569,11.955916796386209,89.40954954954955,0.03422747747747748,0.0
KOSDAQ,ACT5_LOW30,NORMAL_2023_2024,0,10,0.07586940583893098,0.07986633724992047,0.04526158341959552,-0.3285106918001084,-0.35869135469049707,0.4174424608739853,0.30355327530029597,11.882708237520479,92.87755102040816,0.032344812925170066,0.0
KOSDAQ,ACT5_LOW30,NORMAL_2023_2024,30,10,0.038713237346139406,0.042090761474110505,0.008260184027340411,-0.3390044369078992,-0.36903444698961707,0.2778510804400556,0.15855719789684755,11.882708237520479,92.87755102040816,0.032344812925170066,0.0
KOSDAQ,ACT5_LOW30,NORMAL_2023_2024,60,10,0.002790261522701676,0.005585617445930069,-0.027481804742322646,-0.3495922822684206,-0.37922457196840653,0.1380581712215473,0.013692602916427203,11.882708237520479,92.87755102040816,0.032344812925170066,0.0
