universe,cost_bps,period,n_rebalances,crash_cap_cagr,crash_cap_sharpe,crash_cap_mdd,persist_only_cagr,persist_only_sharpe,persist_only_mdd,ew8_cagr,ew8_sharpe,ew8_mdd,top2_cagr,top2_sharpe,top2_mdd,delta_sharpe_vs_persist,delta_cagr_vs_persist,delta_mdd_vs_persist,delta_sharpe_vs_ew8,delta_cagr_vs_ew8,delta_mdd_vs_ew8,cap_trigger_share,persist_top2_share,annual_cap_turnover
KOSDAQ,10,CONFIRM_2023_2024,24,0.13912578950289967,1.2341683402794592,-0.05184610210021068,0.23516939913186952,1.3733476487025087,-0.05184610210021068,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.03386334970952465,0.2536547586900637,-0.1608984015062217,-0.13917930842304949,-0.09604360962896985,0.0,0.6933674354226125,0.10082919197097584,0.014722816681615347,0.125,0.4583333333333333,8.6625
KOSDAQ_PLUS_KOSPI_EX_K200,10,CONFIRM_2023_2024,24,0.13885400281130944,1.1220520251458608,-0.07095301257926545,0.13912707340376973,1.1190966135389344,-0.07095301257926534,0.047218133811595786,0.751958283399789,-0.07377209570159937,0.04323589844631659,0.2912046157744927,-0.2231980793066446,0.0029554116069263614,-0.0002730705924602894,-1.1102230246251565e-16,0.3700937417460718,0.09163586899971365,0.0028190831223339208,0.08333333333333333,0.375,9.31875
KOSPI_ALL,10,CONFIRM_2023_2024,24,0.09675797866728741,1.0082669726038673,-0.053386919334620586,0.12598181829177468,1.211765868969174,-0.05362408238640681,0.08517826364566328,1.2527517412988858,-0.04634863422223201,0.16551456419249244,0.9790816979365301,-0.09439396459622496,-0.2034988963653066,-0.02922383962448727,0.00023716305178622665,-0.24448476869501845,0.011579715021624137,-0.007038285112388576,0.08333333333333333,0.375,7.3500000000000005
KOSPI_EX_K200,10,CONFIRM_2023_2024,25,0.026344836232164104,0.2746993396424208,-0.08107904591852888,0.016465275120095768,0.1942097754947539,-0.10683693949876238,0.04150157101952545,0.49129305351427915,-0.07632756727463941,0.06970557034852853,0.5213997571136906,-0.09630449269752706,0.08048956414766692,0.009879561112068336,0.025757893580233504,-0.21659371387185833,-0.015156734787361348,-0.004751478643889473,0.08,0.4,6.930000000000001
KOSPI_KOSDAQ_ALL,10,CONFIRM_2023_2024,24,0.05987657396885715,0.6942700887603094,-0.05159685757203647,0.0644109234100756,0.7309093491640566,-0.05159685757203647,0.08586290337055691,1.3362574655534307,-0.05492402082378045,0.09287949035047416,0.542313953449407,-0.1545711769416135,-0.03663926040374721,-0.004534349441218444,0.0,-0.6419873767931213,-0.02598632940169976,0.003327163251743981,0.041666666666666664,0.3333333333333333,8.399999999999999
K200,10,BULL_2025,12,0.293238113387712,1.7251669727699854,-0.06273041966511106,0.2574371079263844,1.528315834957869,-0.06273041966511106,0.24428861752413122,1.99165182428855,-0.06198041966511103,-0.014266671866135727,0.05587498161978565,-0.19112445067483808,0.1968511378121165,0.035801005461327584,0.0,-0.2664848515185645,0.04894949586358077,-0.0007500000000000284,0.08333333333333333,0.25,7.3500000000000005
KOSDAQ,10,BULL_2025,12,-0.0013481343430146175,0.03408234533376789,-0.06335759656202722,-0.005103759239908023,-0.002319989206041257,-0.06335759656202722,0.11958291186537218,1.2571306378429388,-0.04204034533001999,0.024431939209602405,0.22820199297134283,-0.08818350176781087,0.03640233453980914,0.003755624896893406,0.0,-1.2230482925091708,-0.1209310462083868,-0.02131725123200723,0.08333333333333333,0.25,8.137500000000001
KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,12,0.008320219109216431,0.12436279653117503,-0.09614575772207057,0.008320219109216431,0.12436279653117503,-0.09614575772207057,0.12347214370878823,1.476147799073752,-0.024328852993387606,0.1879685527309396,1.7141242224588775,-0.02175889825649102,0.0,0.0,0.0,-1.3517850025425768,-0.1151519245995718,-0.07181690472868296,0.0,0.4166666666666667,7.875
KOSPI_ALL,10,BULL_2025,12,0.19206645023226154,1.4259188098570226,-0.078570083177816,0.19206645023226154,1.4259188098570226,-0.078570083177816,0.19042237372146853,2.1353087016045973,-0.04581588063655484,-0.07037788915149301,-0.3991942381015509,-0.17442321834083452,0.0,0.0,0.0,-0.7093898917475747,0.0016440765107930133,-0.03275420254126116,0.0,0.16666666666666666,9.1875
KOSPI_EX_K200,10,BULL_2025,12,0.2444502215680302,2.3192074834027174,-0.01951480359777591,0.2345855148840208,2.1751751190453423,-0.02715784093712159,0.11789481425423265,1.9141659111911096,-0.02180019878037376,0.11493887653032431,0.8432143402806535,-0.06666542821680466,0.1440323643573751,0.009864706684009406,0.007643037339345682,0.40504157221160786,0.12655540731379755,0.002285395182597849,0.08333333333333333,0.3333333333333333,7.3500000000000005
