universe,sample,zone,n_dates,fwd10
KOSPI_ALL,LATE_2020_2022,P50_70,75,0.0070225628882374545
KOSPI_ALL,LATE_2020_2022,P70_90,75,0.0015051871067126895
KOSPI_ALL,LATE_2020_2022,P90_95,75,0.004278800555118441
KOSPI_ALL,LATE_2020_2022,P95_99,75,0.005093478852279648
KOSPI_ALL,LATE_2020_2022,P99_100,57,-0.00982301610065934
KOSPI_ALL,NORMAL_2023_2024,P00_20,48,-7.760108126739362e-06
KOSPI_ALL,NORMAL_2023_2024,P20_50,48,0.002648966870257737
KOSPI_ALL,NORMAL_2023_2024,P50_70,48,0.005691448399879002
KOSPI_ALL,NORMAL_2023_2024,P70_90,48,0.003281622823294338
KOSPI_ALL,NORMAL_2023_2024,P90_95,48,-0.0024202486169449394
KOSPI_ALL,NORMAL_2023_2024,P95_99,48,-0.007380593407608466
KOSPI_ALL,NORMAL_2023_2024,P99_100,36,-0.00784037622185204
KOSPI_ALL,YTD_2026,P00_20,13,-0.012953627176626775
KOSPI_ALL,YTD_2026,P20_50,13,0.0016125983008620588
KOSPI_ALL,YTD_2026,P50_70,13,0.010743745341495154
KOSPI_ALL,YTD_2026,P70_90,13,0.01628865689465088
KOSPI_ALL,YTD_2026,P90_95,13,-0.007953861671707543
KOSPI_ALL,YTD_2026,P95_99,13,-0.010076989053052236
KOSPI_ALL,YTD_2026,P99_100,12,-0.1126942044038843
KOSPI_EX_K200,BULL_2025,P00_20,25,0.01354778592874505
KOSPI_EX_K200,BULL_2025,P20_50,25,0.012950723151263176
KOSPI_EX_K200,BULL_2025,P50_70,25,0.011597410855948002
KOSPI_EX_K200,BULL_2025,P70_90,25,0.016014927571076046
KOSPI_EX_K200,BULL_2025,P90_95,25,0.015529781412371681
KOSPI_EX_K200,BULL_2025,P95_99,25,0.002338825977455437
KOSPI_EX_K200,BULL_2025,P99_100,14,-0.011392860354934059
KOSPI_EX_K200,EARLY_2016_2019,P00_20,96,-0.0016660524152694407
KOSPI_EX_K200,EARLY_2016_2019,P20_50,96,-0.0011462838764769608
KOSPI_EX_K200,EARLY_2016_2019,P50_70,96,-0.0019091344946383535
KOSPI_EX_K200,EARLY_2016_2019,P70_90,96,-0.0019472478639855392
KOSPI_EX_K200,EARLY_2016_2019,P90_95,96,0.004429728189070364
KOSPI_EX_K200,EARLY_2016_2019,P95_99,94,-0.012538255361949973
KOSPI_EX_K200,EARLY_2016_2019,P99_100,44,-0.018012099122955174
KOSPI_EX_K200,LATE_2020_2022,P00_20,75,0.006094818936318993
KOSPI_EX_K200,LATE_2020_2022,P20_50,75,0.006298472629058123
KOSPI_EX_K200,LATE_2020_2022,P50_70,75,0.007951832981066926
KOSPI_EX_K200,LATE_2020_2022,P70_90,75,0.0020607522425323474
KOSPI_EX_K200,LATE_2020_2022,P90_95,75,0.001677813562385622
KOSPI_EX_K200,LATE_2020_2022,P95_99,75,0.008090983237924072
KOSPI_EX_K200,LATE_2020_2022,P99_100,52,-0.016041391689202066
KOSPI_EX_K200,NORMAL_2023_2024,P00_20,48,-0.001298083870381022
KOSPI_EX_K200,NORMAL_2023_2024,P20_50,48,0.0034811837596468117
KOSPI_EX_K200,NORMAL_2023_2024,P50_70,48,0.007002648052207086
KOSPI_EX_K200,NORMAL_2023_2024,P70_90,48,0.0018039709458385865
KOSPI_EX_K200,NORMAL_2023_2024,P90_95,48,-0.007348215720850114
KOSPI_EX_K200,NORMAL_2023_2024,P95_99,48,-0.0019314301791128806
KOSPI_EX_K200,NORMAL_2023_2024,P99_100,28,-0.006385272539925948
KOSPI_EX_K200,YTD_2026,P00_20,13,-0.005282343893855486
KOSPI_EX_K200,YTD_2026,P20_50,13,-0.00487100207769788
KOSPI_EX_K200,YTD_2026,P50_70,13,0.004614313547648863
KOSPI_EX_K200,YTD_2026,P70_90,13,0.010438176049118803
KOSPI_EX_K200,YTD_2026,P90_95,13,-0.0026955514555589703
KOSPI_EX_K200,YTD_2026,P95_99,13,-0.051839243876688146
KOSPI_EX_K200,YTD_2026,P99_100,10,-0.10107058960173816
KOSPI_KOSDAQ_ALL,BULL_2025,P00_20,25,0.009614916865005665
KOSPI_KOSDAQ_ALL,BULL_2025,P20_50,25,0.02275983252326348
