strategy,universe,horizon,sample,family,n_dates,gross_delta
BAND_50_95,KOSPI_EX_K200,5,EARLY_2016_2019,MOMENTUM,192,0.0009291342123704695
BAND_50_95,KOSPI_EX_K200,5,EARLY_2016_2019,REVISION,192,1.4785426029987887e-06
BAND_50_95,KOSPI_EX_K200,5,EARLY_2016_2019,VALUE,192,0.0005873091505977035
BAND_50_95,KOSPI_EX_K200,5,LATE_2020_2022,FLOW,149,-0.00015205648721861403
BAND_50_95,KOSPI_EX_K200,5,LATE_2020_2022,MOMENTUM,149,0.0014990419838022768
BAND_50_95,KOSPI_EX_K200,5,LATE_2020_2022,REVISION,148,-0.0016304928722235548
BAND_50_95,KOSPI_EX_K200,5,LATE_2020_2022,VALUE,149,0.00023424526869496133
BAND_50_95,KOSPI_EX_K200,5,NORMAL_2023_2024,FLOW,97,-0.0006125465915369453
BAND_50_95,KOSPI_EX_K200,5,NORMAL_2023_2024,MOMENTUM,97,0.0006825322983166582
BAND_50_95,KOSPI_EX_K200,5,NORMAL_2023_2024,REVISION,97,0.0006045260193963121
BAND_50_95,KOSPI_EX_K200,5,NORMAL_2023_2024,VALUE,97,-0.00012674975086980988
BAND_50_95,KOSPI_EX_K200,5,YTD_2026,FLOW,28,0.0014603212310470397
BAND_50_95,KOSPI_EX_K200,5,YTD_2026,MOMENTUM,28,0.006488536874704735
BAND_50_95,KOSPI_EX_K200,5,YTD_2026,REVISION,28,0.0023757788210829666
BAND_50_95,KOSPI_EX_K200,5,YTD_2026,VALUE,28,0.0007093308970136443
BAND_50_95,KOSPI_EX_K200,10,BULL_2025,FLOW,25,0.001537686496112093
BAND_50_95,KOSPI_EX_K200,10,BULL_2025,MOMENTUM,25,-0.0036457494653737306
BAND_50_95,KOSPI_EX_K200,10,BULL_2025,REVISION,25,-0.0005200759336187569
BAND_50_95,KOSPI_EX_K200,10,BULL_2025,VALUE,25,0.00028924684708426883
BAND_50_95,KOSPI_EX_K200,10,EARLY_2016_2019,FLOW,96,-0.001360530911529591
BAND_50_95,KOSPI_EX_K200,10,EARLY_2016_2019,MOMENTUM,96,-0.0012120431905505973
BAND_50_95,KOSPI_EX_K200,10,EARLY_2016_2019,REVISION,96,-0.00033703863453369486
BAND_50_95,KOSPI_EX_K200,10,EARLY_2016_2019,VALUE,96,-0.00043763428314727
BAND_50_95,KOSPI_EX_K200,10,LATE_2020_2022,FLOW,75,-0.0022933026275617657
BAND_50_95,KOSPI_EX_K200,10,LATE_2020_2022,MOMENTUM,75,0.000927525153754785
BAND_50_95,KOSPI_EX_K200,10,LATE_2020_2022,REVISION,75,-0.004237310714918005
BAND_50_95,KOSPI_EX_K200,10,LATE_2020_2022,VALUE,75,-0.0003034350551844026
BAND_50_95,KOSPI_EX_K200,10,NORMAL_2023_2024,FLOW,48,-0.0029323159771060293
BAND_50_95,KOSPI_EX_K200,10,NORMAL_2023_2024,MOMENTUM,48,-7.815453408580204e-06
BAND_50_95,KOSPI_EX_K200,10,NORMAL_2023_2024,REVISION,48,-0.0006947062987131082
BAND_50_95,KOSPI_EX_K200,10,NORMAL_2023_2024,VALUE,48,4.6938588972576497e-05
BAND_50_95,KOSPI_EX_K200,10,YTD_2026,FLOW,13,0.020687614564941857
BAND_50_95,KOSPI_EX_K200,10,YTD_2026,MOMENTUM,13,0.02250402123322248
BAND_50_95,KOSPI_EX_K200,10,YTD_2026,REVISION,13,0.008667745697355445
BAND_50_95,KOSPI_EX_K200,10,YTD_2026,VALUE,13,0.007349159762891403
BAND_50_95,KOSPI_EX_K200,20,BULL_2025,FLOW,12,0.008093202847204975
BAND_50_95,KOSPI_EX_K200,20,BULL_2025,MOMENTUM,12,0.001172137889195843
BAND_50_95,KOSPI_EX_K200,20,BULL_2025,REVISION,12,0.00043183687424649546
BAND_50_95,KOSPI_EX_K200,20,BULL_2025,VALUE,12,-0.003429250146750202
