era,universe,feature,n_dates,mean_primary_partial_ic,median_primary_partial_ic,mean_continuation_partial_ic,mean_top4_quality_spread_raw5,mean_top4_quality_spread_cont5
2023-24,K200,WITHIN_ALIGNMENT,97,0.09737622818318943,0.14044168141158112,0.06180039580477312,-0.0013786097037365513,-0.0002679346706758255
2023-24,KOSDAQ,BREADTH_ALIGNMENT,97,-0.041514199855275456,-0.05831056021775405,-0.03549930454792185,-0.00025528341606146087,-0.0016301711330700436
2023-24,KOSDAQ,BROAD_CONTRIBUTION,97,0.006853066686428228,0.005496637215509598,-0.01681619373248999,-0.0018677174783188017,-0.0006123841228144558
2023-24,KOSDAQ,LIQUIDITY_SUPPORT20,97,0.057263314312348434,0.029655092471104934,0.03952658748389878,-4.0319300553480905e-05,-0.0003453962193836511
2023-24,KOSDAQ,WITHIN_ALIGNMENT,97,0.00832079833484075,0.0043420842143243165,-0.005931788191111981,0.0018533950388926104,4.591463029610575e-05
2023-24,KOSDAQ_PLUS_KOSPI_EX_K200,BREADTH_ALIGNMENT,97,-0.017041878791328402,-0.030945981133527204,-0.022279769194536083,0.0012026741883404933,-0.0029152702549982965
2023-24,KOSDAQ_PLUS_KOSPI_EX_K200,BROAD_CONTRIBUTION,97,-0.023616316994540424,-0.03721459121122544,0.03342596507864159,0.0007857675176819532,-0.0013184621413085355
2023-24,KOSDAQ_PLUS_KOSPI_EX_K200,LIQUIDITY_SUPPORT20,97,-0.0013407128439744246,0.008258932179951441,-0.004551022997828036,-0.005612567596433177,-0.004579766898544191
2023-24,KOSDAQ_PLUS_KOSPI_EX_K200,WITHIN_ALIGNMENT,97,-0.005307768351336382,0.019010410575074976,-0.0221537099225161,0.0018801326860255314,0.0006500113382966553
2023-24,KOSPI_ALL,BREADTH_ALIGNMENT,97,-0.032794700537052766,6.94464958761307e-18,-0.0699371334683091,0.0010189348703396293,0.0014978613344679235
2023-24,KOSPI_ALL,BROAD_CONTRIBUTION,97,-0.008012870627714204,-0.04135124689794552,0.06140619058636308,0.00039960559019532917,0.001231506176432499
2023-24,KOSPI_ALL,LIQUIDITY_SUPPORT20,97,0.053668853854804625,0.14650540413463428,0.04649604560500903,0.0035017864906284717,0.0034546699257847926
2023-24,KOSPI_ALL,WITHIN_ALIGNMENT,97,0.056377927010961906,0.09160828498821885,0.00427471660850372,0.0015642584034298885,0.00012743739437703805
2023-24,KOSPI_EX_K200,BREADTH_ALIGNMENT,97,-0.0017402963598131635,-0.044221823106651695,-0.02319662992787608,0.0009723405419464217,0.0013234561942591157
2023-24,KOSPI_EX_K200,BROAD_CONTRIBUTION,97,-0.050715527757461965,-0.05284305643943556,-0.01743096636116517,-1.804452924116599e-05,-0.0010181297260142062
2023-24,KOSPI_EX_K200,LIQUIDITY_SUPPORT20,97,0.023493878341853406,0.04627920057558627,0.0013137224147939347,0.0021439820761975465,0.003766383950002744
