universe,strategy,phase,period,cost_bp,n_days,cagr,mdd,sharpe,calmar,benchmark_cagr,benchmark_mdd,benchmark_sharpe,geometric_excess_cagr,tracking_error,information_ratio,relative_mdd,beta,jensen_alpha_annual,corr,annual_turnover,avg_missing_weight
KOSDAQ,WEIGHTED_MOM,6,EARLY_2017_2019,30,727,0.035073516183379505,-0.5122491234341324,0.2686981112859013,0.06846964607424932,0.02379716087007977,-0.39931914103011545,0.21781164289300117,0.01101424749382618,0.22033747543812862,0.19345036115080352,-0.4112364599263949,1.1777016796639201,0.0347005662883395,0.7427974668022853,11.26755435636871,0.0
KOSDAQ,WEIGHTED_MOM,6,EARLY_2017_2019,60,727,0.0005968268936256127,-0.5279448863277063,0.16443114061982095,0.0011304719660740305,0.02379716087007977,-0.39931914103011545,0.21781164289300117,-0.022661064967924527,0.22071606908350036,0.0399167017206011,-0.43146777775027545,1.1770838454140091,0.0009140090917235735,0.7420022508137325,11.26755435636871,0.0
KOSDAQ,WEIGHTED_MOM,6,LATE_2020_2022,0,742,-0.04663444994421828,-0.5431040804357751,0.06556905300143588,-0.08586650629986024,0.010954874215636456,-0.39194135999608826,0.17853229794425135,-0.05696527671874163,0.27891534814650754,-0.08751789230876571,-0.37251137033028126,0.9406536306331487,-0.021478277484445547,0.6829048696593607,12.139239087689445,0.0
KOSDAQ,WEIGHTED_MOM,6,LATE_2020_2022,30,742,-0.08075453358927198,-0.5618939183031834,-0.029624056439568686,-0.14371846884041006,0.010954874215636456,-0.39194135999608826,0.17853229794425135,-0.09071562949440481,0.27909518371766884,-0.21749873836113218,-0.39696557268046384,0.9416947822263588,-0.057822478983467235,0.6830502699934098,12.139239087689445,0.0
KOSDAQ,WEIGHTED_MOM,6,LATE_2020_2022,60,742,-0.11370234526578815,-0.5799391883867708,-0.12460520843598982,-0.1960590826463657,0.010954874215636456,-0.39194135999608826,0.17853229794425135,-0.12330641323445957,0.27945170134486047,-0.34709259887624255,-0.42289183215679993,0.9427359338195698,-0.09416668048248933,0.6829646241352572,12.139239087689445,0.0
KOSDAQ,WEIGHTED_MOM,6,NORMAL_2023_2024,0,489,-0.029612215588274315,-0.44114451487884787,0.12959450685973622,-0.06712588412531154,0.0014985933119997519,-0.3391604148985127,0.12927104492411715,-0.031064256213669594,0.2917117899749315,0.07209214160060871,-0.2710083638734079,1.1687551099289542,0.015684926291029213,0.7041559062493999,11.864075780864471,0.0
KOSDAQ,WEIGHTED_MOM,6,NORMAL_2023_2024,30,489,-0.06356755524551216,-0.47103202531001187,0.04213554666652248,-0.13495378621798568,0.0014985933119997519,-0.3391604148985127,0.12927104492411715,-0.0649687867681703,0.29172724351572804,-0.049821723908492106,-0.2884929783638026,1.169317338059706,-0.01989736374858274,0.7043317197390956,11.864075780864471,0.0
KOSDAQ,WEIGHTED_MOM,6,NORMAL_2023_2024,60,489,-0.09638211858657375,-0.4993604349615971,-0.045270038762323564,-0.19301112350638258,0.0014985933119997519,-0.3391604148985127,0.12927104492411715,-0.097734248008153,0.2919048152972998,-0.17162730249744768,-0.31261186803512453,1.1698795661904582,-0.055479653788194076,0.704306241685186,11.864075780864471,0.0
KOSDAQ,WEIGHTED_MOM,6,BULL_2025,0,242,0.49467730619276873,-0.20759901330834896,1.3475936546658,2.382849987143337,0.4002075396664764,-0.17176356755883782,1.6857199222865693,0.06746840296888701,0.26138378372549215,0.38530332094105174,-0.18426709553564824,1.0311389085171792,0.08951657076022158,0.6439325636711966,12.581653917174183,0.0
KOSDAQ,WEIGHTED_MOM,6,BULL_2025,30,242,0.4392697046500298,-0.21440931223634085,1.2358299677301547,2.0487435926562183,0.4002075396664764,-0.17176356755883782,1.6857199222865693,0.02789741083157926,0.2613979768933875,0.241105767905076,-0.20395883504230672,1.0339951847974624,0.050802164855849284,0.6449777375379352,12.581653917174183,0.0
KOSDAQ,WEIGHTED_MOM,6,BULL_2025,60,242,0.3858340128513589,-0.22117294372644636,1.1238118800143835,1.7444901096427532,0.4002075396664764,-0.17176356755883782,1.6857199222865693,-0.010265283115487134,0.26161604986907433,0.09684833938337506,-0.22320537649780536,1.036851461077745,0.012087758951478051,0.6457276182444931,12.581653917174183,0.0
KOSDAQ,WEIGHTED_MOM,6,YTD_2026,0,147,-0.25887493853933075,-0.612780097580824,0.0531658058360074,-0.4224597691102164,-0.2345756976108171,-0.47849657792313605,-0.16619557911791782,-0.03174610585614257,0.5044762778045752,0.2798574716299148,-0.33835680812240765,1.129447048963686,0.1537612447825401,0.7979992846221521,11.719920271995607,0.0
KOSDAQ,WEIGHTED_MOM,6,YTD_2026,30,147,-0.28449813378736166,-0.615371629587113,0.010430346634575247,-0.46231922322816094,-0.2345756976108171,-0.47849657792313605,-0.16619557911791782,-0.0652219115864443,0.5042347202594376,0.20984078187630656,-0.34278496250647084,1.128827934602664,0.11832863099604124,0.7979504985753667,11.719920271995607,0.0
KOSDAQ,WEIGHTED_MOM,6,YTD_2026,60,147,-0.30927063444910674,-0.6179498365301721,-0.03234460062082179,-0.5004785439958706,-0.2345756976108171,-0.47849657792313605,-0.16619557911791782,-0.0975863146821161,0.5040848355275726,0.1397315597075344,-0.34719034833625173,1.12820882024164,0.082896017209543,0.7978478594683104,11.719920271995607,0.0
KOSDAQ,WEIGHTED_MOM,7,FULL_2017_2026,0,2346,-0.009660147218378379,-0.7385898611768841,0.18255596687984177,-0.013079176585210232,0.030461969492922902,-0.5379202031892618,0.24730981690465226,-0.038936048004803325,0.2826976794153158,0.025554855107422596,-0.6828457477939739,1.0947307994710924,0.000780106328441659,0.730514677445404,11.918466208913847,0.0
KOSDAQ,WEIGHTED_MOM,7,FULL_2017_2026,30,2346,-0.044469942683372676,-0.7694339178137306,0.09582611576796977,-0.05779566204948381,0.030461969492922902,-0.5379202031892618,0.24730981690465226,-0.07271681478276015,0.28284021690039535,-0.10084517111224793,-0.7348708332835241,1.0943797892703813,-0.034943384031058254,0.730221369612734,11.918466208913847,0.0
KOSDAQ,WEIGHTED_MOM,7,FULL_2017_2026,60,2346,-0.0781052538423912,-0.7966781457876341,0.009107725640054487,-0.09803865495164626,0.030461969492922902,-0.5379202031892618,0.24730981690465226,-0.10535781673605871,0.283152176809174,-0.22698196815018037,-0.7784220034352394,1.0940287790696706,-0.07066687439055801,0.7297221592076757,11.918466208913847,0.0
KOSDAQ,WEIGHTED_MOM,7,PRE_STRESS_2017_2024,0,1957,-0.05112703360754656,-0.7136598301421617,0.04276340787213333,-0.07164062127100806,0.014530484998311,-0.5379202031892618,0.18193007351475785,-0.06471714707120535,0.2636850386457733,-0.10845392870058251,-0.6151441875085644,1.0612706718289815,-0.03131739604751635,0.7012266772281611,11.844092889467564,0.0
KOSDAQ,WEIGHTED_MOM,7,PRE_STRESS_2017_2024,30,1957,-0.0842747335576689,-0.7435615523923909,-0.053299900693471944,-0.11333928346149291,0.014530484998311,-0.5379202031892618,0.18193007351475785,-0.09739009326678238,0.2639114574466861,-0.2428039477947814,-0.6666610408847902,1.0612628410228515,-0.0667981138048405,0.7009169346157873,11.844092889467564,0.0
KOSDAQ,WEIGHTED_MOM,7,PRE_STRESS_2017_2024,60,1957,-0.11631096526270535,-0.7703793029440331,-0.1492281516648629,-0.15097882928346942,0.014530484998311,-0.5379202031892618,0.18193007351475785,-0.1289674900811223,0.2643167178992971,-0.3766686037993708,-0.7113439111260167,1.061255010216721,-0.10227883156216434,0.7003650753596303,11.844092889467564,0.0
KOSDAQ,WEIGHTED_MOM,7,EARLY_2017_2019,0,726,0.08936919345985328,-0.5262656409388761,0.42520324669845744,0.16981764817557832,0.02710316079882391,-0.39931914103011534,0.23355341328523221,0.06062295885897506,0.22465712282273426,0.40438643224356774,-0.3815061085680346,1.166443700682206,0.08288748992243804,0.7324178030094542,11.483348732153347,0.0
KOSDAQ,WEIGHTED_MOM,7,EARLY_2017_2019,30,726,0.05245302528136864,-0.538605506064487,0.31951040195545494,0.09738672310395664,0.02710316079882391,-0.39931914103011534,0.23355341328523221,0.024680933181851605,0.22520720538854325,0.25123269778276586,-0.4013133141108458,1.1684174444929478,0.048524209518157876,0.7322369386840303,11.483348732153347,0.0
KOSDAQ,WEIGHTED_MOM,7,EARLY_2017_2019,60,726,0.01673669705181391,-0.5506417768716221,0.21413681959942005,0.03039489147899496,0.02710316079882391,-0.39931914103011534,0.23355341328523221,-0.01009291387921274,0.2259553365579062,0.09873869545742947,-0.4205148691150056,1.1703911883036895,0.014160929113877991,0.731752158815347,11.483348732153347,0.0
KOSDAQ,WEIGHTED_MOM,7,LATE_2020_2022,0,742,-0.11977964251421813,-0.6019859866107182,-0.13583510138733101,-0.19897413756854632,0.010954874215636456,-0.39194135999608826,0.17853229794425135,-0.12931785588480027,0.28112789724310816,-0.36281378575634265,-0.4927838040575948,0.9629311795247019,-0.10016581744090258,0.6881500979527153,12.188342544083671,0.0
KOSDAQ,WEIGHTED_MOM,7,LATE_2020_2022,30,742,-0.15140696096600637,-0.6181027143381912,-0.23049722386374186,-0.24495436996765063,0.010954874215636456,-0.39194135999608826,0.17853229794425135,-0.16060245548310326,0.28110538677130326,-0.49311237709055233,-0.5335377383107994,0.9622726666200297,-0.13675275464953804,0.6879399450281847,12.188342544083671,0.0
KOSDAQ,WEIGHTED_MOM,7,LATE_2020_2022,60,742,-0.18194300240360206,-0.6335914232175712,-0.3251227400733436,-0.28716140360555986,0.010954874215636456,-0.39194135999608826,0.17853229794425135,-0.1908076033254209,0.2812603881226533,-0.623038371868429,-0.571072012277585,0.9616141537153581,-0.1733396918581732,0.6875005449762385,12.188342544083671,0.0
KOSDAQ,WEIGHTED_MOM,7,NORMAL_2023_2024,0,489,-0.1336981471987152,-0.5378029043984254,-0.15686435554542935,-0.2486006418062525,0.0014985933119997519,-0.3391604148985127,0.12927104492411715,-0.1349944387476506,0.2890776632314831,-0.32710823773593,-0.4017367180206908,1.1425063584450965,-0.09907347531999762,0.6982952837003172,11.85731786796444,0.0
