universe,period,phase,n_dates,mean_ic,mean_top20_10d,mean_bottom20_10d,mean_top_minus_bottom_10d,top_minus_bottom_positive_rate
KOSDAQ,EARLY_2017_2019,3,73,-0.04399681271870675,0.005874879533657632,0.0038376054254734607,0.0020372741081841716,0.4383561643835616
KOSDAQ,EARLY_2017_2019,4,73,-0.036207439692687526,0.005608057947035951,0.002856087310500905,0.0027519706365350446,0.5205479452054794
KOSDAQ,EARLY_2017_2019,5,73,-0.03803080892652819,0.0027359497743284678,0.003988817121971397,-0.0012528673476429311,0.4931506849315068
KOSDAQ,EARLY_2017_2019,6,73,-0.03648989947334987,0.004177766543450913,0.002040164532877511,0.0021376020105734056,0.4657534246575342
KOSDAQ,EARLY_2017_2019,7,73,-0.04117848666874019,0.004166657004693972,0.0024937283303259517,0.0016729286743680195,0.4383561643835616
KOSDAQ,EARLY_2017_2019,8,73,-0.03994942619939371,0.004539445769779472,0.004711039341412575,-0.0001715935716331038,0.4383561643835616
KOSDAQ,EARLY_2017_2019,9,73,-0.03495804121158876,0.008775680052846553,0.003656194690274394,0.005119485362572158,0.5068493150684932
KOSDAQ,LATE_2020_2022,0,74,-0.06524424888870642,-0.0020797717790051458,-0.0008322326863033677,-0.0012475390927017796,0.4864864864864865
KOSDAQ,LATE_2020_2022,1,74,-0.0726482185831884,-0.0028222813209356867,0.0012899901607320344,-0.004112271481667721,0.5135135135135135
KOSDAQ,LATE_2020_2022,2,74,-0.07394618867954615,-0.0019744324528136827,0.0011295995807613203,-0.0031040320335750013,0.4864864864864865
KOSDAQ,LATE_2020_2022,3,75,-0.06778671114871948,-0.001816584782223695,0.0014952366293434472,-0.003311821411567142,0.48
KOSDAQ,LATE_2020_2022,4,75,-0.06833852766160885,-0.0005592438876187262,0.00042978416649079696,-0.0009890280541095219,0.49333333333333335
KOSDAQ,LATE_2020_2022,5,74,-0.06550144026884311,-0.0012152910027975843,-0.00030279444057887314,-0.0009124965622187091,0.5135135135135135
KOSDAQ,LATE_2020_2022,6,74,-0.06532344309884833,0.001821169080823768,0.002163055148037592,-0.0003418860672138255,0.4864864864864865
KOSDAQ,LATE_2020_2022,7,74,-0.07095721132541219,-0.001050909086305397,0.004278075758834041,-0.005328984845139437,0.4594594594594595
KOSDAQ,LATE_2020_2022,8,74,-0.07469445533083677,0.0008401743717378656,0.004265015299774298,-0.0034248409280364257,0.4594594594594595
KOSDAQ,LATE_2020_2022,9,74,-0.07700395555429025,-0.0033434916033834735,0.0034456132815518185,-0.006789104884935292,0.43243243243243246
KOSDAQ,NORMAL_2023_2024,0,49,-0.04063054229526485,-0.00040847880701455733,-0.0035859751409044473,0.0031774963338898864,0.5714285714285714
KOSDAQ,NORMAL_2023_2024,1,49,-0.04310855729797577,0.001288371715469416,-0.0016120536043331783,0.0029004253198025897,0.46938775510204084
KOSDAQ,NORMAL_2023_2024,2,49,-0.039402545038671785,-0.00032065738497732136,-0.0037803902668435765,0.0034597328818662533,0.46938775510204084
KOSDAQ,NORMAL_2023_2024,3,49,-0.03924809662509955,0.002518022372401564,-0.003261101266066054,0.00577912363846762,0.5102040816326531
KOSDAQ,NORMAL_2023_2024,4,48,-0.035895647403598636,0.0002563298136796374,-0.0058898830540713674,0.006146212867751004,0.5
KOSDAQ,NORMAL_2023_2024,5,49,-0.05132917483067319,0.005254022346160556,0.0007473012243895122,0.004506721121771039,0.5714285714285714
KOSDAQ,NORMAL_2023_2024,6,49,-0.04207588905552289,0.002853871609379066,-0.0027265481881920714,0.005580419797571138,0.46938775510204084
KOSDAQ,NORMAL_2023_2024,7,49,-0.04441127313630106,-0.0015646976570649967,-0.010044695909822342,0.008479998252757347,0.5714285714285714
KOSDAQ,NORMAL_2023_2024,8,49,-0.04252007396262956,-0.0006664692970103552,-0.005292160357559268,0.0046256910605489135,0.46938775510204084
KOSDAQ,NORMAL_2023_2024,9,49,-0.050185845787551926,0.0011795180496910688,-0.002220438996582413,0.0033999570462734828,0.4897959183673469
KOSDAQ,BULL_2025,0,24,-0.025516380334813016,0.02645626334779787,0.009818886543032743,0.016637376804765125,0.625
