universe,strategy,period,cost_bp,n_phases,median_cagr,worst_phase_cagr,positive_cagr_phases,median_mdd,median_sharpe,worst_phase_sharpe,median_calmar,median_benchmark_cagr,median_excess_cagr,positive_excess_phases,median_information_ratio,median_relative_mdd,median_turnover
KOSDAQ,WEIGHTED_MOM,NORMAL_2023_2024,0,10,-0.07273389004464187,-0.1336981471987152,1,-0.5258037290108692,0.012194032919808681,-0.15686435554542935,-0.14166916621629527,0.0014985933119997519,-0.0741214055140616,1,-0.09589943437538026,-0.3453185328029363,11.860696824414456
KOSDAQ,WEIGHTED_MOM,NORMAL_2023_2024,30,10,-0.10521984776147814,-0.163994319159125,0,-0.5441509290782248,-0.07647726915260135,-0.24552666905533382,-0.19724230774591078,0.0014985933119997519,-0.10655875283913807,0,-0.22316181280884334,-0.3623690463706373,11.860696824414456
KOSDAQ,WEIGHTED_MOM,NORMAL_2023_2024,60,10,-0.13661274796425943,-0.1932730878767034,0,-0.5636058351477407,-0.16501426365358707,-0.33407440704376523,-0.2461358411583443,0.0014985933119997519,-0.13790467824774294,0,-0.3499357624127452,-0.3858481050667153,11.860696824414456
KOSDAQ,WEIGHTED_MOM,PRE_STRESS_2017_2024,0,10,-0.01318479584096216,-0.05112703360754656,1,-0.6988482880297617,0.1485757889382721,0.04276340787213333,-0.019258828742945253,0.014393132603617964,-0.026920797639609195,0,0.039592295983326385,-0.5421963096763553,11.772164159686932
KOSDAQ,WEIGHTED_MOM,PRE_STRESS_2017_2024,30,10,-0.047413902448447454,-0.0842747335576689,0,-0.7304906641795874,0.05263401653902407,-0.053299900693471944,-0.06589907267441217,0.014393132603617964,-0.060698932953907714,0,-0.09594196509914765,-0.5891682406089541,11.772164159686932
KOSDAQ,WEIGHTED_MOM,PRE_STRESS_2017_2024,60,10,-0.08050360917793214,-0.11631096526270535,0,-0.7588498652216826,-0.043714654458711685,-0.1492281516648629,-0.10723940670070124,0.014393132603617964,-0.09335169655202064,0,-0.23144952372476907,-0.6517426355065717,11.772164159686932
KOSDAQ,WEIGHTED_MOM,YTD_2026,0,10,-0.12808449229088736,-0.32342448824961934,1,-0.613120309281085,0.254226158885676,-0.06043772131119564,-0.2103802183360809,-0.2345756976108171,0.13912702404082233,7,0.6381935574101913,-0.2817031634585498,10.91530193257051
KOSDAQ,WEIGHTED_MOM,YTD_2026,30,10,-0.15498369617729274,-0.3435649146015639,1,-0.6155777403375299,0.21673617849063231,-0.09605360591544951,-0.25352225523659355,-0.2345756976108171,0.10398415778684733,7,0.5732522811445213,-0.2858817532433337,10.91530193257051
KOSDAQ,WEIGHTED_MOM,YTD_2026,60,10,-0.1835894868289651,-0.3631307013275934,1,-0.618022948664735,0.17920741419980823,-0.13160004927844396,-0.29713062286833525,-0.2345756976108171,0.06661169579108639,6,0.5033144566298652,-0.29004100482390044,10.91530193257051
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,BULL_2025,0,10,0.44581208798879346,0.13274189546486959,10,-0.22947617497989148,1.2448166947679806,0.5416969492275044,1.9730012042294853,0.3840265641669287,0.04464186267917014,8,0.30784499390553455,-0.2505388320752375,13.20816696411846
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,BULL_2025,30,10,0.3901245744421269,0.08735740262603398,10,-0.23382478613911073,1.1296825275281492,0.4183076594806143,1.6643235740888507,0.3840265641669287,0.004405992220871513,5,0.16311391731332364,-0.26876793985153297,13.20816696411846
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,BULL_2025,60,10,0.33649698655160554,0.0437193482617424,10,-0.23815603445115097,1.014245316714507,0.294984334279166,1.393725905647802,0.3840265641669287,-0.03434152121489914,4,0.01850559111637483,-0.2865835508697026,13.20816696411846
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,EARLY_2017_2019,0,10,-0.03181408373814415,-0.08314186969299697,0,-0.5460867697170368,0.07460104503788142,-0.09285418714349435,-0.05922640816324019,0.011691562079447548,-0.04223194151202658,0,-0.009949252490902007,-0.4463420441636641,12.027105721472271
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,EARLY_2017_2019,30,10,-0.06653636214809394,-0.11525156727049124,0,-0.5691926122628272,-0.034422750350605505,-0.19868767163754275,-0.12216995269582123,0.011691562079447548,-0.07668562333816603,0,-0.15661225020392422,-0.4640330644925123,12.027105721472271
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,EARLY_2017_2019,60,10,-0.10015346776781947,-0.14628271631175205,0,-0.5856936572623018,-0.1433396894324266,-0.3040594929683933,-0.17710968135484173,0.011691562079447548,-0.10994976160525644,0,-0.3030182856775818,-0.4814639400169024,12.027105721472271
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,FULL_2017_2026,0,10,-0.03461194691076813,-0.09179678243221745,0,-0.6800618476914404,0.12565946113728643,-0.021051801400461492,-0.05040921337349106,0.035576646671197754,-0.06838949064322047,0,-0.0425001710351825,-0.6547974692788155,12.306016563272722
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,FULL_2017_2026,30,10,-0.06969978385532344,-0.12518215926727327,0,-0.7459676155084327,0.03671003520689899,-0.11037813856708498,-0.09492383727166359,0.035576646671197754,-0.10224974205862092,0,-0.1632742702863525,-0.7361985701717435,12.306016563272722
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,FULL_2017_2026,60,10,-0.10356319859167817,-0.15738919985400435,0,-0.8115632782966749,-0.0521676469964272,-0.1995547680869004,-0.12900872987898415,0.035576646671197754,-0.13492840596441014,0,-0.28389258881689317,-0.7985921665802449,12.306016563272722
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,LATE_2020_2022,0,10,-0.05921141287005832,-0.18351122795372954,0,-0.5560126904496748,0.03755932504604574,-0.2915044986164194,-0.1105961950854287,0.013997469223865577,-0.07219828876886641,0,-0.10536600245879575,-0.45561690150300826,12.574292557006014
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,LATE_2020_2022,30,10,-0.09416109774736448,-0.21387230316668915,0,-0.573462133764379,-0.05864995801600134,-0.38377925659347856,-0.16669755826876959,0.013997469223865577,-0.10666551964278254,0,-0.22682388915905993,-0.49352178559426113,12.574292557006014
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,LATE_2020_2022,60,10,-0.12786430257963227,-0.24314973167181197,0,-0.5977678320361859,-0.1542817322925415,-0.47583651976590136,-0.21434898620095472,0.013997469223865577,-0.13990347718725843,0,-0.34490485911677216,-0.534486702149129,12.574292557006014
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,NORMAL_2023_2024,0,10,-0.08658429487201763,-0.25208295282301973,1,-0.6042265019430619,-0.019085492127393276,-0.4879882727362474,-0.1454883647487265,0.02267624444940619,-0.10683785793836181,1,-0.17947318646204727,-0.47783494116079367,12.188449718898545
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,NORMAL_2023_2024,30,10,-0.11940444352446489,-0.28013674938309174,1,-0.6268762681772899,-0.10869415794646844,-0.579818509448305,-0.19243965932142582,0.02267624444940619,-0.13893027118310108,1,-0.3015963943318968,-0.5079753584722315,12.188449718898545
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,NORMAL_2023_2024,60,10,-0.15109177268184631,-0.3071799668792973,0,-0.6482606590550943,-0.19813337968994665,-0.6714745687028303,-0.2349014848254811,0.02267624444940619,-0.16991498343134687,0,-0.423239234079033,-0.5365158179630805,12.188449718898545
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,0,10,-0.05845258561734973,-0.11849132203309043,0,-0.6768379750959352,0.032684986495382,-0.14177861032809536,-0.08644060573462725,0.015297762999237574,-0.07335913954370171,0,-0.09487504067810965,-0.5664128191007111,12.278052887167739
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,30,10,-0.09263829501034682,-0.15069092327018963,0,-0.7369470183206274,-0.06432380870742428,-0.23930898019989785,-0.12960587225811815,0.015297762999237574,-0.10700374805224411,0,-0.2215387281262591,-0.6577838479869076,12.278052887167739
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,60,10,-0.12563235233809456,-0.18176133905947445,0,-0.7931141401651767,-0.16129227722827638,-0.33660177178314815,-0.16208586449656293,0.015297762999237574,-0.13947556194294286,0,-0.34802709600677634,-0.7310594487349535,12.278052887167739
