"Code","Name","거래대금(십억원)"
"A009450","경동나비엔","2.0407205"
"A009460","한창제지","1.21402816"
"A009470","삼화전기","0.6199886"
"A009520","포스코엠텍","2.032836045"
"A009540","HD한국조선해양","16.4489316"
"A009580","무림P&P","0.222099425"
"A009620","삼보산업","0.199854356"
"A009680","모토닉","1.6988835"
"A009730","이렘","0"
"A009770","삼정펄프","0.0285334"
"A009780","엠에스씨","0.380095205"
"A009810","플레이그램","0"
"A009830","한화솔루션","916.827756"
"A009900","명신산업",""
"A009970","영원무역홀딩스","0.1445222"
"A010040","한국내화","0.231694115"
"A010060","OCI홀딩스","77.7684194"
"A010100","한국무브넥스","0.19178565"
"A010120","LS ELECTRIC","9.7903192"
"A010130","고려아연","14.8599715"
"A010140","삼성중공업","16.50119082"
"A010170","대한광통신","13.111531915"
"A010240","흥국","0.35166464"
"A010280","아이티센엔텍","0.46134686"
"A010400","우진아이엔에스","0.15469028"
"A010470","오리콤","0.02229573"
"A010580","에스엠벡셀","0"
"A010640","진양폴리","0.31538242"
"A010660","화천기계","0.716776875"
"A010690","화신","0.38438669"
"A010770","평화홀딩스","0.04118434"
"A010780","아이에스동서","3.1272963"
"A010820","퍼스텍","0.836159965"
"A010950","S-Oil","22.520638"
"A010960","삼호개발","0.3091564"
"A011000","진원생명과학","42.64080635"
"A011040","경동제약","2.66336135"
"A011070","LG이노텍","21.091479"
"A011080","형지I&C","3.3224242"
"A011090","에넥스","0.046169477"
"A011150","CJ씨푸드","10.26751705"
"A011170","롯데케미칼","143.24482"
"A011200","HMM","169.49792609"
"A011210","현대위아","8.20788755"
"A011230","삼화전자","0.16247175"
"A011280","태림포장","7.3407729"
"A011300","우성머티리얼스","0.018917088"
"A011320","유니크","4.69004993"
"A011330","유니켐","0.31656267"
"A011370","서한","199.0133805"
"A011390","부산산업","4.7758335"
"A011420","갤럭시아에스엠","0.830838"
"A011500","한농화성","2.06059689"
"A011560","세보엠이씨","0.07522543"
"A011690","와이투솔루션","0"
"A011700","한신기계","0.23358241"
"A011760","현대코퍼레이션","1.1691981"
"A011780","금호석유화학","90.860401"
"A011790","SKC","33.1104119"
"A0117P0","피스피스스튜디오",""
"A011810","STX","0.18042144"
"A011930","신성이엔지","83.426661605"
"A012030","DB","0.252415813"
"A0120G0","삼양바이오팜",""
"A012160","영흥","0.91451862"
"A012170","아센디오","0"
"A012200","계양전기","0.63561084"
"A012210","삼미금속",""
"A012280","영화금속","9.861533515"
"A012320","경동인베스트","0.142592"
"A012330","현대모비스","88.0440875"
"A012340","뉴인텍","4.42418589"
"A012450","한화에어로스페이스","7.0472083"
"A012510","더존비즈온","7.392851"
"A012610","경인양행","1.44077362"
"A012620","원일특강","0.06198057"
"A012630","HDC","2.1656148"
"A012690","모나리자","4.64632606"
"A0126Z0","삼성에피스홀딩스",""
"A012700","리드코프","0.49516249"
"A012750","에스원","3.8557689"
"A012790","신일제약","5.29196435"
"A012800","대창","2.260177145"
"A012860","모베이스전자","1.87775346"
"A013000","세우글로벌","2.835185105"
"A013030","하이록코리아","1.8038825"
"A013120","동원개발","0.24329444"
"A013310","아진산업","1.478961375"
"A013360","일성건설","0.134039956"
"A013520","화승코퍼레이션","0.384492805"
"A013570","디와이","0.161416735"
"A013580","계룡건설","0.81296485"
"A013700","까뮤이앤씨","50.745935955"
"A013720","청보","1.04464383"
"A013810","스페코","12.6228806"
"A013870","지엠비코리아","3.96486324"
"A013890","지누스","16.2356237"
"A013990","아가방컴퍼니","44.08053869"
"A014100","메디앙스","0"
"A014130","한익스프레스","0.96385178"
"A014160","대영포장","0.99504838"
"A014190","원익큐브","0.2017237"
"A014280","금강공업","0.15244914"
"A014440","영보화학","0.290004035"
"A014470","부방","13.749787755"
"A014530","극동유화","0.639784265"
"A014570","고려제약","1.30083128"
"A014580","태경비케이","0.325149105"
"A014620","성광벤드","0.72263173"
"A014680","한솔케미칼","8.801979"
"A014710","사조씨푸드","38.15447691"
"A014790","HL D&I","0.25337576"
"A014820","동원시스템즈","6.1746835"
"A014830","유니드","0.7455034"
"A014910","성문전자","0.146695755"
"A014940","오리엔탈정공","1.0615104"
"A014950","삼익제약",""
"A014970","삼륭물산","0.52145246"
"A014990","인디에프","2.62036149"
"A015020","이스타코","0.063795223"
"A015230","대창단조","0.37916155"
"A015260","에이엔피","10.256487855"
"A015360","INVENI","0.0153441"
"A015590","DKME","2.068319581"
"A015710","코콤","0.52724721"
"A015750","성우하이텍","2.296142715"
"A015760","한국전력","49.63630585"
"A015860","일진홀딩스","0.794087475"
"A015890","태경산업","0.05612317"
"A016090","대현","0.213477475"
"A016100","리더스코스메틱","0.07672415"
"A016250","SGC E&C","0"
"A016360","삼성증권","12.28368345"
"A016380","KG스틸","0.78909323"
"A016450","한세예스24홀딩스","0.43068689"
"A016580","환인제약","1.9295066"
"A016590","신대양제지","0.5949903"
"A016600","큐캐피탈","0.468207821"
"A016610","DB증권","0.45694197"
"A016670","디모아","0.484621861"
"A016710","대성홀딩스","1.6484771"
"A016740","두올","10.90866247"
"A016790","현대사료","0.2639667"
"A016800","퍼시스","0.01401485"
"A016880","웅진","0.15550998"
"A016920","카스","10.22386766"
"A017000","신원종합개발","2.884219745"
"A017040","광명전기","0.70923121"
"A017180","명문제약","6.39715373"
"A017250","인터엠","0.036833765"
"A017370","우신시스템","0.221016015"
"A017390","서울가스","0.1918792"
"A017480","삼현철강","0.129399175"
"A017510","세명전기","0.28773093"
"A017550","수산세보틱스","4.14776125"
"A017650","대림제지","0.835944"
"A017670","SK텔레콤","90.8838025"
"A017800","현대엘리베이터","26.5571057"
"A017810","풀무원","1.73319775"
"A017860","DS단석",""
"A017890","한국알콜","4.0997699"
"A017900","광전자","0.994152105"
"A017940","E1","0.63178975"
"A017960","한국카본","5.10411661"
"A018000","유니슨","64.11813825"
"A018120","진로발효","0.1239927"
"A018250","애경산업","3.58485175"
"A018260","삼성에스디에스","17.4946085"
"A018290","브이티","1.59147375"
"A018310","삼목에스폼","0.03943367"
"A018470","조일알미늄","2.231672691"
"A018500","동원모빌리티","0.02849364"
"A018620","우진비앤지","1.200017665"
"A018670","SK가스","3.905033"
"A018680","서울제약","6.1313104"
"A018700","졸스","0.559949435"
"A018880","한온시스템","9.7215596"
"A019010","베뉴지","0.10270071"
"A019170","신풍제약","78.0103085"
"A019180","티에이치엔","0.12756043"
"A019210","와이지-원","0.57826131"
"A019490","엑시큐어하이트론","0.092431405"
"A019540","일지테크","7.296985555"
"A019550","SBI인베스트먼트","1.138066582"
"A019570","GMI벤처","0.495715093"
"A019660","글로본","0.281826165"
"A019680","대교","0.279873735"
"A019770","서연탑메탈","6.26428836"
"A019990","에너토크","0.208826735"
"A020000","한섬","1.65598055"
"A020120","키다리스튜디오","0.70607852"
"A020150","롯데에너지머티리얼즈","17.4585707"
"A020180","대신정보통신","4.63222116"
"A020400","대동금속","0.07472417"
"A020560","아시아나항공","22.976998175"
"A020710","시공테크","0.10873207"
"A020760","일진디스플","0.7405739"
"A021040","대호특수강","2.380979568"
"A021050","서원","4.05621558"
"A021080","에이티넘인베스트","21.832874675"
"A021240","코웨이","28.723285294"
"A021320","KCC건설","0.08377245"
"A021650","한국큐빅","0.325826415"
"A021820","세원정공","0"
"A021880","메이슨캐피탈","0.275677534"
"A022100","포스코DX","25.14860321"
"A022220","티케이지애강","2.5339554"
"A023000","삼원강재","0.01052607"
"A023150","MH에탄올","0.3207798"
"A023160","태광","0.80944296"
"A023350","한국종합기술","0.14212255"
"A023410","유진기업","3.523182915"
"A023440","제이스코홀딩스","0.79404498"
"A023450","동남합성","0.1040316"
"A023530","롯데쇼핑","9.4138877"
"A023590","다우기술","3.3864229"
"A023600","삼보판지","0.64824013"
"A023760","한국캐피탈","0.088687302"
"A023770","플레이위드","0.57183826"
"A023790","동일스틸럭스","0.29754126"
"A023800","인지컨트롤스","4.23249717"
"A023810","인팩","0.459919355"
"A023900","풍국주정","1.535373"
"A023910","대한약품","1.1958388"
"A023960","에쓰씨엔지니어링","0.04172355"
"A024060","흥구석유","8.15703226"
"A024070","WISCOM","0.35761493"
"A024090","디씨엠","0.03556485"
"A024110","기업은행","13.9886044"
"A024120","KB오토시스","0.10577081"
"A024720","콜마홀딩스","2.77717825"
"A024740","한일단조","21.992998645"
"A024800","유성티엔에스","0.2946294"
"A024830","세원물산","0"
"A024840","KBI메탈","0.216362755"
"A024850","HLB이노베이션","1.159897928"
"A024880","케이피에프","4.337089295"
"A024890","대원화성","0.083416705"
"A024900","디와이덕양","0.395864845"
"A024910","경창산업","0.12524585"
"A024940","PN풍년","0.77782"
"A024950","삼천리자전거","0.48899839"
"A025000","KPX케미칼","0.1418"
"A025320","시노펙스","10.90377125"
"A025440","DH오토웨어","0.173766007"
"A025530","SJM홀딩스","0.03067387"
"A025540","한국단자","2.13332675"
"A025550","한국선재","1.633996495"
"A025560","미래산업","0.13008433"
"A025620","차AI헬스케어","0.25906853"
"A025750","한솔홈데코","124.969393225"
"A025770","한국정보통신","0.25380612"
"A025820","이구산업","0.367404035"
"A025860","남해화학","1.72771744"
"A025870","신라에스지","0.42643843"
"A025880","케이씨피드","1.3889037"
"A025890","한국주강","0.0618098"
"A025900","동화기업","2.8149756"
"A025950","동신건설","1.0500768"
"A025980","아난티","40.2584326"
"A026040","제이에스티나","0.631693655"
