sample,universe,horizon,metric,series,n_pos_rule,n,mean,median,positive_share,nw_tstat
TRAIN_2016_2022,KOSDAQ,20,top,POS_ALT_MINUS_MOM,>=1,44,0.0014488621745140254,0.01571773273052368,0.5454545454545454,0.12503179726631689
TRAIN_2016_2022,KOSDAQ,20,spread,POS_ALT,>=1,44,0.009680010704990106,0.009985565667881908,0.6590909090909091,1.1655700483206755
TRAIN_2016_2022,KOSDAQ,20,spread,MOM,>=1,44,0.00031700327712013245,0.002205411321803352,0.5,0.028167197631895267
TRAIN_2016_2022,KOSDAQ,20,spread,POS_ALT_MINUS_MOM,>=1,44,0.009363007427869975,0.015466146603819592,0.5454545454545454,0.5475796942112714
TRAIN_2016_2022,KOSDAQ,5,top,POS_ALT_MINUS_MOM_BY_N,1,12,0.01219971387675839,0.0037222786408034995,0.5,1.257354057620507
TRAIN_2016_2022,KOSDAQ,20,top,POS_ALT_MINUS_MOM_BY_N,1,12,0.009431979853063608,0.01632221600962075,0.5833333333333334,0.355188642419834
TRAIN_2016_2022,KOSDAQ,5,top,POS_ALT_MINUS_MOM_BY_N,2,14,0.002503445011222425,0.0035130447131661233,0.5714285714285714,0.5396206779245584
TRAIN_2016_2022,KOSDAQ,20,top,POS_ALT_MINUS_MOM_BY_N,2,14,0.008106640619646412,0.02624665425299766,0.7142857142857143,0.5118158309009352
TRAIN_2016_2022,KOSDAQ,5,top,POS_ALT_MINUS_MOM_BY_N,3,18,-0.00018274512118366223,-0.004869879345773752,0.4444444444444444,-0.031150761287252672
TRAIN_2016_2022,KOSDAQ,20,top,POS_ALT_MINUS_MOM_BY_N,3,18,-0.009051488401844221,-0.009201995173959757,0.3888888888888889,-0.5134786923510939
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,top,POS_ALT,>=1,45,0.004124398573177307,0.007384042277566633,0.6222222222222222,1.0585385285133375
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,top,MOM,>=1,45,0.004577698769172965,0.0061615982115841,0.6,0.8219602544853322
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,top,POS_ALT_MINUS_MOM,>=1,45,-0.0004533001959956583,-0.0016189153793540675,0.4666666666666667,-0.11339385296047085
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,spread,POS_ALT,>=1,45,0.0002099206321198976,0.002462902032991,0.5333333333333333,0.05945472751515934
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,spread,MOM,>=1,45,0.0012635069679110989,-0.0001419503678578,0.4888888888888889,0.32546687824224996
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,spread,POS_ALT_MINUS_MOM,>=1,45,-0.0010535863357911987,-0.0012770767882082004,0.4888888888888889,-0.18210706725357798
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,20,top,POS_ALT,>=1,45,0.024490648571857024,0.02596273146053807,0.7333333333333333,2.8693901184198585
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,20,top,MOM,>=1,45,0.02297486651216283,0.03147732288109961,0.6222222222222222,1.5887554608774914
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,20,top,POS_ALT_MINUS_MOM,>=1,45,0.0015157820596941997,0.013915442484427443,0.6,0.16909257754274956
