date,phase,universe,factor,strategy,codes
2016-01-08,4,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BASE,A011760|A036830|A013120|A015750|A183190|A200880|A139130|A000990|A043370|A102710|A175330|A023410|A030530|A089470|A102260|A213500|A060720|A082640|A069080|A115160
2016-01-08,4,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,CF20,A000990|A183190|A200880|A036830|A102710|A011760|A013120|A015750|A102260|A175330|A089470|A043370|A023410|A029460|A139130|A030530|A069080|A060720|A213500|A004430
2016-01-08,4,KOSPI_ALL,PER12MF,BASE,A004800|A011760|A003030|A003300|A005850|A138930|A015760|A183190|A200880|A139130|A104700|A005380|A000990|A086790|A000720|A175330|A000270|A006650|A001430|A047050
2016-01-08,4,KOSPI_ALL,PER12MF,CF20,A000990|A183190|A200880|A004800|A015760|A011760|A005850|A006650|A003300|A175330|A104700|A003030|A086790|A089470|A000210|A102260|A139130|A138930|A012630|A000720
2016-01-08,4,KOSPI_ALL,PRIVATE_FLOW,BASE,A060980|A192820|A006060|A001520|A010140|A000720|A009450|A010060|A128940|A093370|A005740|A111770|A006360|A010120|A037560|A009240|A007210|A066570|A069960|A097950
2016-01-08,4,KOSPI_ALL,PRIVATE_FLOW,CF20,A006060|A001520|A192820|A005740|A004430|A128940|A009450|A010140|A060980|A093370|A183190|A006360|A000990|A009830|A066570|A010060|A000720|A111770|A037560|A069960
2016-01-11,5,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,A194480|A063080|A112040|A213420|A002020|A017390|A067000|A052790|A196170|A009420|A053030|A067390|A044490|A006360|A036930|A182400|A173940|A114810|A036030|A054620
2016-01-11,5,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,CF20,A009420|A196170|A017390|A194480|A036930|A002020|A112040|A067000|A006360|A052790|A054620|A213420|A044490|A064760|A063080|A004430|A041910|A053030|A173940|A067390
2016-01-11,5,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BASE,A011760|A036830|A013120|A015750|A183190|A200880|A139130|A000990|A043370|A175330|A030530|A023410|A089470|A102260|A213500|A060720|A082640|A069080|A115160|A192440
2016-01-11,5,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,CF20,A000990|A200880|A183190|A036830|A011760|A015750|A013120|A089470|A043370|A175330|A023410|A102260|A029460|A030530|A060720|A069080|A139130|A004430|A213500|A052790
2016-01-11,5,KOSPI_ALL,PER12MF,BASE,A004800|A011760|A003030|A003300|A138930|A005850|A183190|A015760|A200880|A139130|A000990|A086790|A104700|A005380|A175330|A006650|A000720|A001430|A000270|A047050
