universe,factor,strategy,phase,period,return_type,n_days,cagr,sharpe,mdd,calmar,annual_turnover,avg_missing_weight
KOSPI_ALL,PRIVATE_FLOW,BASE,6,BULL_2025,GROSS,242,0.5861356287124149,1.9508986979628888,-0.15148050053316287,3.8693800631065063,13.762342225532088,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,6,BULL_2025,NET30,242,0.5219290449297815,1.7908245558703266,-0.15254898896669855,3.4213864573282664,13.762342225532088,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,6,BULL_2025,NET60,242,0.46021916704938715,1.62837915028355,-0.15361747740023401,2.9958776490668115,13.762342225532088,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,6,YTD_2026,GROSS,147,0.44501390267080465,1.0145441242985114,-0.34013509317331625,1.3083445713260975,14.210791590451823,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,6,YTD_2026,NET30,147,0.3846540292952023,0.9252661429152353,-0.34522531877548535,1.1142115261405816,14.210791590451823,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,6,YTD_2026,NET60,147,0.3267190209538,0.8354653124794037,-0.35028411773213997,0.9327257629295085,14.210791590451823,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,FULL_2016_2026,GROSS,2592,0.11591634277850638,0.5628458407958934,-0.5014660157055404,0.23115493203545853,14.382777729797699,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,FULL_2016_2026,NET30,2592,0.06874979377042734,0.39088242408232887,-0.5362711815085369,0.12819967982809255,14.382777729797699,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,FULL_2016_2026,NET60,2592,0.023498823995256046,0.21901999075743006,-0.5686995490773825,0.04132027893002352,14.382777729797699,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,PRE_STRESS_2016_2024,GROSS,2203,0.06390952948277984,0.38686667189035595,-0.5014660157055404,0.12744538509326891,14.413094610556357,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,PRE_STRESS_2016_2024,NET30,2203,0.018848291722101562,0.19663783646993827,-0.5362711815085369,0.035146941271543074,14.413094610556357,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,PRE_STRESS_2016_2024,NET60,2203,-0.024379148159602848,0.006935274813655397,-0.5686995490773825,-0.04286823894823521,14.413094610556357,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,EARLY_2016_2019,GROSS,972,0.04117141682977743,0.3143230581363685,-0.3113212602181875,0.132247366597844,14.568023463983629,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,EARLY_2016_2019,NET30,972,-0.003390809483800439,0.071490908169574,-0.32283214220282097,-0.010503320582218065,14.568023463983629,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,EARLY_2016_2019,NET60,972,-0.046120247152722116,-0.1698208562666679,-0.34230454796384846,-0.13473454392312947,14.568023463983629,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,LATE_2020_2022,GROSS,742,0.032301587460904946,0.2546440664740927,-0.42992817472966405,0.07513252063839726,14.44023804817561,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,LATE_2020_2022,NET30,742,-0.011501877483392486,0.100090637001911,-0.43350358927273047,-0.02653236966893093,14.44023804817561,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,LATE_2020_2022,NET60,742,-0.05352004393576559,-0.05411077757590633,-0.4370622341168071,-0.12245405747288174,14.44023804817561,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,NORMAL_2023_2024,GROSS,489,0.16259736088108445,0.7877013864367802,-0.23575023345177604,0.6897018022013734,14.063950896354331,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,NORMAL_2023_2024,NET30,489,0.11452545141299963,0.5979249535712812,-0.23947962797880396,0.47822627911855675,14.063950896354331,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,NORMAL_2023_2024,NET60,489,0.068364057048653,0.40805298538457374,-0.24319688948408613,0.281105803588522,14.063950896354331,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,BULL_2025,GROSS,242,0.6304174897822596,2.015173231884848,-0.15970402579395937,3.947411385831856,13.783876610954039,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,BULL_2025,NET30,242,0.5643169058168354,1.8526240260402642,-0.1609742898548886,3.5056337650288305,13.783876610954039,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,BULL_2025,NET60,242,0.5007901707043263,1.6890500869625216,-0.16224455391581805,3.086637786092749,13.783876610954039,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,YTD_2026,GROSS,147,0.2222751063581374,0.6595706256104937,-0.3627113390800799,0.6128154331261841,14.914383052578932,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,YTD_2026,NET30,147,0.16874568400852463,0.5659929392845253,-0.3679589161976551,0.45859925274342356,14.914383052578932,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,7,YTD_2026,NET60,147,0.11747162109754616,0.4721059801139825,-0.3731721266907032,0.3147920562537361,14.914383052578932,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,FULL_2016_2026,GROSS,2591,0.14871094561224862,0.6818607551903039,-0.4674506456224552,0.31813186483939027,14.367454297059288,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,FULL_2016_2026,NET30,2591,0.10020889940490862,0.5088332501305424,-0.5062770500670822,0.19793292899931142,14.367454297059288,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,FULL_2016_2026,NET60,2591,0.05367455677511557,0.3352008820221542,-0.5423328339550644,0.09896977172428184,14.367454297059288,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,PRE_STRESS_2016_2024,GROSS,2202,0.09236492378421501,0.5061558022366334,-0.4674506456224552,0.19759288953643928,14.371822697762731,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,PRE_STRESS_2016_2024,NET30,2202,0.046228192108807686,0.3141699345475142,-0.5062770500670822,0.09131006847472624,14.371822697762731,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,PRE_STRESS_2016_2024,NET60,2202,0.001963669654172717,0.12176667291157325,-0.5423328339550644,0.003620783274087033,14.371822697762731,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,EARLY_2016_2019,GROSS,971,0.06955247921319008,0.4647354688384694,-0.2981924068462384,0.23324698287523637,14.573700530799316,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,EARLY_2016_2019,NET30,971,0.0237582030581176,0.22079777177874269,-0.31130780673497926,0.07631740208283082,14.573700530799316,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,EARLY_2016_2019,NET60,971,-0.020151648881439166,-0.02424159453004967,-0.32420044054664365,-0.06215799351617442,14.573700530799316,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,LATE_2020_2022,GROSS,742,0.08560977675177206,0.43714202552421966,-0.4250425179643771,0.20141461885219453,14.274217708526129,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,LATE_2020_2022,NET30,742,0.0400630107616291,0.2813483266635312,-0.4288918013659062,0.09341053066073793,14.274217708526129,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,LATE_2020_2022,NET60,742,-0.0036485179331099404,0.12519526526975427,-0.43272174570234256,-0.008431556697452538,14.274217708526129,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,NORMAL_2023_2024,GROSS,489,0.1498883261316366,0.7425961937610568,-0.22986516503730425,0.6520706437067644,14.119060992517388,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,NORMAL_2023_2024,NET30,489,0.10215901704461339,0.5502434080984939,-0.23328038537999307,0.43792373232839704,14.119060992517388,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,NORMAL_2023_2024,NET60,489,0.056333233903688607,0.3581293756927632,-0.23790773626344064,0.2367860532341392,14.119060992517388,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,BULL_2025,GROSS,242,0.6862264751559717,2.2154277498503303,-0.16970762523284222,4.0435806830391705,14.006070580106734,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,BULL_2025,NET30,242,0.6167839338903496,2.0487584792565188,-0.17121793304101685,3.6023325532296506,14.006070580106734,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,BULL_2025,NET60,242,0.5500892709842264,1.8797846350278862,-0.17272824084919225,3.1847095082992554,14.006070580106734,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,YTD_2026,GROSS,147,0.2970909113821223,0.7797749255626162,-0.3981302949990725,0.7462152845786689,14.89694845456636,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,YTD_2026,NET30,147,0.2403493011557858,0.6875982935528174,-0.4029812750143812,0.5964279634263613,14.89694845456636,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,8,YTD_2026,NET60,147,0.185994473336069,0.5951238980482856,-0.4078010885434685,0.4560911644458335,14.89694845456636,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,FULL_2016_2026,GROSS,2590,0.1300325228094985,0.6176540344949587,-0.49479201396873085,0.262802387949851,14.172872133634332,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,FULL_2016_2026,NET30,2590,0.08295203361226888,0.44564077199338314,-0.531845128580705,0.15597027998289037,14.172872133634332,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,FULL_2016_2026,NET60,2590,0.03775582431609559,0.2739507293094483,-0.5662373106744869,0.06667844665891381,14.172872133634332,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,PRE_STRESS_2016_2024,GROSS,2201,0.0706352514407882,0.41585121235219163,-0.49479201396873085,0.14275746060293548,14.287388892796724,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,PRE_STRESS_2016_2024,NET30,2201,0.02567653795037894,0.22582588797402736,-0.531845128580705,0.048278223434893505,14.287388892796724,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,PRE_STRESS_2016_2024,NET60,2201,-0.017468246132894327,0.03657794200367858,-0.5662373106744869,-0.030849691116409506,14.287388892796724,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,EARLY_2016_2019,GROSS,970,0.03237404895327067,0.2654044837723791,-0.2776976813543306,0.11658019179484162,14.317702604856047,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,EARLY_2016_2019,NET30,970,-0.011068378784116706,0.03168382741700074,-0.31507388198618913,-0.035129470949299045,14.317702604856047,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,EARLY_2016_2019,NET60,970,-0.05275497665200202,-0.20023567079886967,-0.3505770791418984,-0.15048039301693505,14.317702604856047,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,LATE_2020_2022,GROSS,742,0.035061575248275245,0.2638805592359275,-0.43096381880676304,0.0813561921401023,14.329814061405987,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,LATE_2020_2022,NET30,742,-0.008529470469721523,0.10831764020874861,-0.43484294469722173,-0.01961506004348429,14.329814061405987,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,LATE_2020_2022,NET60,742,-0.05035615828276363,-0.046798475783247875,-0.43870223152391674,-0.11478436776544722,14.329814061405987,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,NORMAL_2023_2024,GROSS,489,0.2113231573362604,0.9934731102952815,-0.21417355620735612,0.9866911727032441,14.162882193807734,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,NORMAL_2023_2024,NET30,489,0.1608911437770375,0.79537489163417,-0.217782433155985,0.7387700717890339,14.162882193807734,0.0
KOSPI_ALL,PRIVATE_FLOW,BASE,9,NORMAL_2023_2024,NET60,489,0.11247696405009089,0.5976909015551543,-0.22138053046442985,0.5080707134187803,14.162882193807734,0.0
