universe,period,cost_bps,strategy,sharpe,ew8_sharpe,delta_sharpe_vs_ew8,cagr,ew8_cagr,delta_cagr_vs_ew8,annualized_weight_turnover
KOSPI_EX_K200,CONF_2023_2024,30,PAIRWISE_BOTTOM2_VETO,-0.031343669471257676,0.5274482818815506,-0.5587919513528082,-0.009060180001226992,0.04331608346119609,-0.05237626346242308,7.274226804123711
KOSPI_EX_K200,STRESS_2025,30,PAIRWISE_BOTTOM2_VETO,1.2517724892909248,1.1265396094575826,0.1252328798333422,0.10160821227340322,0.09037202003401523,0.011236192239387988,6.0
KOSPI_EX_K200,STRESS_2026,30,PAIRWISE_BOTTOM2_VETO,1.6287505627959882,1.1970399791014559,0.4317105836945323,0.22097101173099487,0.10143878668023198,0.11953222505076289,4.344827586206895
KOSPI_ALL,VAL_2020_2022,0,PAIRWISE_BOTTOM2_VETO,1.6881077492992933,1.2123993753287992,0.47570837397049415,0.1586600901464541,0.0835121792819844,0.0751479108644697,5.505405405405404
KOSPI_ALL,CONF_2023_2024,0,PAIRWISE_BOTTOM2_VETO,0.5571335258418658,0.9726012795938295,-0.41546775375196365,0.047638588381160085,0.07312064562564125,-0.02548205724448116,7.274226804123711
KOSPI_ALL,STRESS_2025,0,PAIRWISE_BOTTOM2_VETO,2.119071013800603,2.186315115177568,-0.06724410137696513,0.17595632504155323,0.16323256702375044,0.012723758017802789,6.0
KOSPI_ALL,STRESS_2026,0,PAIRWISE_BOTTOM2_VETO,3.538546522801875,3.435362086979152,0.10318443582272296,0.4702745406306952,0.26192103923906696,0.20835350139162823,4.344827586206895
KOSPI_ALL,VAL_2020_2022,10,PAIRWISE_BOTTOM2_VETO,1.6266317020135939,1.2123993753287992,0.4142323266847947,0.15231597287369403,0.0835121792819844,0.06880379359170963,5.505405405405404
KOSPI_ALL,CONF_2023_2024,10,PAIRWISE_BOTTOM2_VETO,0.47785016053937346,0.9726012795938295,-0.494751119054456,0.04006375541536,0.07312064562564125,-0.03305689021028124,7.274226804123711
KOSPI_ALL,STRESS_2025,10,PAIRWISE_BOTTOM2_VETO,2.046771809671154,2.186315115177568,-0.13954330550641414,0.16895889722861224,0.16323256702375044,0.005726330204861796,6.0
KOSPI_ALL,STRESS_2026,10,PAIRWISE_BOTTOM2_VETO,3.5019603840365887,3.435362086979152,0.0665982970574368,0.4639599174252338,0.26192103923906696,0.20203887818616684,4.344827586206895
KOSPI_ALL,VAL_2020_2022,30,PAIRWISE_BOTTOM2_VETO,1.5034105377302038,1.2123993753287992,0.2910111624014047,0.13972793173586795,0.0835121792819844,0.05621575245388355,5.505405405405404
KOSPI_ALL,CONF_2023_2024,30,PAIRWISE_BOTTOM2_VETO,0.3185109767663338,0.9726012795938295,-0.6540903028274957,0.025072968539560536,0.07312064562564125,-0.04804767708608071,7.274226804123711
KOSPI_ALL,STRESS_2025,30,PAIRWISE_BOTTOM2_VETO,1.900719992088998,2.186315115177568,-0.28559512308857005,0.15508450645055172,0.16323256702375044,-0.008148060573198723,6.0
KOSPI_ALL,STRESS_2026,30,PAIRWISE_BOTTOM2_VETO,3.427994296691005,3.435362086979152,-0.007367790288146825,0.4514071367183172,0.26192103923906696,0.18948609747925027,4.344827586206895
KOSPI_KOSDAQ_ALL,VAL_2020_2022,0,PAIRWISE_BOTTOM2_VETO,1.7271576645226414,1.3626857732380688,0.3644718912845726,0.15938786784008796,0.0858394640870217,0.07354840375306626,5.505405405405404
KOSPI_KOSDAQ_ALL,CONF_2023_2024,0,PAIRWISE_BOTTOM2_VETO,0.5193109959984222,1.1442254062802961,-0.6249144102818739,0.044735964303980635,0.08365344904907546,-0.03891748474509482,7.274226804123711
KOSPI_KOSDAQ_ALL,STRESS_2025,0,PAIRWISE_BOTTOM2_VETO,2.262051135668884,1.9160123282020176,0.34603880746686655,0.1936190117685066,0.14537802383613485,0.04824098793237175,6.0
KOSPI_KOSDAQ_ALL,STRESS_2026,0,PAIRWISE_BOTTOM2_VETO,3.3333837290228154,3.3704500848730117,-0.03706635585019624,0.4703688849993095,0.2779487526292923,0.1924201323700172,4.344827586206895
KOSPI_KOSDAQ_ALL,VAL_2020_2022,10,PAIRWISE_BOTTOM2_VETO,1.6637550265647187,1.3626857732380688,0.3010692533266499,0.15303619412198644,0.0858394640870217,0.06719673003496474,5.505405405405404
KOSPI_KOSDAQ_ALL,CONF_2023_2024,10,PAIRWISE_BOTTOM2_VETO,0.44095277011947626,1.1442254062802961,-0.7032726361608199,0.03717410653500797,0.08365344904907546,-0.04647934251406749,7.274226804123711
KOSPI_KOSDAQ_ALL,STRESS_2025,10,PAIRWISE_BOTTOM2_VETO,2.1902147569303967,1.9160123282020176,0.2742024287283791,0.1865140755301571,0.14537802383613485,0.041136051694022235,6.0
KOSPI_KOSDAQ_ALL,STRESS_2026,10,PAIRWISE_BOTTOM2_VETO,3.298688087286955,3.3704500848730117,-0.07176199758605684,0.46405459619098566,0.2779487526292923,0.18610584356169335,4.344827586206895
KOSPI_KOSDAQ_ALL,VAL_2020_2022,30,PAIRWISE_BOTTOM2_VETO,1.536824933334434,1.3626857732380688,0.1741391600963651,0.14043321115640617,0.0858394640870217,0.05459374706938447,5.505405405405404
KOSPI_KOSDAQ_ALL,CONF_2023_2024,30,PAIRWISE_BOTTOM2_VETO,0.28390366873431877,1.1442254062802961,-0.8603217375459773,0.022209159630167896,0.08365344904907546,-0.06144428941890756,7.274226804123711
KOSPI_KOSDAQ_ALL,STRESS_2025,30,PAIRWISE_BOTTOM2_VETO,2.0453732726420575,1.9160123282020176,0.12936094444003987,0.1724265594924681,0.14537802383613485,0.02704853565633325,6.0
KOSPI_KOSDAQ_ALL,STRESS_2026,30,PAIRWISE_BOTTOM2_VETO,3.2286375106082446,3.3704500848730117,-0.14181257426476712,0.45150248132610504,0.2779487526292923,0.17355372869681274,4.344827586206895
KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,0,PAIRWISE_BOTTOM2_VETO,1.4894269981814918,0.992367358130063,0.4970596400514288,0.1318972278180477,0.06237265551161353,0.06952457230643416,5.505405405405404
KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,0,PAIRWISE_BOTTOM2_VETO,0.18035027546078441,0.7432751035663709,-0.5629248281055865,0.012875562555958897,0.05532930697118443,-0.042453744415225536,7.274226804123711
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,0,PAIRWISE_BOTTOM2_VETO,1.9426283901232695,1.176308415250929,0.7663199748723404,0.17094451575494296,0.09424653827177498,0.07669797748316798,6.0
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,0,PAIRWISE_BOTTOM2_VETO,2.4714907062177254,2.1943390140920744,0.27715169212565094,0.39343324702757276,0.2123086205598037,0.18112462646776906,4.344827586206895
KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,10,PAIRWISE_BOTTOM2_VETO,1.4240424857769372,0.992367358130063,0.4316751276468741,0.12569067846529158,0.06237265551161353,0.06331802295367805,5.505405405405404
KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,10,PAIRWISE_BOTTOM2_VETO,0.10536422426178355,0.7432751035663709,-0.6379108793045873,0.00553781937228548,0.05532930697118443,-0.049791487598898954,7.274226804123711
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,10,PAIRWISE_BOTTOM2_VETO,1.8733520238331864,1.176308415250929,0.6970436085822573,0.1639728459289993,0.09424653827177498,0.06972630765722432,6.0
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,10,PAIRWISE_BOTTOM2_VETO,2.4406907800703794,2.1943390140920744,0.246351765978305,0.38743769507449066,0.2123086205598037,0.17512907451468696,4.344827586206895
KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,30,PAIRWISE_BOTTOM2_VETO,1.2933193952042672,0.992367358130063,0.30095203707420415,0.11337573463848827,0.06237265551161353,0.05100307912687474,5.505405405405404
KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,30,PAIRWISE_BOTTOM2_VETO,-0.044743215606781676,0.7432751035663709,-0.7880183191731526,-0.008983470297246887,0.05532930697118443,-0.06431277726843132,7.274226804123711
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,30,PAIRWISE_BOTTOM2_VETO,1.7337592193919593,1.176308415250929,0.5574508041410302,0.1501495958747523,0.09424653827177498,0.05590305760297731,6.0
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,30,PAIRWISE_BOTTOM2_VETO,2.378762920578233,2.1943390140920744,0.18442390648615836,0.37551933489755185,0.2123086205598037,0.16321071433774814,4.344827586206895
