sample,return_type,horizon,breadth_transition,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
OOS_2023_2024,NET30,5,HIGH_PERSIST,29,-0.004331310645747784,0.00028077358477268666,0.5172413793103449,0.02559528400787994
OOS_2023_2024,NET30,5,NON_HIGH,58,0.003644403998700327,0.003957971526040427,0.6206896551724138,0.0216707446668129
OOS_2023_2024,NET30,10,HIGH_ENTRY,10,0.005652905712341362,0.007114245738143421,0.5,0.02499475462473517
OOS_2023_2024,NET30,10,HIGH_PERSIST,29,-0.0023524749761469578,-0.0018406545639240268,0.4827586206896552,0.03977190438387508
OOS_2023_2024,NET30,10,NON_HIGH,58,0.006157502212241907,0.007526733068496933,0.6206896551724138,0.02647384180174312
OOS_2023_2024,NET30,20,HIGH_ENTRY,10,0.0047274222774945415,0.01365841827784997,0.7,0.05254009229055982
OOS_2023_2024,NET30,20,HIGH_PERSIST,29,0.006431081092800531,-0.007994789246336165,0.41379310344827586,0.05534340154209496
OOS_2023_2024,NET30,20,NON_HIGH,58,0.00672410386019916,0.008117038546226352,0.603448275862069,0.03677295747952108
OOS_2023_2024,NET60,5,HIGH_ENTRY,10,0.00828678773007227,0.010370466161870434,0.7,0.01928601484135856
OOS_2023_2024,NET60,5,HIGH_PERSIST,29,-0.0051637890138692445,-0.0007408177521000314,0.4827586206896552,0.025579798937686783
OOS_2023_2024,NET60,5,NON_HIGH,58,0.0027478277453699975,0.0030353138709942164,0.603448275862069,0.02143003484867981
OOS_2023_2024,NET60,10,HIGH_ENTRY,10,0.004027979591445251,0.005386558445111272,0.5,0.02504427539241379
OOS_2023_2024,NET60,10,HIGH_PERSIST,29,-0.003989521415104359,-0.003580227060126251,0.4482758620689655,0.03974687078958852
OOS_2023_2024,NET60,10,NON_HIGH,58,0.004337071307528329,0.005401274997112737,0.603448275862069,0.026008229304777534
OOS_2023_2024,NET60,20,HIGH_ENTRY,10,0.0014290374266810318,0.010259005395878863,0.5,0.05194013688405229
OOS_2023_2024,NET60,20,HIGH_PERSIST,29,0.0031345368876183164,-0.010857286197392079,0.3793103448275862,0.055698245230272364
OOS_2023_2024,NET60,20,NON_HIGH,58,0.0030617849438989227,0.004697729689665869,0.603448275862069,0.03576248790772157
TRAIN_2016_2022,GROSS,5,HIGH_ENTRY,48,-0.0012885275921242726,0.006895465111353499,0.5833333333333334,0.03343189951220335
