sample,return_type,horizon,high_revision_cell,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
OOS_2023_2024,NET60,5,HIGH|W-,11,-0.009080991742222178,-0.0007408177521000314,0.45454545454545453,0.027300410659040594
OOS_2023_2024,NET60,5,NON_HIGH,58,0.0027478277453699975,0.0030353138709942164,0.603448275862069,0.02143003484867981
OOS_2023_2024,NET60,10,HIGH|N+,1,0.04834512011338521,0.04834512011338521,1.0,0.04834512011338521
OOS_2023_2024,NET60,10,HIGH|N-,8,0.008890209069417015,0.023519042242593814,0.625,0.03168816663780151
OOS_2023_2024,NET60,10,HIGH|W+,19,-0.00037635630843185373,-0.010735323560313781,0.42105263157894735,0.03431577050300094
OOS_2023_2024,NET60,10,HIGH|W-,11,-0.017066577084735454,-0.003580227060126251,0.36363636363636365,0.040841083095399085
OOS_2023_2024,NET60,10,NON_HIGH,58,0.004337071307528329,0.005401274997112737,0.603448275862069,0.026008229304777534
OOS_2023_2024,NET60,20,HIGH|N+,1,0.13859295218184764,0.13859295218184764,1.0,0.13859295218184764
OOS_2023_2024,NET60,20,HIGH|N-,8,0.024502187570091316,0.03181104913611765,0.625,0.046604915136861595
OOS_2023_2024,NET60,20,HIGH|W+,19,-0.0045450361634619615,-0.01522236118829079,0.3157894736842105,0.05451016529855335
OOS_2023_2024,NET60,20,HIGH|W-,11,-0.013005711057187218,-0.036632985171893465,0.36363636363636365,0.053411369688106135
OOS_2023_2024,NET60,20,NON_HIGH,58,0.0030617849438989227,0.004697729689665869,0.603448275862069,0.03576248790772157
TRAIN_2016_2022,GROSS,5,HIGH|N+,12,0.010454477170706284,0.00960671861476724,0.8333333333333334,0.019024582308001897
TRAIN_2016_2022,GROSS,5,HIGH|N-,23,-0.0038804687763741206,0.008691064294598917,0.6086956521739131,0.03357471569423418
TRAIN_2016_2022,GROSS,5,HIGH|R+,2,0.03341911377846897,0.03341911377846897,1.0,0.03341911377846897
TRAIN_2016_2022,GROSS,5,HIGH|R-,5,0.004271207909520921,-0.0014940813144972754,0.4,0.03550944038585653
TRAIN_2016_2022,GROSS,5,HIGH|W+,79,0.003987220415065876,0.002098538988267784,0.5189873417721519,0.018016855253039116
TRAIN_2016_2022,GROSS,5,HIGH|W-,44,0.002679696023653339,0.005354357876517186,0.5681818181818182,0.03153888720270312
TRAIN_2016_2022,GROSS,5,NON_HIGH,174,0.0038723506920928428,0.007301017642405955,0.6149425287356322,0.024316388979317462
TRAIN_2016_2022,GROSS,5,,2,-0.03226731991013218,-0.03226731991013218,0.0,0.03226731991013218
TRAIN_2016_2022,GROSS,10,HIGH|N+,12,0.003652790782839636,0.006734086354872021,0.75,0.02138266279625101
TRAIN_2016_2022,GROSS,10,HIGH|N-,23,0.0014730903584647625,0.025634504035252293,0.6521739130434783,0.051313739700884514
TRAIN_2016_2022,GROSS,10,HIGH|R+,2,0.04345595592817678,0.04345595592817678,1.0,0.04345595592817678
TRAIN_2016_2022,GROSS,10,HIGH|R-,5,-0.004134005060434311,-0.0035993719252105706,0.4,0.028163138132854065
TRAIN_2016_2022,GROSS,10,HIGH|W+,79,0.006584189350332462,0.007020429881202606,0.5822784810126582,0.027215646479092435
TRAIN_2016_2022,GROSS,10,HIGH|W-,44,0.008206558421333849,0.014960894818186165,0.6590909090909091,0.03743986706138347
TRAIN_2016_2022,GROSS,10,NON_HIGH,174,0.008520175841347555,0.014061748859650303,0.6379310344827587,0.03783203903550267
TRAIN_2016_2022,GROSS,10,,2,-0.025467807434059766,-0.025467807434059766,0.5,0.03896520538054709
TRAIN_2016_2022,GROSS,20,HIGH|N+,12,-0.0044403807374596245,-0.004044735209016182,0.4166666666666667,0.027693522808209473
TRAIN_2016_2022,GROSS,20,HIGH|N-,23,0.019213552772093877,0.03670218274212025,0.7391304347826086,0.06199839356252738
TRAIN_2016_2022,GROSS,20,HIGH|R+,2,-0.040037144192456284,-0.040037144192456284,0.0,0.040037144192456284
TRAIN_2016_2022,GROSS,20,HIGH|R-,5,0.024120397447831024,0.025867144242990737,0.8,0.04101142343615747
TRAIN_2016_2022,GROSS,20,HIGH|W+,79,0.011004423362193145,0.016415417429091528,0.6075949367088608,0.045332676754401176
TRAIN_2016_2022,GROSS,20,HIGH|W-,44,-0.0018585522898988674,-0.0030603012414334107,0.4772727272727273,0.058282045177355114
TRAIN_2016_2022,GROSS,20,NON_HIGH,174,0.02257874378339716,0.025892128863541385,0.6609195402298851,0.057420981514451734
TRAIN_2016_2022,GROSS,20,,2,-0.010761924258306577,-0.010761924258306577,0.5,0.025248091147374606
TRAIN_2016_2022,NET30,5,HIGH|N+,12,0.009513649461456464,0.00873066795361841,0.8333333333333334,0.018404671847660196
TRAIN_2016_2022,NET30,5,HIGH|N-,23,-0.0047443753738477135,0.007911425311604558,0.6086956521739131,0.03337574058842223
TRAIN_2016_2022,NET30,5,HIGH|R+,2,0.03281688355772015,0.03281688355772015,1.0,0.03281688355772015
TRAIN_2016_2022,NET30,5,HIGH|R-,5,0.00314257966859736,-0.0027948225600388787,0.4,0.035804974120001706
TRAIN_2016_2022,NET30,5,HIGH|W+,79,0.0032205325252090966,0.0013754542159658655,0.5063291139240507,0.01799608289697293
TRAIN_2016_2022,NET30,5,HIGH|W-,44,0.0018503923281632639,0.004635995647170582,0.5681818181818182,0.03137765551850845
TRAIN_2016_2022,NET30,5,NON_HIGH,174,0.003048727893332954,0.0063832781667688574,0.603448275862069,0.024110471826132844
TRAIN_2016_2022,NET30,5,,2,-0.03307907968388163,-0.03307907968388163,0.0,0.03307907968388163
TRAIN_2016_2022,NET30,10,HIGH|N+,12,0.001767888918055379,0.005227954125783136,0.6666666666666666,0.020525915823132845
TRAIN_2016_2022,NET30,10,HIGH|N-,23,-0.0002561211070904345,0.024558857178605044,0.6521739130434783,0.05077254772454146
TRAIN_2016_2022,NET30,10,HIGH|R+,2,0.04258988638906454,0.04258988638906454,1.0,0.04258988638906454
TRAIN_2016_2022,NET30,10,HIGH|R-,5,-0.006269551660810099,-0.005521724738000611,0.4,0.028546696480726986
TRAIN_2016_2022,NET30,10,HIGH|W+,79,0.0050395753641230365,0.005757958179615674,0.5569620253164557,0.027005754108009507
TRAIN_2016_2022,NET30,10,HIGH|W-,44,0.006533976462324636,0.013295741758493518,0.6590909090909091,0.036816163476397996
TRAIN_2016_2022,NET30,10,NON_HIGH,174,0.0068612256014947606,0.012338216765126087,0.6091954022988506,0.037340140173747996
TRAIN_2016_2022,NET30,10,,2,-0.027118560362362265,-0.027118560362362265,0.5,0.03886586945555186
TRAIN_2016_2022,NET30,20,HIGH|N+,12,-0.007925412020018183,-0.007107278706872078,0.4166666666666667,0.028132194344533425
TRAIN_2016_2022,NET30,20,HIGH|N-,23,0.015652317659317412,0.03356915639466964,0.7391304347826086,0.06022443579297715
TRAIN_2016_2022,NET30,20,HIGH|R+,2,-0.04274693608792754,-0.04274693608792754,0.0,0.04274693608792754
TRAIN_2016_2022,NET30,20,HIGH|R-,5,0.020143112340041684,0.021744883081091727,0.8,0.03854480168809367
TRAIN_2016_2022,NET30,20,HIGH|W+,79,0.007809179913601173,0.013531785206643342,0.5822784810126582,0.04477476687642824
TRAIN_2016_2022,NET30,20,HIGH|W-,44,-0.0050331036167565865,-0.006273513520686591,0.4772727272727273,0.058316273746239086
TRAIN_2016_2022,NET30,20,NON_HIGH,174,0.01922991812917246,0.02285406949758841,0.6436781609195402,0.05624496435622739
TRAIN_2016_2022,NET30,20,,2,-0.014123556052389947,-0.014123556052389947,0.5,0.025071068695003446
TRAIN_2016_2022,NET60,5,HIGH|N+,12,0.00857282175220648,0.007854617292469456,0.8333333333333334,0.017784761387318333
TRAIN_2016_2022,NET60,5,HIGH|N-,23,-0.005608281971321436,0.007131786328610057,0.6086956521739131,0.03317676548261023
