date,sample,return_type,horizon,factor_breadth_20d,breadth_bin,breadth_group,breadth_transition,breadth_delta,base_state,factor_substate,REVISION_state,high_base_cell,high_revision_cell,high_factor_substate_cell,fwd_mean_across_phases,fwd_median_across_phases
2016-03-11,TRAIN_2016_2022,NET30,5,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.004131215095344176,0.0038772901625340195
2016-03-11,TRAIN_2016_2022,NET30,10,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.008068151597211071,-0.007992811844714343
2016-03-11,TRAIN_2016_2022,NET30,20,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.033700935651860345,0.035387128632880405
2016-03-11,TRAIN_2016_2022,NET60,5,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.0033777307503290222,0.003237586363588618
2016-03-11,TRAIN_2016_2022,NET60,10,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.009552305864789667,-0.009499388586029833
2016-03-11,TRAIN_2016_2022,NET60,20,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.03056845853487953,0.032150736116168144
2016-03-18,TRAIN_2016_2022,GROSS,5,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.011404306905969153,-0.011737779403492743
2016-03-18,TRAIN_2016_2022,GROSS,10,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.0067686996441361,0.006688108809262516
2016-03-18,TRAIN_2016_2022,GROSS,20,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.003907600472396466,-0.005654906877885613
2016-03-18,TRAIN_2016_2022,NET30,5,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.012138560777596652,-0.012348848061055684
2016-03-18,TRAIN_2016_2022,NET30,10,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.005293067044084321,0.005233022290629941
2016-03-18,TRAIN_2016_2022,NET30,20,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.006787302630847624,-0.008830790829682467
2016-03-18,TRAIN_2016_2022,NET60,5,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.01287281464922424,-0.013103070440076858
2016-03-18,TRAIN_2016_2022,NET60,10,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.003817434444032086,0.003777935771996699
2016-03-18,TRAIN_2016_2022,NET60,20,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.00966281050151968,-0.012001650813359632
2016-03-25,TRAIN_2016_2022,GROSS,5,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.018375425823642533,0.01832072734207235
2016-03-25,TRAIN_2016_2022,GROSS,10,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.04370412795285963,0.04581733225888274
2016-03-25,TRAIN_2016_2022,GROSS,20,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.016523963273301544,0.01455406344533583
2016-03-25,TRAIN_2016_2022,NET30,5,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.017639346644228615,0.016780586730733682
2016-03-25,TRAIN_2016_2022,NET30,10,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.04210311623935632,0.04421533365092645
2016-03-25,TRAIN_2016_2022,NET30,20,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.013711807696134027,0.011670841930860543
2016-03-25,TRAIN_2016_2022,NET60,5,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.01690326746481463,0.0159235567095809
2016-03-25,TRAIN_2016_2022,NET60,10,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.04050210452585279,0.04261333504297016
