sample,return_type,horizon,high_factor_substate_cell,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
TRAIN_2016_2022,NET60,5,,2,-0.033890839457631085,-0.033890839457631085,0.0,0.033890839457631085
TRAIN_2016_2022,NET60,10,HIGH|F_HIGH,93,0.006596574414516918,0.006679296050463923,0.5591397849462365,0.028704697365081713
TRAIN_2016_2022,NET60,10,HIGH|F_LOW,72,-0.0017933718845372802,0.004837816080148594,0.6111111111111112,0.037093461001368885
TRAIN_2016_2022,NET60,10,NON_HIGH,174,0.0052022753616416915,0.010389649016886354,0.5977011494252874,0.03692202137619462
TRAIN_2016_2022,NET60,10,,2,-0.028769313290664865,-0.028769313290664865,0.5,0.038766533530556486
TRAIN_2016_2022,NET60,20,HIGH|F_HIGH,93,0.007424231471372969,0.016522276580886917,0.5806451612903226,0.04580930717319759
TRAIN_2016_2022,NET60,20,HIGH|F_LOW,72,-0.0077102763682613635,0.0015375363426111677,0.5138888888888888,0.05235681434253184
TRAIN_2016_2022,NET60,20,NON_HIGH,174,0.01588641373781131,0.01979864324936561,0.6149425287356322,0.05517206148310419
TRAIN_2016_2022,NET60,20,,2,-0.017479492568165736,-0.017479492568165736,0.5,0.02489452264458286
YTD_2026,GROSS,5,HIGH|F_HIGH,10,-0.01698835067780129,-0.009853121399771198,0.4,0.029767970522513197
YTD_2026,GROSS,5,HIGH|F_LOW,9,-0.015123926417395715,-0.04964994332235345,0.3333333333333333,0.07950743741820011
YTD_2026,GROSS,5,NON_HIGH,9,0.036436810420732976,0.022158091190007667,0.6666666666666666,0.04455341430981934
YTD_2026,GROSS,10,HIGH|F_HIGH,10,-0.04677833813790365,-0.02979583255035384,0.2,0.0528480244083552
YTD_2026,GROSS,10,HIGH|F_LOW,8,-0.023865102043114747,-0.0480470952128501,0.25,0.08156070362157135
YTD_2026,GROSS,10,NON_HIGH,9,0.06900342390524589,0.08951922290048989,0.7777777777777778,0.09149068637207919
YTD_2026,GROSS,20,HIGH|F_HIGH,10,-0.061760939584882935,-0.06296380527530829,0.3,0.08450234059751117
YTD_2026,GROSS,20,HIGH|F_LOW,6,-0.07186668781488621,-0.09315321271439417,0.16666666666666666,0.13004913484494415
YTD_2026,GROSS,20,NON_HIGH,9,0.11536883582582164,0.15972090428125682,0.8888888888888888,0.15155808646188587
