universe,overlay,sample,n_dates,mean_delta,median_delta,positive_date_rate,mean_factor_beat_rate
KOSDAQ,FOUR_FAMILY_EW,NORMAL_2023_2024,48,-0.0022495805679303453,-0.00579812078808925,0.4166666666666667,0.4947916666666667
KOSDAQ,FOUR_FAMILY_EW,YTD_2026,13,0.003746016658437381,0.009581282576347352,0.5384615384615384,0.5096153846153846
KOSDAQ,SIBLING_W20,BULL_2025,25,0.0015860389781234918,0.0014740352331568066,0.6,0.515
KOSDAQ,SIBLING_W20,EARLY_2016_2019,98,-0.00012135037702925911,-1.48469499258461e-05,0.5,0.4923469387755102
KOSDAQ,SIBLING_W20,LATE_2020_2022,75,0.0005919210032653784,-7.21098094446722e-05,0.49333333333333335,0.505
KOSDAQ,SIBLING_W20,NORMAL_2023_2024,48,0.0022147132553770824,0.0021927960817929573,0.6666666666666666,0.5182291666666666
KOSDAQ,SIBLING_W20,YTD_2026,13,0.008108094926221656,0.011415633183140822,0.6923076923076923,0.5384615384615384
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,BULL_2025,25,0.002033868468982705,0.0009512266705687519,0.6,0.57
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,EARLY_2016_2019,98,0.0003375680154523633,0.00033758421483527613,0.5306122448979592,0.48086734693877553
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,LATE_2020_2022,75,0.00047523307565249586,0.00021757320955099324,0.5066666666666667,0.495
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,NORMAL_2023_2024,48,0.0009506719673879873,0.00030646386237393624,0.5833333333333334,0.5078125
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,YTD_2026,13,0.0009136493627646167,0.0026861374767552498,0.6153846153846154,0.5673076923076923
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,BULL_2025,25,0.004295093875482437,0.003561005899908659,0.6,0.59
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,EARLY_2016_2019,98,0.0008272190740603194,0.0010828757561277046,0.5510204081632653,0.5255102040816326
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,LATE_2020_2022,75,0.0017135792376692957,0.00035370854666303114,0.52,0.5366666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.0009078730647387426,0.0010436996432465042,0.5208333333333334,0.53125
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,YTD_2026,13,0.004657222346670596,0.0036425127527092553,0.6923076923076923,0.6057692307692307
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,BULL_2025,25,0.007951998858251923,0.00905414186566952,0.56,0.55
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,EARLY_2016_2019,98,-5.8271296603266685e-05,-0.0005935898630280868,0.4897959183673469,0.5012755102040817
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,LATE_2020_2022,75,0.0017253820924274588,0.003066070539567511,0.5733333333333334,0.5033333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,NORMAL_2023_2024,48,-0.004458178855244093,-0.009320174855914848,0.3541666666666667,0.4348958333333333
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,YTD_2026,13,0.006686712342177893,-0.00016192011847463968,0.46153846153846156,0.5673076923076923
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,BULL_2025,25,0.0028844392278369966,0.004928181941455164,0.64,0.56
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,EARLY_2016_2019,98,0.00044164000397805886,0.0011245985165475542,0.5510204081632653,0.5216836734693877
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,LATE_2020_2022,75,0.0013348790482146853,0.0007274550181424798,0.5466666666666666,0.5083333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,NORMAL_2023_2024,48,0.0034003257102220067,0.0021588769416290886,0.625,0.5026041666666666
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,YTD_2026,13,0.013964836276536082,0.02092447888834877,0.7692307692307693,0.625
KOSPI_ALL,CROSS_FAMILY_W10,BULL_2025,25,0.002747742665732209,0.0019243014626949622,0.64,0.535
KOSPI_ALL,CROSS_FAMILY_W10,EARLY_2016_2019,98,0.0002920689992975271,7.479281749029633e-05,0.5204081632653061,0.5063775510204082
KOSPI_ALL,CROSS_FAMILY_W10,LATE_2020_2022,75,0.0005527970328112545,0.0007242882236061027,0.56,0.5216666666666666
KOSPI_ALL,CROSS_FAMILY_W10,NORMAL_2023_2024,48,0.00014859616531175587,6.730147060079756e-06,0.5,0.484375
KOSPI_ALL,CROSS_FAMILY_W10,YTD_2026,13,0.0010783718681675815,0.0007699636129651069,0.5384615384615384,0.47115384615384615
KOSPI_ALL,CROSS_FAMILY_W20,BULL_2025,25,0.0026009705886824914,0.0009300572560940641,0.56,0.545
KOSPI_ALL,CROSS_FAMILY_W20,EARLY_2016_2019,98,0.0002599975323598326,-0.00025535047932906006,0.4897959183673469,0.5076530612244898
KOSPI_ALL,CROSS_FAMILY_W20,LATE_2020_2022,75,0.0005712585720929226,-0.00021046179712380327,0.49333333333333335,0.53
KOSPI_ALL,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.00040508127134746935,-3.274097121330744e-05,0.5,0.5078125
KOSPI_ALL,CROSS_FAMILY_W20,YTD_2026,13,0.0017615384422021197,0.0005791046070458931,0.5384615384615384,0.5096153846153846
KOSPI_ALL,FOUR_FAMILY_EW,BULL_2025,25,0.009369880310712078,0.012396184667712917,0.64,0.585
KOSPI_ALL,FOUR_FAMILY_EW,EARLY_2016_2019,98,-0.000846110722396909,-0.0007542600312836213,0.4897959183673469,0.5012755102040817
KOSPI_ALL,FOUR_FAMILY_EW,LATE_2020_2022,75,-0.0044937096124881,-0.005864940314088007,0.44,0.43666666666666665
KOSPI_ALL,FOUR_FAMILY_EW,NORMAL_2023_2024,48,-0.0011217295218216097,0.00046443510625036595,0.5208333333333334,0.5130208333333334
KOSPI_ALL,FOUR_FAMILY_EW,YTD_2026,13,-0.0033649232007603508,-0.003666110381364089,0.46153846153846156,0.49038461538461536
KOSPI_ALL,SIBLING_W20,BULL_2025,25,0.00216985752425301,0.002205834954137352,0.6,0.57
KOSPI_ALL,SIBLING_W20,EARLY_2016_2019,98,-0.0004994780019310917,-0.0010744413540047877,0.4387755102040816,0.4923469387755102
KOSPI_ALL,SIBLING_W20,LATE_2020_2022,75,0.0015347284236669125,0.0011264785393329633,0.56,0.5516666666666666
KOSPI_ALL,SIBLING_W20,NORMAL_2023_2024,48,0.0011678241201093739,0.002435307611544151,0.6041666666666666,0.484375
KOSPI_ALL,SIBLING_W20,YTD_2026,13,0.0006875250838305582,-0.00025907366711443733,0.46153846153846156,0.5
KOSPI_EX_K200,CROSS_FAMILY_W10,BULL_2025,25,0.0004066691470754806,0.00032208639776230884,0.6,0.49
KOSPI_EX_K200,CROSS_FAMILY_W10,EARLY_2016_2019,98,-1.1134922177882261e-05,-0.00013962243720515505,0.46938775510204084,0.43112244897959184
KOSPI_EX_K200,CROSS_FAMILY_W10,LATE_2020_2022,75,0.00010219150863616452,0.00016192260730968767,0.56,0.4166666666666667
KOSPI_EX_K200,CROSS_FAMILY_W10,NORMAL_2023_2024,48,8.376325565450781e-05,-0.0002615933648275411,0.4791666666666667,0.4713541666666667
KOSPI_EX_K200,CROSS_FAMILY_W10,YTD_2026,13,0.0018809743709557363,-0.0003168407108374931,0.46153846153846156,0.4519230769230769
KOSPI_EX_K200,CROSS_FAMILY_W20,BULL_2025,25,0.0010679351931579672,0.0013377615072754146,0.64,0.5
KOSPI_EX_K200,CROSS_FAMILY_W20,EARLY_2016_2019,98,0.00035710313171601245,9.271287244393145e-05,0.5102040816326531,0.475765306122449
KOSPI_EX_K200,CROSS_FAMILY_W20,LATE_2020_2022,75,-3.171806094033017e-05,-0.00029553693043491737,0.48,0.475
KOSPI_EX_K200,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.0008957521015644975,0.0006284394188762013,0.5625,0.546875
KOSPI_EX_K200,CROSS_FAMILY_W20,YTD_2026,13,0.0018849413686010963,0.0007073420769639393,0.5384615384615384,0.5384615384615384
KOSPI_EX_K200,FOUR_FAMILY_EW,BULL_2025,25,0.0013122543049407431,-0.005177439087581159,0.44,0.445
KOSPI_EX_K200,FOUR_FAMILY_EW,EARLY_2016_2019,98,-0.0022122839833023326,-0.0012717239087329758,0.46938775510204084,0.4885204081632653
KOSPI_EX_K200,FOUR_FAMILY_EW,LATE_2020_2022,75,-0.004317906753907947,-0.002763576730395543,0.4,0.4266666666666667
KOSPI_EX_K200,FOUR_FAMILY_EW,NORMAL_2023_2024,48,0.000535809665684389,-0.00039630256814812736,0.5,0.5182291666666666
KOSPI_EX_K200,FOUR_FAMILY_EW,YTD_2026,13,0.006305030199201011,0.005241145340432845,0.5384615384615384,0.5576923076923077
KOSPI_EX_K200,SIBLING_W20,BULL_2025,25,0.0037002667705633655,0.0024200192343036935,0.6,0.595
KOSPI_EX_K200,SIBLING_W20,EARLY_2016_2019,98,-0.00041543141726737795,-0.00015630994155679736,0.4897959183673469,0.4770408163265306
KOSPI_EX_K200,SIBLING_W20,LATE_2020_2022,75,0.0003955874818814111,-0.0002914847411386993,0.49333333333333335,0.505
KOSPI_EX_K200,SIBLING_W20,NORMAL_2023_2024,48,0.0007842441118596933,0.0017317386017632673,0.6041666666666666,0.5234375
KOSPI_EX_K200,SIBLING_W20,YTD_2026,13,0.0044839881774928715,0.0041305984267342106,0.8461538461538461,0.5384615384615384
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W10,BULL_2025,25,0.0031696623351784277,0.0007882204708053722,0.56,0.545
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W10,EARLY_2016_2019,98,0.0006885342492281824,0.0009857091514798274,0.5510204081632653,0.4923469387755102
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W10,LATE_2020_2022,75,0.0011850065016975175,0.0021460389822523865,0.56,0.535
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W10,NORMAL_2023_2024,48,-0.0007826546073557578,-0.00028599401887234295,0.4791666666666667,0.4791666666666667
