universe,factor,family,overlay,sample,n,ann_return,sharpe,mdd,hit_rate,avg_turnover,mean_delta_vs_base,beat_base_rate,median_delta_vs_base
KOSDAQ,OP12_REV,REVISION,BASE,BULL_2025,25,0.9082521490927609,2.7304188439434633,-0.17676258620091945,0.68,0.42999999999999994,0.0,0.0,0.0
KOSDAQ,OP12_REV,REVISION,BASE,EARLY_2016_2019,98,0.08992991159841157,0.492020614667708,-0.3192658115718565,0.5612244897959183,0.4479591836734694,0.0,0.0,0.0
KOSDAQ,OP12_REV,REVISION,BASE,LATE_2020_2022,75,0.06661758799065587,0.369088001122623,-0.3811966861879237,0.56,0.49,0.0,0.0,0.0
KOSDAQ,OP12_REV,REVISION,BASE,NORMAL_2023_2024,48,0.13655095707097642,0.6487448300961379,-0.24944033955495515,0.5833333333333334,0.4447916666666667,0.0,0.0,0.0
KOSDAQ,OP12_REV,REVISION,BASE,YTD_2026,13,-0.47821043331628144,-0.9916635998570519,-0.48772602588909675,0.46153846153846156,0.46538461538461545,0.0,0.0,0.0
KOSDAQ,OP12_REV,REVISION,CROSS_FAMILY_W10,BULL_2025,25,0.9517499591293743,2.7879626385802108,-0.16911890436721322,0.68,0.436,0.0009434174485188604,0.36,-6.938893903907228e-18
KOSDAQ,OP12_REV,REVISION,CROSS_FAMILY_W10,EARLY_2016_2019,98,0.08260107499474367,0.4622451100326473,-0.31205666999722326,0.5612244897959183,0.44948979591836724,-0.0002689751845499655,0.3673469387755102,0.0
KOSDAQ,OP12_REV,REVISION,CROSS_FAMILY_W10,LATE_2020_2022,75,0.07179221433244787,0.38542259677795343,-0.3747055431969091,0.6133333333333333,0.49133333333333334,0.00020324193996182417,0.5066666666666667,6.938893903907228e-18
KOSDAQ,OP12_REV,REVISION,CROSS_FAMILY_W10,NORMAL_2023_2024,48,0.13105837890744576,0.61622102679038,-0.24479271912783063,0.5208333333333334,0.4552083333333334,-0.000119158079987429,0.3958333333333333,0.0
KOSDAQ,OP12_REV,REVISION,CROSS_FAMILY_W10,YTD_2026,13,-0.4582927682084249,-0.9856878171663523,-0.47050914251785125,0.46153846153846156,0.4538461538461538,0.0010412176857999835,0.6923076923076923,0.0007340198359050906
KOSDAQ,OP12_REV,REVISION,CROSS_FAMILY_W20,BULL_2025,25,0.9925013068825645,2.9188660628823992,-0.15545103103358904,0.76,0.446,0.0017382653876110454,0.6,0.0030853763146626648
KOSDAQ,OP12_REV,REVISION,CROSS_FAMILY_W20,EARLY_2016_2019,98,0.058586204789957685,0.3671627830418821,-0.33494754443279207,0.5306122448979592,0.45051020408163256,-0.0012083521182576617,0.4387755102040816,-5.6557595954210074e-05
KOSDAQ,OP12_REV,REVISION,CROSS_FAMILY_W20,LATE_2020_2022,75,0.10741884439645388,0.5021433031696307,-0.33744446340023626,0.6,0.49600000000000005,0.001457789981348976,0.5066666666666667,1.3877787807814457e-17
KOSDAQ,OP12_REV,REVISION,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.13176850201474988,0.6281097833336744,-0.2287823741605064,0.5208333333333334,0.4708333333333334,-0.00015938083919009882,0.4583333333333333,-0.00037372914130743423
KOSDAQ,OP12_REV,REVISION,CROSS_FAMILY_W20,YTD_2026,13,-0.2900223889799537,-0.4847575764672602,-0.40744225333894424,0.46153846153846156,0.46923076923076923,0.01123290319649321,0.7692307692307693,0.006904524991939498
KOSDAQ,OP12_REV,REVISION,FOUR_FAMILY_EW,BULL_2025,25,1.072139972409488,2.490180947569772,-0.14091260011466478,0.72,0.638,0.003952592621241066,0.6,0.00988935592472135
KOSDAQ,OP12_REV,REVISION,FOUR_FAMILY_EW,EARLY_2016_2019,98,-0.07593004756933386,-0.16525435531200908,-0.4579709271641019,0.5306122448979592,0.5520408163265307,-0.006193849353784892,0.3877551020408163,-0.005811349815480638
KOSDAQ,OP12_REV,REVISION,FOUR_FAMILY_EW,LATE_2020_2022,75,0.011433691592030115,0.18962476410694232,-0.3663059412022214,0.52,0.622,-0.0019470968877303833,0.49333333333333335,-3.976574291074397e-05
KOSDAQ,OP12_REV,REVISION,FOUR_FAMILY_EW,NORMAL_2023_2024,48,-0.084025301510401,-0.1455310226446565,-0.45606133739140287,0.4791666666666667,0.6395833333333333,-0.007929259692498266,0.4375,-0.006038204698344426
KOSDAQ,OP12_REV,REVISION,FOUR_FAMILY_EW,YTD_2026,13,-0.26584087082364616,-0.18293159384350158,-0.43010359924641584,0.5384615384615384,0.6769230769230768,0.01584431090884604,0.6153846153846154,0.0092450601878947
KOSDAQ,OP12_REV,REVISION,SIBLING_W20,BULL_2025,25,1.0549195809278644,2.9957325458432855,-0.16560952456823852,0.76,0.48200000000000004,0.003047526211769728,0.68,0.005889268065166451
KOSDAQ,OP12_REV,REVISION,SIBLING_W20,EARLY_2016_2019,98,0.08022931476149497,0.45541185056854216,-0.2981706495807196,0.5510204081632653,0.461734693877551,-0.00038122658543743277,0.46938775510204084,-0.00014999999999999888
KOSDAQ,OP12_REV,REVISION,SIBLING_W20,LATE_2020_2022,75,0.028338973870065898,0.24027128633849137,-0.3695580544428665,0.5866666666666667,0.5113333333333333,-0.0016757308189074126,0.4533333333333333,-0.000999906552837715
KOSDAQ,OP12_REV,REVISION,SIBLING_W20,NORMAL_2023_2024,48,0.17186679010250216,0.7414952873183007,-0.2918831857422196,0.5,0.4739583333333333,0.0013743556733312127,0.5625,0.00333839574879347
