universe,overlay,sample,n_dates,net_delta,gross_delta,turnover_delta,implied_cost_component,positive_gross_date_rate,positive_net_date_rate
KOSDAQ,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.0003787318887000237,0.00048420063870002343,0.03515624999999998,-0.00010546874999999971,0.6041666666666666,0.6041666666666666
KOSDAQ,CROSS_FAMILY_W20,YTD_2026,13,0.005255574300738439,0.005412785839199978,0.05240384615384614,-0.00015721153846153923,0.6923076923076923,0.6923076923076923
KOSDAQ,FOUR_FAMILY_EW,BULL_2025,25,0.006501467171849483,0.007191467171849482,0.23,-0.0006899999999999988,0.6,0.6
KOSDAQ,FOUR_FAMILY_EW,EARLY_2016_2019,98,-0.002010512560393626,-0.0015392753154956677,0.15707908163265302,-0.00047123724489795825,0.4387755102040816,0.42857142857142855
KOSDAQ,FOUR_FAMILY_EW,LATE_2020_2022,75,7.526145813788427e-05,0.000664761458137883,0.1965,-0.0005894999999999988,0.5466666666666666,0.52
KOSDAQ,FOUR_FAMILY_EW,NORMAL_2023_2024,48,-0.002249580567930344,-0.0015773149429303432,0.22408854166666667,-0.0006722656250000008,0.4375,0.4166666666666667
KOSDAQ,FOUR_FAMILY_EW,YTD_2026,13,0.003746016658437382,0.004454189735360458,0.2360576923076923,-0.0007081730769230763,0.5384615384615384,0.5384615384615384
KOSDAQ,SIBLING_W20,BULL_2025,25,0.001586038978123488,0.0016887889781234875,0.03424999999999998,-0.00010274999999999954,0.6,0.6
KOSDAQ,SIBLING_W20,EARLY_2016_2019,98,-0.00012135037702925895,-5.419476478436092e-05,0.022385204081632644,-6.715561224489804e-05,0.5102040816326531,0.5
KOSDAQ,SIBLING_W20,LATE_2020_2022,75,0.0005919210032653791,0.0007049210032653786,0.03766666666666666,-0.0001129999999999995,0.49333333333333335,0.49333333333333335
KOSDAQ,SIBLING_W20,NORMAL_2023_2024,48,0.00221471325537708,0.0023358070053770804,0.04036458333333332,-0.00012109375000000054,0.6666666666666666,0.6666666666666666
KOSDAQ,SIBLING_W20,YTD_2026,13,0.008108094926221656,0.008223479541606269,0.03846153846153844,-0.00011538461538461268,0.6923076923076923,0.6923076923076923
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,BULL_2025,25,0.0020338684689826976,0.0020961184689826965,0.02074999999999998,-6.224999999999894e-05,0.6,0.6
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,EARLY_2016_2019,98,0.0003375680154523627,0.00037009352565644296,0.010841836734693869,-3.2525510204080255e-05,0.5306122448979592,0.5306122448979592
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,LATE_2020_2022,75,0.00047523307565249526,0.0005402330756524942,0.021666666666666657,-6.499999999999898e-05,0.5066666666666667,0.5066666666666667
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,NORMAL_2023_2024,48,0.0009506719673879873,0.0010202032173879858,0.02317708333333332,-6.953124999999852e-05,0.5833333333333334,0.5833333333333334
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,YTD_2026,13,0.0009136493627646049,0.0010131685935338372,0.03317307692307691,-9.951923076923224e-05,0.6153846153846154,0.6153846153846154
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,BULL_2025,25,0.004295093875482427,0.004439843875482425,0.04824999999999997,-0.00014474999999999818,0.6,0.6
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,EARLY_2016_2019,98,0.0008272190740603165,0.0009399104005909278,0.03756377551020407,-0.0001126913265306113,0.5612244897959183,0.5510204081632653
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,LATE_2020_2022,75,0.0017135792376692933,0.0018960792376692917,0.06083333333333332,-0.00018249999999999842,0.5333333333333333,0.52
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.0009078730647387386,0.0010762324397387386,0.05611979166666664,-0.000168359375,0.5208333333333334,0.5208333333333334
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,YTD_2026,13,0.004657222346670589,0.004853376192824437,0.06538461538461537,-0.0001961538461538485,0.7692307692307693,0.6923076923076923
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,BULL_2025,25,0.007951998858251921,0.00857074885825192,0.20625,-0.0006187499999999995,0.56,0.56
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,EARLY_2016_2019,98,-5.827129660326633e-05,0.0005021241115599985,0.1867984693877551,-0.0005603954081632648,0.5102040816326531,0.4897959183673469
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,LATE_2020_2022,75,0.001725382092427459,0.002376632092427459,0.2170833333333333,-0.0006512499999999999,0.5866666666666667,0.5733333333333334
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,NORMAL_2023_2024,48,-0.004458178855244087,-0.003757788230244087,0.2334635416666667,-0.0007003906249999996,0.3541666666666667,0.3541666666666667
KOSDAQ_PLUS_KOSPI_EX_K200,FOUR_FAMILY_EW,YTD_2026,13,0.00668671234217789,0.007547770034485578,0.2870192307692308,-0.0008610576923076879,0.46153846153846156,0.46153846153846156
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,BULL_2025,25,0.002884439227836992,0.0029766892278369887,0.030749999999999996,-9.224999999999685e-05,0.64,0.64
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,EARLY_2016_2019,98,0.00044164000397805555,0.0005811170447943817,0.0464923469387755,-0.00013947704081632611,0.5510204081632653,0.5510204081632653
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,LATE_2020_2022,75,0.001334879048214683,0.0014546290482146838,0.03991666666666666,-0.00011975000000000072,0.56,0.5466666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,NORMAL_2023_2024,48,0.0034003257102220076,0.0035546225852220066,0.05143229166666665,-0.00015429687499999905,0.625,0.625
KOSDAQ_PLUS_KOSPI_EX_K200,SIBLING_W20,YTD_2026,13,0.013964836276536068,0.014110509353459148,0.048557692307692295,-0.0001456730769230797,0.7692307692307693,0.7692307692307693
KOSPI_ALL,CROSS_FAMILY_W10,BULL_2025,25,0.0027477426657322025,0.0027769926657321997,0.009749999999999991,-2.924999999999716e-05,0.64,0.64
KOSPI_ALL,CROSS_FAMILY_W10,EARLY_2016_2019,98,0.0002920689992975258,0.0003142628768485458,0.0073979591836734635,-2.219387755102002e-05,0.5204081632653061,0.5204081632653061
KOSPI_ALL,CROSS_FAMILY_W10,LATE_2020_2022,75,0.0005527970328112498,0.0005967970328112489,0.014666666666666656,-4.399999999999912e-05,0.56,0.56
KOSPI_ALL,CROSS_FAMILY_W10,NORMAL_2023_2024,48,0.00014859616531175674,0.0001985961653117568,0.01666666666666666,-5.000000000000005e-05,0.5,0.5
KOSPI_ALL,CROSS_FAMILY_W10,YTD_2026,13,0.001078371868167587,0.00111442956047528,0.012019230769230763,-3.605769230769309e-05,0.5384615384615384,0.5384615384615384
KOSPI_ALL,CROSS_FAMILY_W20,BULL_2025,25,0.002600970588682491,0.0027359705886824885,0.04499999999999997,-0.00013499999999999754,0.6,0.56
KOSPI_ALL,CROSS_FAMILY_W20,EARLY_2016_2019,98,0.0002599975323598307,0.0003487730425639122,0.029591836734693868,-8.877551020408154e-05,0.5,0.4897959183673469
KOSPI_ALL,CROSS_FAMILY_W20,LATE_2020_2022,75,0.0005712585720929204,0.0007175085720929193,0.048749999999999974,-0.00014624999999999892,0.5066666666666667,0.49333333333333335
KOSPI_ALL,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.0004050812713474669,0.000575003146347467,0.05664062499999998,-0.00016992187500000004,0.5208333333333334,0.5
KOSPI_ALL,CROSS_FAMILY_W20,YTD_2026,13,0.0017615384422021189,0.001914423057586737,0.050961538461538454,-0.0001528846153846181,0.5384615384615384,0.5384615384615384
KOSPI_ALL,FOUR_FAMILY_EW,BULL_2025,25,0.009369880310712068,0.009833380310712068,0.1545,-0.00046350000000000037,0.64,0.64
KOSPI_ALL,FOUR_FAMILY_EW,EARLY_2016_2019,98,-0.0008461107223969102,-0.00033833011015201194,0.1692602040816327,-0.0005077806122448982,0.5102040816326531,0.4897959183673469
KOSPI_ALL,FOUR_FAMILY_EW,LATE_2020_2022,75,-0.0044937096124880935,-0.003830959612488097,0.22091666666666673,-0.0006627499999999967,0.44,0.44
KOSPI_ALL,FOUR_FAMILY_EW,NORMAL_2023_2024,48,-0.0011217295218216097,-0.0005162607718216088,0.20182291666666666,-0.0006054687500000009,0.5208333333333334,0.5208333333333334
KOSPI_ALL,FOUR_FAMILY_EW,YTD_2026,13,-0.0033649232007603555,-0.0027043462776834334,0.2201923076923077,-0.0006605769230769221,0.46153846153846156,0.46153846153846156
KOSPI_ALL,SIBLING_W20,BULL_2025,25,0.0021698575242530033,0.002312357524253004,0.04749999999999998,-0.0001425000000000007,0.64,0.6
KOSPI_ALL,SIBLING_W20,EARLY_2016_2019,98,-0.0004994780019310902,-0.00036535810397190556,0.04470663265306122,-0.00013411989795918464,0.4387755102040816,0.4387755102040816
KOSPI_ALL,SIBLING_W20,LATE_2020_2022,75,0.0015347284236669099,0.0016899784236669095,0.05174999999999999,-0.00015524999999999957,0.56,0.56
KOSPI_ALL,SIBLING_W20,NORMAL_2023_2024,48,0.001167824120109376,0.001311574120109376,0.04791666666666664,-0.00014375,0.6041666666666666,0.6041666666666666
KOSPI_ALL,SIBLING_W20,YTD_2026,13,0.0006875250838305661,0.0008346404684459488,0.049038461538461524,-0.0001471153846153827,0.46153846153846156,0.46153846153846156
KOSPI_EX_K200,CROSS_FAMILY_W10,BULL_2025,25,0.0004066691470754791,0.00041566914707547855,0.0029999999999999927,-8.99999999999946e-06,0.6,0.6
KOSPI_EX_K200,CROSS_FAMILY_W10,EARLY_2016_2019,98,-1.1134922177882578e-05,-1.0178289524820298e-05,0.0003188775510204085,-9.566326530622798e-07,0.46938775510204084,0.46938775510204084
KOSPI_EX_K200,CROSS_FAMILY_W10,LATE_2020_2022,75,0.0001021915086361639,0.00011269150863616244,0.003499999999999998,-1.0499999999998534e-05,0.5333333333333333,0.56
KOSPI_EX_K200,CROSS_FAMILY_W10,NORMAL_2023_2024,48,8.376325565450705e-05,0.00010641950565450885,0.007552083333333325,-2.26562500000018e-05,0.4791666666666667,0.4791666666666667
KOSPI_EX_K200,CROSS_FAMILY_W10,YTD_2026,13,0.0018809743709557389,0.0019040512940326584,0.0076923076923076875,-2.30769230769195e-05,0.46153846153846156,0.46153846153846156
KOSPI_EX_K200,CROSS_FAMILY_W20,BULL_2025,25,0.0010679351931579656,0.0011039351931579654,0.01199999999999999,-3.599999999999979e-05,0.64,0.64
KOSPI_EX_K200,CROSS_FAMILY_W20,EARLY_2016_2019,98,0.00035710313171601364,0.00037738374396091166,0.006760204081632648,-2.0280612244898025e-05,0.5,0.5102040816326531
KOSPI_EX_K200,CROSS_FAMILY_W20,LATE_2020_2022,75,-3.1718060940329846e-05,2.8281939059668417e-05,0.019999999999999987,-5.999999999999826e-05,0.48,0.48
KOSPI_EX_K200,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.0008957521015644909,0.0009633302265644931,0.022526041666666653,-6.75781250000022e-05,0.5625,0.5625
KOSPI_EX_K200,CROSS_FAMILY_W20,YTD_2026,13,0.001884941368601087,0.0019844605993703194,0.03317307692307691,-9.951923076923245e-05,0.6153846153846154,0.5384615384615384
KOSPI_EX_K200,FOUR_FAMILY_EW,BULL_2025,25,0.001312254304940747,0.0018192543049407462,0.16899999999999998,-0.0005069999999999992,0.44,0.44
KOSPI_EX_K200,FOUR_FAMILY_EW,EARLY_2016_2019,98,-0.00221228398330233,-0.0017858171465676368,0.14215561224489795,-0.00042646683673469316,0.4897959183673469,0.46938775510204084
KOSPI_EX_K200,FOUR_FAMILY_EW,LATE_2020_2022,75,-0.004317906753907941,-0.00368165675390794,0.21208333333333332,-0.000636250000000001,0.4266666666666667,0.4
KOSPI_EX_K200,FOUR_FAMILY_EW,NORMAL_2023_2024,48,0.000535809665684389,0.001059637790684387,0.17460937499999998,-0.0005238281249999981,0.5,0.5
KOSPI_EX_K200,FOUR_FAMILY_EW,YTD_2026,13,0.006305030199201003,0.007029068660739463,0.24134615384615382,-0.00072403846153846,0.6153846153846154,0.5384615384615384
KOSPI_EX_K200,SIBLING_W20,BULL_2025,25,0.0037002667705633586,0.0037602667705633574,0.019999999999999993,-5.9999999999998856e-05,0.68,0.6
KOSPI_EX_K200,SIBLING_W20,EARLY_2016_2019,98,-0.0004154314172673763,-0.0003716176417571725,0.014604591836734683,-4.381377551020382e-05,0.4897959183673469,0.4897959183673469
KOSPI_EX_K200,SIBLING_W20,LATE_2020_2022,75,0.0003955874818814093,0.00048508748188140824,0.02983333333333333,-8.949999999999892e-05,0.49333333333333335,0.49333333333333335
KOSPI_EX_K200,SIBLING_W20,NORMAL_2023_2024,48,0.000784244111859693,0.000871353486859691,0.02903645833333333,-8.7109374999998e-05,0.6041666666666666,0.6041666666666666
KOSPI_EX_K200,SIBLING_W20,YTD_2026,13,0.0044839881774928715,0.004633988177492868,0.05,-0.0001499999999999965,0.8461538461538461,0.8461538461538461
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W10,BULL_2025,25,0.003169662335178427,0.003244662335178426,0.024999999999999988,-7.499999999999911e-05,0.56,0.56
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W10,EARLY_2016_2019,98,0.0006885342492281826,0.0007472714941261408,0.019579081632653046,-5.873724489795825e-05,0.5510204081632653,0.5510204081632653
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W10,LATE_2020_2022,75,0.0011850065016975136,0.001301506501697514,0.03883333333333332,-0.0001165000000000005,0.56,0.56
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W10,NORMAL_2023_2024,48,-0.0007826546073557571,-0.0006517952323557584,0.04361979166666665,-0.0001308593749999987,0.5,0.4791666666666667
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W10,YTD_2026,13,0.007607722997610733,0.007743299920687657,0.04519230769230767,-0.00013557692307692402,0.7692307692307693,0.7692307692307693
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W20,BULL_2025,25,0.00441395774048362,0.00462095774048362,0.06899999999999999,-0.00020699999999999972,0.52,0.52
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W20,EARLY_2016_2019,98,0.0012947449748300247,0.0014663648727892072,0.05720663265306122,-0.0001716198979591825,0.6122448979591837,0.6122448979591837
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W20,LATE_2020_2022,75,0.001691873645394788,0.0019391236453947876,0.08241666666666665,-0.00024724999999999964,0.56,0.5466666666666666
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.00058114666602922,0.0008432560410292195,0.08736979166666665,-0.00026210937499999954,0.5,0.5
KOSPI_KOSDAQ_ALL,CROSS_FAMILY_W20,YTD_2026,13,0.011044417068078016,0.011318455529616477,0.09134615384615383,-0.000274038461538461,0.8461538461538461,0.8461538461538461
KOSPI_KOSDAQ_ALL,FOUR_FAMILY_EW,BULL_2025,25,0.004695646609672452,0.005327146609672448,0.21049999999999996,-0.0006314999999999966,0.56,0.56
KOSPI_KOSDAQ_ALL,FOUR_FAMILY_EW,EARLY_2016_2019,98,-0.00013730279192891202,0.00048336047337720967,0.2068877551020408,-0.0006206632653061217,0.5204081632653061,0.5102040816326531
KOSPI_KOSDAQ_ALL,FOUR_FAMILY_EW,LATE_2020_2022,75,0.0022497446628774796,0.0029647446628774787,0.23833333333333329,-0.0007149999999999991,0.5866666666666667,0.5866666666666667
KOSPI_KOSDAQ_ALL,FOUR_FAMILY_EW,NORMAL_2023_2024,48,-0.0033706336872887585,-0.00260774306228876,0.25429687500000003,-0.0007628906249999984,0.3958333333333333,0.3958333333333333
KOSPI_KOSDAQ_ALL,FOUR_FAMILY_EW,YTD_2026,13,-0.0014126718067060994,-0.000581902575936872,0.2769230769230769,-0.0008307692307692274,0.5384615384615384,0.5384615384615384
KOSPI_KOSDAQ_ALL,SIBLING_W20,BULL_2025,25,0.0037894434344945055,0.0039041934344945066,0.03824999999999999,-0.00011475000000000114,0.56,0.56
KOSPI_KOSDAQ_ALL,SIBLING_W20,EARLY_2016_2019,98,0.0006395524826672634,0.0008019887071570592,0.05414540816326531,-0.00016243622448979575,0.5816326530612245,0.5612244897959183
KOSPI_KOSDAQ_ALL,SIBLING_W20,LATE_2020_2022,75,0.002781341479251447,0.0029448414792514464,0.05449999999999999,-0.00016349999999999958,0.6133333333333333,0.6133333333333333
KOSPI_KOSDAQ_ALL,SIBLING_W20,NORMAL_2023_2024,48,0.0031438640460992443,0.003335660921099244,0.06393229166666665,-0.0001917968749999997,0.6041666666666666,0.6041666666666666
KOSPI_KOSDAQ_ALL,SIBLING_W20,YTD_2026,13,0.016012830193984157,0.016174368655522617,0.05384615384615381,-0.0001615384615384595,0.8461538461538461,0.8461538461538461
