universe,overlay,sample,metric,n_dates,mean,ci025,ci975,p_gt0
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,LATE_2020_2022,net_delta,75,0.00047523307565249526,-0.0006226798547571954,0.0016313356566864628,0.7874
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,LATE_2020_2022,gross_delta,75,0.0005402330756524942,-0.0005719918010134935,0.001671597648891881,0.8196
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,NORMAL_2023_2024,net_delta,48,0.0009506719673879873,-0.0007530922923496922,0.002685138897030416,0.8636
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,NORMAL_2023_2024,gross_delta,48,0.0010202032173879858,-0.0007091031053209692,0.002663393995653949,0.8882
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,YTD_2026,net_delta,13,0.0009136493627646049,-0.005746753350880086,0.005636456418192244,0.6778
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W10,YTD_2026,gross_delta,13,0.0010131685935338372,-0.005659890370110847,0.005841336377647393,0.6736
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,BULL_2025,net_delta,25,0.004295093875482427,-0.00043961101499761986,0.009038792278972191,0.9594
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,BULL_2025,gross_delta,25,0.004439843875482425,-0.0003041080422042155,0.009292105736831369,0.9666
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,EARLY_2016_2019,net_delta,98,0.0008272190740603165,-0.00015110020476042326,0.001837233389730078,0.9504
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,EARLY_2016_2019,gross_delta,98,0.0009399104005909278,-3.848729029122796e-05,0.0019117268950377708,0.9676
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,LATE_2020_2022,net_delta,75,0.0017135792376692933,-0.0005689765462865257,0.004071321424707346,0.9324
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,LATE_2020_2022,gross_delta,75,0.0018960792376692917,-0.00042268081505441674,0.0042295268112013135,0.942
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,NORMAL_2023_2024,net_delta,48,0.0009078730647387386,-0.0020276965689272103,0.003575709710937466,0.735
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,NORMAL_2023_2024,gross_delta,48,0.0010762324397387386,-0.0017647753128369958,0.0038076733478570484,0.7756
KOSDAQ_PLUS_KOSPI_EX_K200,CROSS_FAMILY_W20,YTD_2026,net_delta,13,0.004657222346670589,-0.004098272017621052,0.01233220535668561,0.8518
