date,threshold_bn,factor_rows,eligible,jaccard,precision,recall,factor_only,eligible_only
2017-09-21,300,518,432,0.833976833976834,0.833976833976834,1.0,86,0
2017-09-21,325,518,413,0.7972972972972973,0.7972972972972973,1.0,105,0
2017-09-21,350,518,388,0.749034749034749,0.749034749034749,1.0,130,0
2017-09-28,150,487,747,0.6475300400534045,0.9958932238193019,0.6492637215528781,2,262
2017-09-28,175,487,654,0.739329268292683,0.9958932238193019,0.7415902140672783,2,169
2017-09-28,200,487,589,0.8206429780033841,0.9958932238193019,0.8234295415959253,2,104
2017-09-28,225,487,535,0.9031657355679702,0.9958932238193019,0.9065420560747663,2,50
2017-09-28,250,487,493,0.9758064516129032,0.9938398357289527,0.9817444219066938,3,9
2017-09-28,275,487,453,0.9301848049281314,0.9301848049281314,1.0,34,0
2017-09-28,300,487,424,0.8706365503080082,0.8706365503080082,1.0,63,0
2017-09-28,325,487,407,0.8357289527720739,0.8357289527720739,1.0,80,0
2017-09-28,350,487,380,0.7802874743326489,0.7802874743326489,1.0,107,0
2017-10-13,150,502,741,0.6706989247311828,0.9940239043824701,0.6734143049932524,3,242
2017-10-13,175,502,655,0.7583586626139818,0.9940239043824701,0.7618320610687023,3,156
2017-10-13,200,502,590,0.8414839797639123,0.9940239043824701,0.8457627118644068,3,91
2017-10-13,225,502,543,0.9139194139194139,0.9940239043824701,0.9189686924493554,3,44
2017-10-13,250,502,494,0.9683794466403162,0.9760956175298805,0.9919028340080972,12,4
2017-10-13,275,502,457,0.9103585657370518,0.9103585657370518,1.0,45,0
2017-10-13,300,502,423,0.8426294820717132,0.8426294820717132,1.0,79,0
2017-10-13,325,502,410,0.8167330677290837,0.8167330677290837,1.0,92,0
2017-10-13,350,502,388,0.7729083665338645,0.7729083665338645,1.0,114,0
2017-10-20,150,490,745,0.6510695187165776,0.9938775510204082,0.6536912751677852,3,258
2017-10-20,175,490,652,0.7435114503816794,0.9938775510204082,0.7469325153374233,3,165
