date,universe,eligible,valid_all8,coverage
2020-01-28,KOSPI_KOSDAQ_ALL,1986,351,0.17673716012084592
2020-01-28,KOSDAQ_PLUS_KOSPI_EX_K200,1794,189,0.10535117056856187
2020-02-04,K200,192,161,0.8385416666666666
2020-02-04,KOSPI_EX_K200,544,74,0.13602941176470587
2020-02-04,KOSDAQ,1250,106,0.0848
2020-02-04,KOSPI_ALL,736,235,0.31929347826086957
2020-02-04,KOSPI_KOSDAQ_ALL,1986,341,0.1717019133937563
2020-02-04,KOSDAQ_PLUS_KOSPI_EX_K200,1794,180,0.10033444816053512
2020-02-11,K200,192,161,0.8385416666666666
2020-02-11,KOSPI_EX_K200,544,72,0.1323529411764706
2020-02-11,KOSDAQ,1251,113,0.0903277378097522
2020-02-11,KOSPI_ALL,736,233,0.31657608695652173
2020-02-11,KOSPI_KOSDAQ_ALL,1987,346,0.17413185707096124
2020-02-11,KOSDAQ_PLUS_KOSPI_EX_K200,1795,185,0.10306406685236769
2020-02-18,K200,192,163,0.8489583333333334
2020-02-18,KOSPI_EX_K200,544,67,0.12316176470588236
2020-02-18,KOSDAQ,1251,117,0.09352517985611511
2020-02-18,KOSPI_ALL,736,230,0.3125
2020-02-18,KOSPI_KOSDAQ_ALL,1987,347,0.1746351283341721
2020-02-18,KOSDAQ_PLUS_KOSPI_EX_K200,1795,184,0.10250696378830083
2020-02-25,K200,192,162,0.84375
2020-02-25,KOSPI_EX_K200,544,62,0.11397058823529412
2020-02-25,KOSDAQ,1252,103,0.08226837060702875
2020-02-25,KOSPI_ALL,736,224,0.30434782608695654
2020-02-25,KOSPI_KOSDAQ_ALL,1988,327,0.16448692152917505
2020-02-25,KOSDAQ_PLUS_KOSPI_EX_K200,1796,165,0.09187082405345212
2020-03-03,K200,192,160,0.8333333333333334
2020-03-03,KOSPI_EX_K200,544,60,0.11029411764705882
2020-03-03,KOSDAQ,1254,93,0.07416267942583732
2020-03-03,KOSPI_ALL,736,220,0.29891304347826086
2020-03-03,KOSPI_KOSDAQ_ALL,1990,313,0.157286432160804
2020-03-03,KOSDAQ_PLUS_KOSPI_EX_K200,1798,153,0.08509454949944383
2020-03-10,K200,192,160,0.8333333333333334
2020-03-10,KOSPI_EX_K200,544,62,0.11397058823529412
2020-03-10,KOSDAQ,1256,100,0.07961783439490445
2020-03-10,KOSPI_ALL,736,222,0.3016304347826087
2020-03-10,KOSPI_KOSDAQ_ALL,1992,322,0.16164658634538154
2020-03-10,KOSDAQ_PLUS_KOSPI_EX_K200,1800,162,0.09
2020-03-17,K200,192,161,0.8385416666666666
2020-03-17,KOSPI_EX_K200,544,49,0.0900735294117647
2020-03-17,KOSDAQ,1258,69,0.054848966613672494
2020-03-17,KOSPI_ALL,736,210,0.28532608695652173
2020-03-17,KOSPI_KOSDAQ_ALL,1994,279,0.1399197592778335
2020-03-17,KOSDAQ_PLUS_KOSPI_EX_K200,1802,118,0.06548279689234185
2020-03-24,K200,192,156,0.8125
2020-03-24,KOSPI_EX_K200,544,38,0.06985294117647059
2020-03-24,KOSDAQ,1258,62,0.0492845786963434
2020-03-24,KOSPI_ALL,736,194,0.26358695652173914
2020-03-24,KOSPI_KOSDAQ_ALL,1994,256,0.1283851554663992
2020-03-24,KOSDAQ_PLUS_KOSPI_EX_K200,1802,100,0.05549389567147614
2020-03-31,K200,192,156,0.8125
2020-03-31,KOSPI_EX_K200,544,50,0.09191176470588236
2020-03-31,KOSDAQ,1258,70,0.05564387917329094
2020-03-31,KOSPI_ALL,736,206,0.2798913043478261
2020-03-31,KOSPI_KOSDAQ_ALL,1994,276,0.13841524573721165
2020-03-31,KOSDAQ_PLUS_KOSPI_EX_K200,1802,120,0.06659267480577137
2020-04-07,K200,192,153,0.796875
2020-04-07,KOSPI_EX_K200,544,53,0.0974264705882353
2020-04-07,KOSDAQ,1258,79,0.06279809220985691
2020-04-07,KOSPI_ALL,736,206,0.2798913043478261
2020-04-07,KOSPI_KOSDAQ_ALL,1994,285,0.14292878635907724
2020-04-07,KOSDAQ_PLUS_KOSPI_EX_K200,1802,132,0.0732519422863485
2020-04-14,K200,192,153,0.796875
2020-04-14,KOSPI_EX_K200,544,62,0.11397058823529412
