sample,universe,factor,direction,overlay,top_n,cost_bps,state,high_minus_low,low_uplift,high_uplift
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,KOSDAQ_TA_SHARE,-0.017285327353925642,0.023018241576009478,0.005732914222083835
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,FACTOR_TOP_ACT5_BREADTH,-0.00042738044540531267,-0.0028632348007147854,-0.003290615246120098
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,FACTOR_TOP_ACT5_BREADTH,0.08894025893924049,-0.05918657136187189,0.029753687577368605
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,FACTOR_TOP_TA_SHARE,0.013189934167635664,-0.01610675015040017,-0.002916815982764507
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,FACTOR_TOP_TA_SHARE,0.023996548629887423,-0.011285260789253196,0.012711287840634227
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,FACTOR_TOP_REL_ACT5,0.01801635675126108,-0.015520580805557821,0.0024957759457032566
OOS,K200,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,FACTOR_TOP_REL_ACT5,0.10245276908345413,-0.04551248711629988,0.05694028196715425
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,MKT_ACT1,-0.0637557496469861,0.03785405755603703,-0.025901692090949075
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,MKT_ACT1,-0.2907827396046633,0.20077090855449678,-0.09001183105016651
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,MKT_ACT5,-0.031713841389996125,-0.027303687811866078,-0.05901752920186221
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,MKT_ACT5,-0.2125836349771122,0.1850598837808252,-0.027523751196286993
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,MKT_ACT1_BREADTH,-0.08359415552162135,-0.004475766922952698,-0.08806992244457404
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,MKT_ACT1_BREADTH,-0.21360894564355146,0.164193118669877,-0.04941582697367448
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,MKT_ACT5_BREADTH,0.03649337722062444,-0.08704812325782427,-0.050554746037199824
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,MKT_ACT5_BREADTH,-0.2239063306564744,0.09853096356983529,-0.1253753670866391
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,KOSDAQ_TA_SHARE,0.06804552102578819,-0.08915059891588319,-0.021105077890094998
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,KOSDAQ_TA_SHARE,0.18675418288050322,-0.03320103787093866,0.15355314500956457
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,FACTOR_TOP_ACT5_BREADTH,-0.016162338469541286,-0.039219617091153555,-0.05538195556069484
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,FACTOR_TOP_ACT5_BREADTH,-0.13604195230603233,0.12027868456151851,-0.015763267744513823
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,FACTOR_TOP_TA_SHARE,0.08950291984340181,-0.09477037358633904,-0.005267453742937238
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,FACTOR_TOP_TA_SHARE,-0.25253095527173447,0.13378213238950096,-0.11874882288223351
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,FACTOR_TOP_REL_ACT5,-0.033948542293796,-0.03619817944625563,-0.07014672174005163
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,FACTOR_TOP_REL_ACT5,0.07493956395352479,-0.0435396004271074,0.031399963526417385
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,MKT_ACT1,-0.06415364438382817,0.029763531240247536,-0.03439011314358063
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,MKT_ACT1,-0.29035748960466334,0.19018690855449685,-0.10017058105016652
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,MKT_ACT5,-0.03250963086368031,-0.03725105623291871,-0.06976068709659902
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,MKT_ACT5,-0.21303314849062566,0.17447588378082518,-0.03855726470980047
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,MKT_ACT1_BREADTH,-0.0827640647775197,-0.014821030080847447,-0.09758509485836715
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,MKT_ACT1_BREADTH,-0.20981400493208902,0.15250948230624065,-0.057304522625848356
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,MKT_ACT5_BREADTH,0.03410600879957184,-0.09553654431045587,-0.06143053551088403
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,MKT_ACT5_BREADTH,-0.2260368761110198,0.08920696356983525,-0.13682991254118454
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,KOSDAQ_TA_SHARE,0.07255499470999872,-0.10148533575798846,-0.02893034104798974
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,KOSDAQ_TA_SHARE,0.18334737936144163,-0.04124877980642251,0.14209859955501913
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,FACTOR_TOP_ACT5_BREADTH,-0.013077588469541317,-0.05126836709115353,-0.06434595556069485
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,FACTOR_TOP_ACT5_BREADTH,-0.13364738217028577,0.10916103750269504,-0.024486344667590726
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,FACTOR_TOP_TA_SHARE,0.09281870931708602,-0.10697247884949694,-0.014153769532410921
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,FACTOR_TOP_TA_SHARE,-0.2505718455738013,0.12221977944832454,-0.12835206612547678
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,FACTOR_TOP_REL_ACT5,-0.0265211738727434,-0.05131817944625562,-0.07783935331899902
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,FACTOR_TOP_REL_ACT5,0.08226331395352474,-0.056533350427107366,0.025729963526417376
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,MKT_ACT1,-0.06455153912067033,0.021673004924458096,-0.04287853419621224
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,MKT_ACT1,-0.28993223960466336,0.1796029085544968,-0.11032933105016655
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,MKT_ACT5,-0.0333054203373646,-0.04719842465397131,-0.08050384499133591
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,MKT_ACT5,-0.21348266200413918,0.16389188378082514,-0.04959077822331402
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,MKT_ACT1_BREADTH,-0.08193397403341812,-0.025166293238742143,-0.10710026727216027
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,MKT_ACT1_BREADTH,-0.20601906422062655,0.14082584594260425,-0.06519321827802231
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,MKT_ACT5_BREADTH,0.031718640378519125,-0.10402496536308739,-0.07230632498456827
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,MKT_ACT5_BREADTH,-0.22816742156556524,0.07988296356983524,-0.14828445799573
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,KOSDAQ_TA_SHARE,0.07706446839420929,-0.11382007260009372,-0.03675560420588443
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,KOSDAQ_TA_SHARE,0.17994057584238016,-0.049296521741906456,0.1306440541004737
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,FACTOR_TOP_ACT5_BREADTH,-0.009992838469541312,-0.06331711709115352,-0.07330995556069483
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,FACTOR_TOP_ACT5_BREADTH,-0.1312528120345391,0.09804339044387143,-0.033209421590667663
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,FACTOR_TOP_TA_SHARE,0.09613449879077024,-0.11917458411265483,-0.023040085321884587
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,FACTOR_TOP_TA_SHARE,-0.24861273587586807,0.11065742650714805,-0.13795530936872002
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,FACTOR_TOP_REL_ACT5,-0.01909380545169076,-0.0664381794462556,-0.08553198489794636
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,FACTOR_TOP_REL_ACT5,0.08958706395352477,-0.06952710042710739,0.020059963526417382
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,MKT_ACT1,-0.1039430319036959,0.044255956959143014,-0.05968707494455289
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,MKT_ACT1,-0.09747682458675014,0.13281043797166212,0.035333613384911984
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,MKT_ACT5,-0.06477555182293779,0.007933699494547825,-0.056841852328389966
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,MKT_ACT5,-0.03544580489058717,0.07793299477598195,0.04248718988539478
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,MKT_ACT1_BREADTH,-0.02194533800272218,-0.034006432516968416,-0.055951770519690594
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,MKT_ACT1_BREADTH,-0.10362588586454477,0.1361749071764971,0.03254902131195234
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,MKT_ACT5_BREADTH,-0.06673531604497278,-0.013770825988271044,-0.08050614203324383
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,MKT_ACT5_BREADTH,-0.007283575261927452,0.07661293379518794,0.06932935853326049
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,KOSDAQ_TA_SHARE,0.03925308799682804,-0.06192464940969172,-0.02267156141286368
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,KOSDAQ_TA_SHARE,-0.0008612472180821312,0.06656859941226688,0.06570735219418475
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,FACTOR_TOP_ACT5_BREADTH,-0.04564793929424303,-0.015174692844564918,-0.06082263213880795
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,FACTOR_TOP_ACT5_BREADTH,-0.10428693559712146,0.14929347862235084,0.045006543025229384
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,FACTOR_TOP_TA_SHARE,0.014596750757995373,-0.03641721940894593,-0.02182046865095056
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,FACTOR_TOP_TA_SHARE,-0.14789681252772735,0.13619704378048358,-0.011699768747243766
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,FACTOR_TOP_REL_ACT5,0.037174341169763536,-0.05642251873932974,-0.0192481775695662
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,FACTOR_TOP_REL_ACT5,-0.049120921903279754,0.11307964144902312,0.06395871954574336
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,30,MKT_ACT1,-0.10347882137738013,0.03464016748545881,-0.06883865389192131
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,30,MKT_ACT1,-0.09923294958675004,0.12310843797166204,0.02387548838491201
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,30,MKT_ACT5,-0.06669870971767465,-0.0010189320843995468,-0.0677176418020742
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,30,MKT_ACT5,-0.03461488597166826,0.06760099477598194,0.032986108804313685
TRAIN,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,30,MKT_ACT1_BREADTH,-0.02176125451814867,-0.04468327462223158,-0.06644452914038025
OOS,K200,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,30,MKT_ACT1_BREADTH,-0.10552335622027598,0.12689672535831528,0.021373369138039302
