universe,metric,strategy,sample,phase,family,n_dates,net_delta_30
KOSDAQ,ACT1,LOW05,LATE_2020_2022,6,MOMENTUM,74,-0.001977486043335833
KOSDAQ,ACT1,LOW05,LATE_2020_2022,6,REVISION,74,0.0002666526602112787
KOSDAQ,ACT1,LOW05,LATE_2020_2022,6,VALUE,74,0.00022833512609717594
KOSDAQ,ACT1,LOW05,LATE_2020_2022,7,FLOW,74,0.00046003317321433447
KOSDAQ,ACT1,LOW05,LATE_2020_2022,7,MOMENTUM,74,1.9033920810875156e-05
KOSDAQ,ACT1,LOW05,LATE_2020_2022,7,REVISION,74,-8.218179425596944e-05
KOSDAQ,ACT1,LOW05,LATE_2020_2022,7,VALUE,74,0.0002508291649137748
KOSDAQ,ACT1,LOW05,LATE_2020_2022,8,FLOW,74,0.00046974075389495803
KOSDAQ,ACT1,LOW05,LATE_2020_2022,8,MOMENTUM,74,0.0004843170147605271
KOSDAQ,ACT1,LOW05,LATE_2020_2022,8,REVISION,74,0.00038164756510297157
KOSDAQ,ACT1,LOW05,LATE_2020_2022,8,VALUE,74,1.4840823304546241e-06
KOSDAQ,ACT1,LOW05,LATE_2020_2022,9,FLOW,75,0.00042061535339513845
KOSDAQ,ACT1,LOW05,LATE_2020_2022,9,MOMENTUM,75,-1.7589252335937593e-07
KOSDAQ,ACT1,LOW05,LATE_2020_2022,9,REVISION,75,1.6294445367454267e-05
KOSDAQ,ACT1,LOW05,LATE_2020_2022,9,VALUE,75,-6.409597626002989e-05
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,0,FLOW,48,0.0007555532314648975
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,0,MOMENTUM,48,0.0011604222121966113
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,0,REVISION,48,0.00047599096155478694
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,0,VALUE,48,4.22648014027232e-05
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,1,FLOW,49,0.00020845764155538984
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,1,MOMENTUM,49,0.0008538035108097804
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,1,REVISION,49,0.00016654857679171336
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,1,VALUE,49,-0.00010542590717838667
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,2,FLOW,49,-0.0004472582112309167
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,2,MOMENTUM,49,0.00015970829028127132
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,2,REVISION,49,0.0005399518905502345
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,2,VALUE,49,-0.0004981433111408872
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,3,FLOW,49,-0.0002082840599331705
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,3,MOMENTUM,49,0.0008453579883635899
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,3,REVISION,49,0.0008512481805113802
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,3,VALUE,49,-8.587442423982155e-05
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,4,FLOW,49,-0.0005094823706220359
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,4,MOMENTUM,49,-0.0001747254882247422
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,4,REVISION,49,0.0006708408062269468
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,4,VALUE,49,0.0003170332871907695
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,5,FLOW,49,0.0007397261520239658
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,5,MOMENTUM,49,0.0004420366894592057
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,5,REVISION,49,0.0008855265114711416
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,5,VALUE,49,-0.00021792826845791805
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,6,FLOW,49,-9.165812065484586e-05
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,6,MOMENTUM,49,0.0009891029791961046
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,6,REVISION,49,0.0008215116508696763
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,6,VALUE,49,0.0002858370913950967
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,7,FLOW,49,-0.0002355441077396804
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,7,MOMENTUM,49,0.00015864090446553669
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,7,REVISION,49,0.00044051825037630713
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,7,VALUE,49,0.00028290500048122716
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,8,FLOW,49,-8.358026090038992e-05
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,8,MOMENTUM,49,0.0011267291605936548
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,8,REVISION,49,0.0004805034693048667
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,8,VALUE,49,-8.812761854073086e-05
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,9,FLOW,49,0.0007795517712387313
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,9,MOMENTUM,49,0.0012682929987220027
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,9,REVISION,49,0.00039180780473620875
KOSDAQ,ACT1,LOW05,NORMAL_2023_2024,9,VALUE,49,0.0002052419407976275
KOSDAQ,ACT1,LOW05,YTD_2026,0,FLOW,13,0.0014203613387594753
KOSDAQ,ACT1,LOW05,YTD_2026,0,MOMENTUM,13,0.0003374123937639839
KOSDAQ,ACT1,LOW05,YTD_2026,0,REVISION,13,8.582691142189253e-06
KOSDAQ,ACT1,LOW05,YTD_2026,0,VALUE,13,0.0001389546595686346
KOSDAQ,ACT1,LOW05,YTD_2026,1,FLOW,13,-0.0005623713159542512
KOSDAQ,ACT1,LOW05,YTD_2026,1,MOMENTUM,13,0.002079093768516837
KOSDAQ,ACT1,LOW05,YTD_2026,1,REVISION,13,0.0001398310442825047
KOSDAQ,ACT1,LOW05,YTD_2026,1,VALUE,13,0.0
KOSDAQ,ACT1,LOW05,YTD_2026,2,FLOW,14,-0.001989928107340878
KOSDAQ,ACT1,LOW05,YTD_2026,2,MOMENTUM,14,-0.002815792590520079
KOSDAQ,ACT1,LOW05,YTD_2026,2,REVISION,14,-7.973486719930043e-05
KOSDAQ,ACT1,LOW05,YTD_2026,2,VALUE,14,-7.215230044349462e-05
KOSDAQ,ACT1,LOW05,YTD_2026,3,FLOW,14,0.00013901293553269533
KOSDAQ,ACT1,LOW05,YTD_2026,3,MOMENTUM,14,-0.003087409287799253
KOSDAQ,ACT1,LOW05,YTD_2026,3,REVISION,14,0.001255300858227273
KOSDAQ,ACT1,LOW05,YTD_2026,3,VALUE,14,-0.0009407746130712216
KOSDAQ,ACT1,LOW05,YTD_2026,4,FLOW,14,0.0031656847834897884
KOSDAQ,ACT1,LOW05,YTD_2026,4,MOMENTUM,14,0.0008724600045560933
KOSDAQ,ACT1,LOW05,YTD_2026,4,REVISION,14,0.0008961887891697805
KOSDAQ,ACT1,LOW05,YTD_2026,4,VALUE,14,-0.0010261417848170362
KOSDAQ,ACT1,LOW05,YTD_2026,5,FLOW,14,-0.00038047781469923266
KOSDAQ,ACT1,LOW05,YTD_2026,5,MOMENTUM,14,0.0008701462248314597
KOSDAQ,ACT1,LOW05,YTD_2026,5,REVISION,14,0.0004332400940403051
KOSDAQ,ACT1,LOW05,YTD_2026,5,VALUE,14,-0.0015137044058034857
KOSDAQ,ACT1,LOW05,YTD_2026,6,FLOW,14,0.0015057117720808724
KOSDAQ,ACT1,LOW05,YTD_2026,6,MOMENTUM,14,0.0032147954996211182
KOSDAQ,ACT1,LOW05,YTD_2026,6,REVISION,14,4.3796834021457845e-05
KOSDAQ,ACT1,LOW05,YTD_2026,6,VALUE,14,-0.0014359563413798048
KOSDAQ,ACT1,LOW05,YTD_2026,7,FLOW,14,0.002474730184209621
KOSDAQ,ACT1,LOW05,YTD_2026,7,MOMENTUM,14,-0.0005294429921064172
KOSDAQ,ACT1,LOW05,YTD_2026,7,REVISION,14,4.741554856718578e-05
KOSDAQ,ACT1,LOW05,YTD_2026,7,VALUE,14,-0.0019094707842220039
KOSDAQ,ACT1,LOW05,YTD_2026,8,FLOW,14,-0.0010378614092982393
KOSDAQ,ACT1,LOW05,YTD_2026,8,MOMENTUM,14,7.509776769992611e-07
KOSDAQ,ACT1,LOW05,YTD_2026,8,REVISION,14,0.00010853838235372526
KOSDAQ,ACT1,LOW05,YTD_2026,8,VALUE,14,-5.783378937991926e-05
KOSDAQ,ACT1,LOW05,YTD_2026,9,FLOW,13,0.0004116930075712228
KOSDAQ,ACT1,LOW05,YTD_2026,9,MOMENTUM,13,-0.0010880197121490868
KOSDAQ,ACT1,LOW05,YTD_2026,9,REVISION,13,-0.0007301632890600428
